Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Vocar.0001s0782	MYB	MP00482	Volvox carteri	DAP	PlantTFDB	transfer from AT5G02320(Arabidopsis thaliana)
Vocar.0003s0247	GATA	MP00472	Volvox carteri	DAP	PlantTFDB	transfer from AT4G36620(Arabidopsis thaliana)
Vocar.0003s0248	GATA	MP00048	Volvox carteri	PBM	PlantTFDB	transfer from AT4G32890(Arabidopsis thaliana)
Vocar.0004s0114	bHLH	MP00219	Volvox carteri	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
Vocar.0005s0116	ERF	MP00548	Volvox carteri	DAP	PlantTFDB	transfer from AT5G47220(Arabidopsis thaliana)
Vocar.0005s0477	SBP	MP00603	Volvox carteri	PBM	PlantTFDB	transfer from AT2G47070(Arabidopsis thaliana)
Vocar.0005s0508	G2-like	MP00056	Volvox carteri	PBM	PlantTFDB	transfer from AT5G05090(Arabidopsis thaliana)
Vocar.0006s0301	MYB_related	MP00103	Volvox carteri	PBM	PlantTFDB	transfer from AT2G46830(Arabidopsis thaliana)
Vocar.0011s0012	MYB	MP00596	Volvox carteri	DAP	PlantTFDB	transfer from AT5G67300(Arabidopsis thaliana)
Vocar.0011s0018	SBP	MP00290	Volvox carteri	DAP	PlantTFDB	transfer from AT2G33810(Arabidopsis thaliana)
Vocar.0011s0304	MYB	MP00028	Volvox carteri	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
Vocar.0011s0308	MYB	MP00567	Volvox carteri	DAP	PlantTFDB	transfer from AT5G58850(Arabidopsis thaliana)
Vocar.0014s0006	C3H	MP00566	Volvox carteri	DAP	PlantTFDB	transfer from AT5G58620(Arabidopsis thaliana)
Vocar.0015s0365	Nin-like	MP00154	Volvox carteri	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
Vocar.0017s0086	CPP	MP00624	Volvox carteri	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
Vocar.0019s0209	bHLH	MP00372	Volvox carteri	DAP	PlantTFDB	transfer from AT3G23210(Arabidopsis thaliana)
Vocar.0022s0047	bZIP	MP00294	Volvox carteri	DAP	PlantTFDB	transfer from AT2G36270(Arabidopsis thaliana)
Vocar.0022s0152	ERF	MP00289	Volvox carteri	DAP	PlantTFDB	transfer from AT2G33710(Arabidopsis thaliana)
Vocar.0024s0002	MYB	MP00259	Volvox carteri	DAP	PlantTFDB	transfer from AT2G02820(Arabidopsis thaliana)
Vocar.0024s0026	GATA	MP00530	Volvox carteri	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
Vocar.0028s0123	B3	MP00382	Volvox carteri	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
Vocar.0031s0066	G2-like	MP00252	Volvox carteri	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
Vocar.0037s0106	Dof	MP00046	Volvox carteri	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
Vocar.0048s0009	CPP	MP00045	Volvox carteri	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)

