Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Do000158.1	bZIP	MP00117	Dichanthelium oligosanthes	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
Do000269.1	G2-like	MP00160	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT1G25550(Arabidopsis thaliana)
Do000373.1	ERF	MP00520	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
Do000425.1	SBP	MP00634	Dichanthelium oligosanthes	PBM	PlantTFDB	transfer from PK22320.1(Cannabis sativa)
Do000677.1	MYB	MP00627	Dichanthelium oligosanthes	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
Do000832.1	WRKY	MP00455	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
Do000937.1	NAC	MP00266	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
Do001050.1	MYB	MP00490	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
Do001097.1	bHLH	MP00074	Dichanthelium oligosanthes	ChIP-chip	PlantTFDB	transfer from AT2G20180(Arabidopsis thaliana)
Do001153.1	MYB	MP00579	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT5G62470(Arabidopsis thaliana)
Do001523.1	TCP	MP00667	Dichanthelium oligosanthes	PBM	PlantTFDB	transfer from GSVIVG01027588001(Vitis vinifera)
Do001873.1	MYB_related	MP00607	Dichanthelium oligosanthes	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
Do001930.1	WRKY	MP00167	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
Do001981.1	HSF	MP00187	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
Do002102.1	NAC	MP00583	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT5G64060(Arabidopsis thaliana)
Do002127.1	ARF	MP00461	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT4G30080(Arabidopsis thaliana)
Do002143.1	TCP	MP00224	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT1G69690(Arabidopsis thaliana)
Do002283.1	bZIP	MP00291	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT2G35530(Arabidopsis thaliana)
Do002329.1	MYB_related	MP00515	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT5G17300(Arabidopsis thaliana)
Do002406.1	bHLH	MP00036	Dichanthelium oligosanthes	PBM	PlantTFDB	transfer from AT5G48560(Arabidopsis thaliana)
Do002420.1	MIKC_MADS	MP00076	Dichanthelium oligosanthes	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
Do002551.1	bHLH	MP00207	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT1G59640(Arabidopsis thaliana)
Do002660.1	MIKC_MADS	MP00077	Dichanthelium oligosanthes	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
Do002762.1	MYB	MP00500	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
Do002784.1	MYB	MP00442	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
Do002796.1	YABBY	MP00220	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT1G69180(Arabidopsis thaliana)
Do002854.1	WRKY	MP00067	Dichanthelium oligosanthes	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
Do002856.1	MIKC_MADS	MP00096	Dichanthelium oligosanthes	ChIP-seq	PlantTFDB	transfer from AT1G69120(Arabidopsis thaliana)
Do002969.1	LBD	MP00581	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
Do003247.1	NAC	MP00321	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT2G46770(Arabidopsis thaliana)
Do003355.1	MYB	MP00296	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
Do003592.1	MIKC_MADS	MP00096	Dichanthelium oligosanthes	ChIP-seq	PlantTFDB	transfer from AT1G69120(Arabidopsis thaliana)
Do003629.1	HD-ZIP	MP00477	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT4G37790(Arabidopsis thaliana)
Do003945.1	NAC	MP00059	Dichanthelium oligosanthes	PBM	PlantTFDB	transfer from AT5G04410(Arabidopsis thaliana)
Do003946.1	C2H2	MP00522	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
Do003979.1	Dof	MP00407	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT3G55370(Arabidopsis thaliana)
Do004024.1	ERF	MP00230	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT1G72360(Arabidopsis thaliana)
Do004107.1	MIKC_MADS	MP00609	Dichanthelium oligosanthes	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
Do004161.1	NAC	MP00364	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT3G18400(Arabidopsis thaliana)
Do004282.1	TALE	MP00675	Dichanthelium oligosanthes	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
Do004310.1	ERF	MP00526	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT5G25190(Arabidopsis thaliana)
Do004505.1	MYB	MP00145	Dichanthelium oligosanthes	DAP	PlantTFDB	transfer from AT1G17950(Arabidopsis thaliana)
