Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
augustus_masked-scaffold1017-abinit-gene-1.0	Dof	MP00407	Eragrostis tef	DAP	PlantTFDB	transfer from AT3G55370(Arabidopsis thaliana)
augustus_masked-scaffold1105-abinit-gene-0.3	WRKY	MP00167	Eragrostis tef	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
augustus_masked-scaffold1290-abinit-gene-0.9	HSF	MP00379	Eragrostis tef	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
augustus_masked-scaffold14781-abinit-gene-0.1	ERF	MP00521	Eragrostis tef	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
augustus_masked-scaffold16240-abinit-gene-0.2	C2H2	MP00522	Eragrostis tef	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
augustus_masked-scaffold190-abinit-gene-2.1	bZIP	MP00303	Eragrostis tef	DAP	PlantTFDB	transfer from AT2G40620(Arabidopsis thaliana)
augustus_masked-scaffold20862-abinit-gene-0.0	ERF	MP00374	Eragrostis tef	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
augustus_masked-scaffold2098-abinit-gene-0.6	HSF	MP00443	Eragrostis tef	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
augustus_masked-scaffold20-abinit-gene-1.13	NAC	MP00136	Eragrostis tef	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
augustus_masked-scaffold2229-abinit-gene-0.4	TALE	MP00675	Eragrostis tef	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
augustus_masked-scaffold2380-abinit-gene-0.9	ERF	MP00230	Eragrostis tef	DAP	PlantTFDB	transfer from AT1G72360(Arabidopsis thaliana)
augustus_masked-scaffold2782-abinit-gene-2.8	ERF	MP00302	Eragrostis tef	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
augustus_masked-scaffold2786-abinit-gene-0.11	Dof	MP00405	Eragrostis tef	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
augustus_masked-scaffold3506-abinit-gene-1.0	ERF	MP00374	Eragrostis tef	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
augustus_masked-scaffold3763-abinit-gene-0.3	NAC	MP00518	Eragrostis tef	DAP	PlantTFDB	transfer from AT5G18270(Arabidopsis thaliana)
augustus_masked-scaffold3919-abinit-gene-0.7	WRKY	MP00531	Eragrostis tef	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
augustus_masked-scaffold404-abinit-gene-3.9	SBP	MP00555	Eragrostis tef	DAP	PlantTFDB	transfer from AT5G50570(Arabidopsis thaliana)
augustus_masked-scaffold4241-abinit-gene-0.0	ERF	MP00026	Eragrostis tef	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
augustus_masked-scaffold426-abinit-gene-1.3	ERF	MP00227	Eragrostis tef	DAP	PlantTFDB	transfer from AT1G71450(Arabidopsis thaliana)
augustus_masked-scaffold4288-abinit-gene-0.12	SBP	MP00307	Eragrostis tef	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
augustus_masked-scaffold4543-abinit-gene-0.1	NAC	MP00241	Eragrostis tef	DAP	PlantTFDB	transfer from AT1G76420(Arabidopsis thaliana)
augustus_masked-scaffold4556-abinit-gene-0.4	ERF	MP00029	Eragrostis tef	PBM	PlantTFDB	transfer from AT5G43410(Arabidopsis thaliana)
augustus_masked-scaffold4733-abinit-gene-0.7	ERF	MP00549	Eragrostis tef	DAP	PlantTFDB	transfer from AT5G47230(Arabidopsis thaliana)
augustus_masked-scaffold474-abinit-gene-1.4	LBD	MP00309	Eragrostis tef	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
augustus_masked-scaffold5018-abinit-gene-1.6	GATA	MP00047	Eragrostis tef	PBM	PlantTFDB	transfer from AT1G08000(Arabidopsis thaliana)
augustus_masked-scaffold5089-abinit-gene-1.7	Dof	MP00580	Eragrostis tef	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
augustus_masked-scaffold5306-abinit-gene-1.4	MYB	MP00134	Eragrostis tef	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
augustus_masked-scaffold53-abinit-gene-1.3	MYB	MP00134	Eragrostis tef	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
augustus_masked-scaffold6196-abinit-gene-0.8	NAC	MP00321	Eragrostis tef	DAP	PlantTFDB	transfer from AT2G46770(Arabidopsis thaliana)
augustus_masked-scaffold683-abinit-gene-0.11	ERF	MP00509	Eragrostis tef	DAP	PlantTFDB	transfer from AT5G13910(Arabidopsis thaliana)
augustus_masked-scaffold7134-abinit-gene-0.3	BBR-BPC	MP00253	Eragrostis tef	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
