Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
HL.SW.v1.0.G000208	NAC	MP00250	Humulus lupulus	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
HL.SW.v1.0.G000262	bZIP	MP00184	Humulus lupulus	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
HL.SW.v1.0.G000619	NAC	MP00266	Humulus lupulus	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
HL.SW.v1.0.G000767	MIKC_MADS	MP00410	Humulus lupulus	DAP	PlantTFDB	transfer from AT3G57230(Arabidopsis thaliana)
HL.SW.v1.0.G000878	NAC	MP00518	Humulus lupulus	DAP	PlantTFDB	transfer from AT5G18270(Arabidopsis thaliana)
HL.SW.v1.0.G000888	NAC	MP00431	Humulus lupulus	DAP	PlantTFDB	transfer from AT4G10350(Arabidopsis thaliana)
HL.SW.v1.0.G000936	Dof	MP00402	Humulus lupulus	DAP	PlantTFDB	transfer from AT3G50410(Arabidopsis thaliana)
HL.SW.v1.0.G001099	MYB	MP00222	Humulus lupulus	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
HL.SW.v1.0.G001204	ERF	MP00645	Humulus lupulus	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
HL.SW.v1.0.G001308	bZIP	MP00038	Humulus lupulus	PBM	PlantTFDB	transfer from AT4G34000(Arabidopsis thaliana)
HL.SW.v1.0.G001346	WRKY	MP00069	Humulus lupulus	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
HL.SW.v1.0.G001518	WRKY	MP00071	Humulus lupulus	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
HL.SW.v1.0.G001608	LBD	MP00211	Humulus lupulus	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
HL.SW.v1.0.G001614	bHLH	MP00074	Humulus lupulus	ChIP-chip	PlantTFDB	transfer from AT2G20180(Arabidopsis thaliana)
HL.SW.v1.0.G001846	BES1	MP00543	Humulus lupulus	DAP	PlantTFDB	transfer from AT5G45300(Arabidopsis thaliana)
HL.SW.v1.0.G002025	ERF	MP00204	Humulus lupulus	DAP	PlantTFDB	transfer from AT1G53910(Arabidopsis thaliana)
HL.SW.v1.0.G002035	MYB	MP00350	Humulus lupulus	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
HL.SW.v1.0.G002289	MYB_related	MP00630	Humulus lupulus	PBM	PlantTFDB	transfer from PK17526.1(Cannabis sativa)
HL.SW.v1.0.G002410	MYB	MP00144	Humulus lupulus	DAP	PlantTFDB	transfer from AT1G16490(Arabidopsis thaliana)
HL.SW.v1.0.G002497	MYB	MP00395	Humulus lupulus	DAP	PlantTFDB	transfer from AT3G47600(Arabidopsis thaliana)
HL.SW.v1.0.G002501	SBP	MP00634	Humulus lupulus	PBM	PlantTFDB	transfer from PK22320.1(Cannabis sativa)
HL.SW.v1.0.G002952	bZIP	MP00409	Humulus lupulus	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
HL.SW.v1.0.G003152	bZIP	MP00491	Humulus lupulus	DAP	PlantTFDB	transfer from AT5G06839(Arabidopsis thaliana)
HL.SW.v1.0.G003201	MYB	MP00500	Humulus lupulus	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
