Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
OBART01G01830	MYB	MP00216	Oryza barthii	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
OBART01G04210	ERF	MP00302	Oryza barthii	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
OBART01G04470	LBD	MP00581	Oryza barthii	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
OBART01G05840	NAC	MP00460	Oryza barthii	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
OBART01G05900	MYB_related	MP00565	Oryza barthii	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
OBART01G06050	C2H2	MP00206	Oryza barthii	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
OBART01G06520	MIKC_MADS	MP00609	Oryza barthii	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
OBART01G06590	BES1	MP00248	Oryza barthii	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
OBART01G07230	TCP	MP00009	Oryza barthii	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
OBART01G08110	MYB	MP00505	Oryza barthii	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
OBART01G08590	bHLH	MP00100	Oryza barthii	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
OBART01G08660	Nin-like	MP00449	Oryza barthii	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
OBART01G09260	WRKY	MP00209	Oryza barthii	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
OBART01G11630	TALE	MP00670	Oryza barthii	PBM	PlantTFDB	transfer from GRMZM2G087741(Zea mays)
OBART01G11910	MYB	MP00134	Oryza barthii	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
OBART01G11950	bHLH	MP00081	Oryza barthii	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
OBART01G12050	M-type_MADS	MP00553	Oryza barthii	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
OBART01G21150	MYB_related	MP00607	Oryza barthii	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
OBART01G23320	HSF	MP00379	Oryza barthii	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
OBART01G25240	ERF	MP00456	Oryza barthii	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
OBART01G25510	GATA	MP00110	Oryza barthii	ampDAP	PlantTFDB	transfer from AT2G18380(Arabidopsis thaliana)
OBART01G25690	WRKY	MP00440	Oryza barthii	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
OBART01G27360	RAV	MP00139	Oryza barthii	DAP	PlantTFDB	transfer from AT1G13260(Arabidopsis thaliana)
