Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
AHYPO_000051	HSF	MP00305	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT2G41690(Arabidopsis thaliana)
AHYPO_000115	bHLH	MP00308	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
AHYPO_000118	G2-like	MP00331	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT3G04030(Arabidopsis thaliana)
AHYPO_000126	MYB_related	MP00607	Amaranthus hypochondriacus	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
AHYPO_000139	SBP	MP00307	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
AHYPO_000255	GATA	MP00377	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT3G24050(Arabidopsis thaliana)
AHYPO_000259	Trihelix	MP00640	Amaranthus hypochondriacus	PBM	PlantTFDB	transfer from MDP0000164819(Malus domestica)
AHYPO_000376	Trihelix	MP00288	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
AHYPO_000402	MYB_related	MP00630	Amaranthus hypochondriacus	PBM	PlantTFDB	transfer from PK17526.1(Cannabis sativa)
AHYPO_000421	bHLH	MP00207	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT1G59640(Arabidopsis thaliana)
AHYPO_000564	ARF	MP00461	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT4G30080(Arabidopsis thaliana)
AHYPO_000646	Trihelix	MP00340	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT3G10030(Arabidopsis thaliana)
AHYPO_000754	bHLH	MP00102	Amaranthus hypochondriacus	PBM	PlantTFDB	transfer from AT4G14410(Arabidopsis thaliana)
AHYPO_000797	CAMTA	MP00435	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
AHYPO_000961	bHLH	MP00074	Amaranthus hypochondriacus	ChIP-chip	PlantTFDB	transfer from AT2G20180(Arabidopsis thaliana)
AHYPO_000966	B3	MP00083	Amaranthus hypochondriacus	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
AHYPO_001041	ERF	MP00230	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT1G72360(Arabidopsis thaliana)
AHYPO_001079	MYB_related	MP00338	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT3G09600(Arabidopsis thaliana)
AHYPO_001118	C2H2	MP00229	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
AHYPO_001407	ERF	MP00374	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
AHYPO_001450	bZIP	MP00419	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
AHYPO_001499	SBP	MP00633	Amaranthus hypochondriacus	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
AHYPO_001520	MYB_related	MP00631	Amaranthus hypochondriacus	PBM	PlantTFDB	transfer from PK23829.1(Cannabis sativa)
AHYPO_001565	TCP	MP00396	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT3G47620(Arabidopsis thaliana)
AHYPO_001617	B3	MP00382	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
AHYPO_001674	ARF	MP00097	Amaranthus hypochondriacus	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
AHYPO_001679	B3	MP00468	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
AHYPO_001751	GRAS	MP00611	Amaranthus hypochondriacus	ChIP-seq	PlantTFDB	transfer from AT2G01570(Arabidopsis thaliana)
AHYPO_001850	LBD	MP00128	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT1G06280(Arabidopsis thaliana)
AHYPO_001951	BES1	MP00248	Amaranthus hypochondriacus	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
