Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
e_gw1.1.548.1	ARR-B	MP00054	Coccomyxa subellipsoidea C-169	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
e_gw1.3.530.1	MYB	MP00653	Coccomyxa subellipsoidea C-169	PBM	PlantTFDB	transfer from LOC_Os02g09480(Oryza sativa subsp. japonica)
estExt_fgenesh1_pg.C_100270	bHLH	MP00219	Coccomyxa subellipsoidea C-169	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
estExt_fgenesh1_pg.C_130010	GATA	MP00048	Coccomyxa subellipsoidea C-169	PBM	PlantTFDB	transfer from AT4G32890(Arabidopsis thaliana)
estExt_fgenesh1_pg.C_170126	ERF	MP00542	Coccomyxa subellipsoidea C-169	DAP	PlantTFDB	transfer from AT5G44210(Arabidopsis thaliana)
estExt_fgenesh1_pg.C_30314	bHLH	MP00081	Coccomyxa subellipsoidea C-169	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
estExt_fgenesh1_pg.C_50154	GATA	MP00554	Coccomyxa subellipsoidea C-169	DAP	PlantTFDB	transfer from AT5G49300(Arabidopsis thaliana)
estExt_fgenesh1_pg.C_60324	MYB_related	MP00551	Coccomyxa subellipsoidea C-169	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
estExt_fgenesh1_pm.C_160127	C3H	MP00113	Coccomyxa subellipsoidea C-169	ampDAP	PlantTFDB	transfer from AT3G12130(Arabidopsis thaliana)
estExt_Genemark1.C_110100	Nin-like	MP00449	Coccomyxa subellipsoidea C-169	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
estExt_Genemark1.C_180179	SBP	MP00060	Coccomyxa subellipsoidea C-169	PBM	PlantTFDB	transfer from AT3G60030(Arabidopsis thaliana)
estExt_Genemark1.C_200086	bZIP	MP00409	Coccomyxa subellipsoidea C-169	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
estExt_Genemark1.C_60286	MYB	MP00028	Coccomyxa subellipsoidea C-169	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
fgenesh1_pg.11_#_43	E2F/DP	MP00397	Coccomyxa subellipsoidea C-169	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
fgenesh1_pg.11_#_47	CAMTA	MP00043	Coccomyxa subellipsoidea C-169	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
fgenesh1_pg.3_#_344	bZIP	MP00247	Coccomyxa subellipsoidea C-169	DAP	PlantTFDB	transfer from AT1G77920(Arabidopsis thaliana)
Genemark1.1008_g	MYB_related	MP00338	Coccomyxa subellipsoidea C-169	DAP	PlantTFDB	transfer from AT3G09600(Arabidopsis thaliana)
Genemark1.2391_g	MYB_related	MP00652	Coccomyxa subellipsoidea C-169	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
Genemark1.2565_g	CAMTA	MP00043	Coccomyxa subellipsoidea C-169	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
Genemark1.422_g	MYB_related	MP00119	Coccomyxa subellipsoidea C-169	DAP	PlantTFDB	transfer from AT1G01060(Arabidopsis thaliana)
Genemark1.5055_g	bZIP	MP00173	Coccomyxa subellipsoidea C-169	DAP	PlantTFDB	transfer from AT1G32150(Arabidopsis thaliana)
Genemark1.5722_g	bZIP	MP00117	Coccomyxa subellipsoidea C-169	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
gw1.10.406.1	MYB	MP00505	Coccomyxa subellipsoidea C-169	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
gw1.18.294.1	CPP	MP00269	Coccomyxa subellipsoidea C-169	DAP	PlantTFDB	transfer from AT2G20110(Arabidopsis thaliana)
gw1.2.725.1	CPP	MP00624	Coccomyxa subellipsoidea C-169	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)

