Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Kaladp0001s0060	BBR-BPC	MP00540	Kalanchoe laxiflora	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Kaladp0001s0109	bZIP	MP00318	Kalanchoe laxiflora	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Kaladp0002s0016	ARF	MP00021	Kalanchoe laxiflora	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
Kaladp0002s0017	NAC	MP00165	Kalanchoe laxiflora	DAP	PlantTFDB	transfer from AT1G28470(Arabidopsis thaliana)
Kaladp0003s0022	Nin-like	MP00449	Kalanchoe laxiflora	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
Kaladp0003s0027	NAC	MP00016	Kalanchoe laxiflora	PBM	PlantTFDB	transfer from AT1G32770(Arabidopsis thaliana)
Kaladp0003s0049	ERF	MP00240	Kalanchoe laxiflora	DAP	PlantTFDB	transfer from AT1G75490(Arabidopsis thaliana)
Kaladp0003s0054	MIKC_MADS	MP00077	Kalanchoe laxiflora	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
Kaladp0003s0128	bZIP	MP00419	Kalanchoe laxiflora	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
Kaladp0006s0076	ARF	MP00574	Kalanchoe laxiflora	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
Kaladp0007s0017	bHLH	MP00100	Kalanchoe laxiflora	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
Kaladp0008s0096	HD-ZIP	MP00320	Kalanchoe laxiflora	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Kaladp0008s0197	ERF	MP00158	Kalanchoe laxiflora	DAP	PlantTFDB	transfer from AT1G22810(Arabidopsis thaliana)
Kaladp0008s0200	C2H2	MP00196	Kalanchoe laxiflora	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
Kaladp0008s0226	Trihelix	MP00288	Kalanchoe laxiflora	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Kaladp0008s0327	bZIP	MP00409	Kalanchoe laxiflora	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
