Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
MNEG_0421	bZIP	MP00184	Monoraphidium neglectum	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
MNEG_0733	G2-like	MP00252	Monoraphidium neglectum	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
MNEG_10057	GATA	MP00472	Monoraphidium neglectum	DAP	PlantTFDB	transfer from AT4G36620(Arabidopsis thaliana)
MNEG_10479	ERF	MP00027	Monoraphidium neglectum	PBM	PlantTFDB	transfer from AT4G23750(Arabidopsis thaliana)
MNEG_13263	MYB	MP00516	Monoraphidium neglectum	DAP	PlantTFDB	transfer from AT5G17800(Arabidopsis thaliana)
MNEG_13626	GATA	MP00377	Monoraphidium neglectum	DAP	PlantTFDB	transfer from AT3G24050(Arabidopsis thaliana)
MNEG_14571	bHLH	MP00219	Monoraphidium neglectum	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
MNEG_14790	MYB	MP00028	Monoraphidium neglectum	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
MNEG_14869	MYB_related	MP00119	Monoraphidium neglectum	DAP	PlantTFDB	transfer from AT1G01060(Arabidopsis thaliana)
MNEG_16435	WRKY	MP00071	Monoraphidium neglectum	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
MNEG_3202	bHLH	MP00372	Monoraphidium neglectum	DAP	PlantTFDB	transfer from AT3G23210(Arabidopsis thaliana)
MNEG_5759	G2-like	MP00056	Monoraphidium neglectum	PBM	PlantTFDB	transfer from AT5G05090(Arabidopsis thaliana)
MNEG_5946	C3H	MP00113	Monoraphidium neglectum	ampDAP	PlantTFDB	transfer from AT3G12130(Arabidopsis thaliana)
MNEG_6134	C3H	MP00383	Monoraphidium neglectum	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
MNEG_7026	Dof	MP00223	Monoraphidium neglectum	DAP	PlantTFDB	transfer from AT1G69570(Arabidopsis thaliana)
MNEG_7163	SBP	MP00555	Monoraphidium neglectum	DAP	PlantTFDB	transfer from AT5G50570(Arabidopsis thaliana)
MNEG_8773	G2-like	MP00628	Monoraphidium neglectum	PBM	PlantTFDB	transfer from PK10342.1(Cannabis sativa)
MNEG_9669	MYB	MP00476	Monoraphidium neglectum	DAP	PlantTFDB	transfer from AT4G37260(Arabidopsis thaliana)
MNEG_9934	CPP	MP00269	Monoraphidium neglectum	DAP	PlantTFDB	transfer from AT2G20110(Arabidopsis thaliana)

