Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Sopim00g024680.0.1	Dof	MP00295	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G37590(Arabidopsis thaliana)
Sopim01g005060.0.1	C2H2	MP00254	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
Sopim01g005630.0.1	ERF	MP00521	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
Sopim01g006650.0.1	EIL	MP00233	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G73730(Arabidopsis thaliana)
Sopim01g009170.0.1	EIL	MP00367	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
Sopim01g009860.0.1	NAC	MP00507	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
Sopim01g010130.0.1	bHLH	MP00660	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
Sopim01g014480.0.1	EIL	MP00649	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from LOC_Os09g31400(Oryza sativa subsp. japonica)
Sopim01g065540.0.1	ARR-B	MP00054	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
Sopim01g065980.0.1	ERF	MP00109	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT3G16770(Arabidopsis thaliana)
Sopim01g067540.0.1	ERF	MP00520	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
Sopim01g068100.0.1	SBP	MP00633	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
Sopim01g079260.0.1	WRKY	MP00069	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
Sopim01g079480.0.1	bZIP	MP00419	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
Sopim01g080670.0.1	SBP	MP00604	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
Sopim01g087990.0.1	MIKC_MADS	MP00508	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
Sopim01g089960.0.1	WRKY	MP00618	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
Sopim01g090560.0.1	ERF	MP00312	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G44940(Arabidopsis thaliana)
Sopim01g090790.0.1	bHLH	MP00034	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT4G00050(Arabidopsis thaliana)
Sopim01g090840.0.1	C2H2	MP00416	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G60580(Arabidopsis thaliana)
Sopim01g091010.0.1	YABBY	MP00620	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
Sopim01g091630.0.1	HD-ZIP	MP00421	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
Sopim01g093960.0.1	MIKC_MADS	MP00315	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Sopim01g094360.0.1	MYB	MP00114	Solanum pimpinellifolium	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
Sopim01g095100.0.1	WRKY	MP00422	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
Sopim01g095460.0.1	bZIP	MP00318	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Sopim01g096050.0.1	bHLH	MP00100	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
Sopim01g096320.0.1	HD-ZIP	MP00320	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Sopim01g097330.0.1	bZIP	MP00040	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
Sopim01g100510.0.1	TALE	MP00670	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from GRMZM2G087741(Zea mays)
Sopim01g102260.0.1	M-type_MADS	MP00553	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
Sopim01g102300.0.1	bHLH	MP00081	Solanum pimpinellifolium	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
Sopim01g102740.0.1	NAC	MP00257	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
Sopim01g103050.0.1	ARF	MP00097	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
Sopim01g104760.0.1	Trihelix	MP00242	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G76870(Arabidopsis thaliana)
Sopim01g105230.0.1	CAMTA	MP00043	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
Sopim01g108080.0.1	bZIP	MP00038	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT4G34000(Arabidopsis thaliana)
Sopim01g108240.0.1	ERF	MP00469	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G34410(Arabidopsis thaliana)
Sopim01g109880.0.1	bZIP	MP00239	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G75390(Arabidopsis thaliana)
Sopim02g036370.0.1	MYB_related	MP00515	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G17300(Arabidopsis thaliana)
Sopim02g036430.0.1	NAC	MP00212	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
Sopim02g037530.0.1	ARF	MP00033	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT5G37020(Arabidopsis thaliana)
Sopim02g062950.0.1	bZIP	MP00039	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT4G36730(Arabidopsis thaliana)
Sopim02g067230.0.1	Dof	MP00046	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
Sopim02g067310.0.1	ZF-HD	MP00387	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G28920(Arabidopsis thaliana)
Sopim02g068200.0.1	TCP	MP00636	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
Sopim02g071130.0.1	WRKY	MP00440	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
Sopim02g071730.0.1	MIKC_MADS	MP00609	Solanum pimpinellifolium	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
Sopim02g072000.0.1	HSF	MP00443	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
Sopim02g076810.0.1	Trihelix	MP00413	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G58630(Arabidopsis thaliana)
Sopim02g077360.0.1	ERF	MP00441	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G18450(Arabidopsis thaliana)
Sopim02g077560.0.1	ARF	MP00021	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
Sopim02g077840.0.1	ERF	MP00645	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
Sopim02g077920.0.1	SBP	MP00290	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G33810(Arabidopsis thaliana)
Sopim02g079810.0.1	bHLH	MP00091	Solanum pimpinellifolium	SELEX	PlantTFDB	transfer from AT4G21330(Arabidopsis thaliana)
Sopim02g080890.0.1	WRKY	MP00209	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
Sopim02g082670.0.1	WOX	MP00669	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
Sopim02g083950.0.1	WOX	MP00265	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
Sopim02g084350.0.1	NAC	MP00266	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
Sopim02g084860.0.1	bZIP	MP00470	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G34590(Arabidopsis thaliana)
Sopim02g085160.0.1	ZF-HD	MP00268	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G18350(Arabidopsis thaliana)
Sopim02g085580.0.1	C2H2	MP00592	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
Sopim02g085630.0.1	HD-ZIP	MP00473	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G36740(Arabidopsis thaliana)
Sopim02g086930.0.1	HD-ZIP	MP00323	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
Sopim02g087920.0.1	NAC	MP00537	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G39820(Arabidopsis thaliana)
Sopim02g089190.0.1	MYB	MP00388	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G30210(Arabidopsis thaliana)
Sopim02g089420.0.1	bZIP	MP00389	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
Sopim02g090170.0.1	B3	MP00468	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
Sopim02g090220.0.1	Dof	MP00402	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G50410(Arabidopsis thaliana)
Sopim02g090400.0.1	G2-like	MP00475	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G37180(Arabidopsis thaliana)
Sopim02g091930.0.1	HD-ZIP	MP00477	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G37790(Arabidopsis thaliana)
Sopim02g092050.0.1	AP2	MP00088	Solanum pimpinellifolium	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
Sopim02g092930.0.1	MYB	MP00476	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G37260(Arabidopsis thaliana)
Sopim02g093280.0.1	bHLH	MP00035	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
Sopim02g094460.0.1	B3	MP00382	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
Sopim03g005520.0.1	ERF	MP00374	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
Sopim03g005990.0.1	BES1	MP00248	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
Sopim03g006800.0.1	TCP	MP00667	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from GSVIVG01027588001(Vitis vinifera)
Sopim03g006830.0.1	MIKC_MADS	MP00576	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G62165(Arabidopsis thaliana)
Sopim03g026020.0.1	HSF	MP00575	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G62020(Arabidopsis thaliana)
Sopim03g026270.0.1	ERF	MP00452	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G25470(Arabidopsis thaliana)
Sopim03g026280.0.1	ERF	MP00453	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G25480(Arabidopsis thaliana)
Sopim03g093550.0.1	ERF	MP00556	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G51190(Arabidopsis thaliana)
Sopim03g095770.0.1	WRKY	MP00408	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
Sopim03g096350.0.1	MYB	MP00347	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G11280(Arabidopsis thaliana)
Sopim03g097120.0.1	HSF	MP00514	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G16820(Arabidopsis thaliana)
Sopim03g098190.0.1	NAC	MP00363	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G17730(Arabidopsis thaliana)
Sopim03g098320.0.1	MYB_related	MP00146	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G18330(Arabidopsis thaliana)
Sopim03g111590.0.1	C2H2	MP00608	Solanum pimpinellifolium	ChIP-seq	PlantTFDB	transfer from AT3G48430(Arabidopsis thaliana)
Sopim03g112430.0.1	LBD	MP00581	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
Sopim03g112890.0.1	MYB	MP00442	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
Sopim03g112930.0.1	Dof	MP00580	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
Sopim03g113620.0.1	MYB_related	MP00631	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from PK23829.1(Cannabis sativa)
Sopim03g113760.0.1	E2F/DP	MP00397	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
Sopim03g114720.0.1	bHLH	MP00498	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G08130(Arabidopsis thaliana)
Sopim03g114840.0.1	MIKC_MADS	MP00030	Solanum pimpinellifolium	SELEX	PlantTFDB	transfer from AT2G03710(Arabidopsis thaliana)
Sopim03g115010.0.1	TCP	MP00326	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
Sopim03g115940.0.1	Dof	MP00394	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G47500(Arabidopsis thaliana)
Sopim03g116100.0.1	MYB	MP00579	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G62470(Arabidopsis thaliana)
Sopim03g118160.0.1	LFY	MP00095	Solanum pimpinellifolium	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
Sopim03g118290.0.1	ARF	MP00574	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
Sopim03g119740.0.1	MYB	MP00191	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G49010(Arabidopsis thaliana)
Sopim03g120910.0.1	HD-ZIP	MP00200	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G52150(Arabidopsis thaliana)
Sopim03g121660.0.1	C2H2	MP00206	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
Sopim03g121840.0.1	MYB_related	MP00652	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
Sopim03g122030.0.1	Trihelix	MP00356	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G14180(Arabidopsis thaliana)
Sopim03g123500.0.1	ERF	MP00204	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G53910(Arabidopsis thaliana)
Sopim03g124110.0.1	ERF	MP00557	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G51990(Arabidopsis thaliana)
Sopim04g005100.0.1	MYB_related	MP00630	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from PK17526.1(Cannabis sativa)
Sopim04g005280.0.1	bHLH	MP00219	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
Sopim04g005610.0.1	NAC	MP00221	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G69490(Arabidopsis thaliana)
Sopim04g008380.0.1	BBR-BPC	MP00253	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
Sopim04g008500.0.1	C2H2	MP00256	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G02080(Arabidopsis thaliana)
Sopim04g008870.0.1	MYB	MP00500	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
Sopim04g009180.0.1	TCP	MP00524	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
Sopim04g009950.0.1	MYB	MP00028	Solanum pimpinellifolium	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
Sopim04g011670.0.1	bZIP	MP00642	Solanum pimpinellifolium	SELEX	PlantTFDB	transfer from LOC107771743(Nicotiana tabacum)
Sopim04g015570.0.1	C2H2	MP00306	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G41835(Arabidopsis thaliana)
Sopim04g016000.0.1	HSF	MP00305	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G41690(Arabidopsis thaliana)
Sopim04g045430.0.1	Trihelix	MP00288	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Sopim04g056310.0.1	MYB	MP00503	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G10280(Arabidopsis thaliana)
Sopim04g064540.0.1	MYB	MP00145	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G17950(Arabidopsis thaliana)
Sopim04g070960.0.1	Dof	MP00405	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
Sopim04g071160.0.1	bZIP	MP00184	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
Sopim04g072220.0.1	NAC	MP00179	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G34190(Arabidopsis thaliana)
Sopim04g072900.0.1	ERF	MP00026	Solanum pimpinellifolium	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Sopim04g074170.0.1	MYB	MP00180	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G34670(Arabidopsis thaliana)
Sopim04g077210.0.1	TALE	MP00675	Solanum pimpinellifolium	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
Sopim04g077260.0.1	MYB	MP00089	Solanum pimpinellifolium	SELEX	PlantTFDB	transfer from AT3G49690(Arabidopsis thaliana)
Sopim04g077480.0.1	bHLH	MP00135	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
Sopim04g077980.0.1	C2H2	MP00162	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
Sopim04g078550.0.1	WRKY	MP00450	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT4G24240(Arabidopsis thaliana)
Sopim04g078640.0.1	ERF	MP00595	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT5G67190(Arabidopsis thaliana)
Sopim04g078770.0.1	HSF	MP00187	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
Sopim04g078840.0.1	bZIP	MP00186	Solanum pimpinellifolium	DAP	PlantTFDB	transfer from AT1G45249(Arabidopsis thaliana)
