Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
LOC105031955	C2H2	MP00255	Elaeis guineensis	DAP	PlantTFDB	transfer from AT2G02070(Arabidopsis thaliana)
LOC105031973	ERF	MP00374	Elaeis guineensis	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
LOC105032342	C2H2	MP00592	Elaeis guineensis	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
LOC105032540	WRKY	MP00455	Elaeis guineensis	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
LOC105032555	MIKC_MADS	MP00080	Elaeis guineensis	ChIP-seq	PlantTFDB	transfer from AT5G20240(Arabidopsis thaliana)
LOC105033019	bZIP	MP00586	Elaeis guineensis	DAP	PlantTFDB	transfer from AT5G65210(Arabidopsis thaliana)
LOC105033091	LBD	MP00314	Elaeis guineensis	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
LOC105033110	MYB	MP00336	Elaeis guineensis	DAP	PlantTFDB	transfer from AT3G08500(Arabidopsis thaliana)
LOC105033334	MIKC_MADS	MP00077	Elaeis guineensis	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
LOC105033413	GATA	MP00130	Elaeis guineensis	DAP	PlantTFDB	transfer from AT1G08010(Arabidopsis thaliana)
LOC105033626	bHLH	MP00074	Elaeis guineensis	ChIP-chip	PlantTFDB	transfer from AT2G20180(Arabidopsis thaliana)
LOC105033925	BES1	MP00237	Elaeis guineensis	DAP	PlantTFDB	transfer from AT1G75080(Arabidopsis thaliana)
LOC105033952	bHLH	MP00036	Elaeis guineensis	PBM	PlantTFDB	transfer from AT5G48560(Arabidopsis thaliana)
LOC105034068	C2H2	MP00162	Elaeis guineensis	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
LOC105034164	AP2	MP00615	Elaeis guineensis	PBM	PlantTFDB	transfer from AT2G28550(Arabidopsis thaliana)
LOC105034190	NAC	MP00257	Elaeis guineensis	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
LOC105034225	bZIP	MP00294	Elaeis guineensis	DAP	PlantTFDB	transfer from AT2G36270(Arabidopsis thaliana)
LOC105034229	bZIP	MP00131	Elaeis guineensis	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
LOC105034281	NAC	MP00507	Elaeis guineensis	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
LOC105034345	ARR-B	MP00010	Elaeis guineensis	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
LOC105034576	G2-like	MP00378	Elaeis guineensis	DAP	PlantTFDB	transfer from AT3G24120(Arabidopsis thaliana)
LOC105034859	LBD	MP00211	Elaeis guineensis	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
LOC105034873	HSF	MP00514	Elaeis guineensis	DAP	PlantTFDB	transfer from AT5G16820(Arabidopsis thaliana)
LOC105034962	NAC	MP00017	Elaeis guineensis	PBM	PlantTFDB	transfer from AT1G71930(Arabidopsis thaliana)
LOC105035055	ERF	MP00645	Elaeis guineensis	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
LOC105035080	NAC	MP00212	Elaeis guineensis	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
LOC105035310	MYB	MP00442	Elaeis guineensis	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
LOC105035518	M-type_MADS	MP00553	Elaeis guineensis	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
LOC105035784	C2H2	MP00196	Elaeis guineensis	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
LOC105035817	bHLH	MP00547	Elaeis guineensis	DAP	PlantTFDB	transfer from AT5G46830(Arabidopsis thaliana)
LOC105035893	ERF	MP00163	Elaeis guineensis	DAP	PlantTFDB	transfer from AT1G28160(Arabidopsis thaliana)
LOC105036031	MYB_related	MP00652	Elaeis guineensis	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
LOC105036260	WRKY	MP00317	Elaeis guineensis	DAP	PlantTFDB	transfer from AT2G46130(Arabidopsis thaliana)
LOC105036549	BES1	MP00543	Elaeis guineensis	DAP	PlantTFDB	transfer from AT5G45300(Arabidopsis thaliana)
LOC105036666	ERF	MP00601	Elaeis guineensis	PBM	PlantTFDB	transfer from AT1G74930(Arabidopsis thaliana)
LOC105036705	ERF	MP00463	Elaeis guineensis	DAP	PlantTFDB	transfer from AT4G31060(Arabidopsis thaliana)
LOC105036747	C2H2	MP00487	Elaeis guineensis	DAP	PlantTFDB	transfer from AT5G04390(Arabidopsis thaliana)
LOC105036882	MYB	MP00134	Elaeis guineensis	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
LOC105037074	MIKC_MADS	MP00315	Elaeis guineensis	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
LOC105037133	bZIP	MP00419	Elaeis guineensis	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
LOC105037388	MYB	MP00249	Elaeis guineensis	DAP	PlantTFDB	transfer from AT1G79180(Arabidopsis thaliana)
LOC105037454	WRKY	MP00067	Elaeis guineensis	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
LOC105037989	Dof	MP00405	Elaeis guineensis	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
LOC105038134	bHLH	MP00100	Elaeis guineensis	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
LOC105038186	Trihelix	MP00340	Elaeis guineensis	DAP	PlantTFDB	transfer from AT3G10030(Arabidopsis thaliana)
LOC105038301	Nin-like	MP00449	Elaeis guineensis	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
LOC105038547	ERF	MP00227	Elaeis guineensis	DAP	PlantTFDB	transfer from AT1G71450(Arabidopsis thaliana)
LOC105038568	ZF-HD	MP00258	Elaeis guineensis	DAP	PlantTFDB	transfer from AT2G02540(Arabidopsis thaliana)
LOC105038616	bZIP	MP00126	Elaeis guineensis	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
LOC105038821	MYB	MP00510	Elaeis guineensis	DAP	PlantTFDB	transfer from AT5G14340(Arabidopsis thaliana)
LOC105038905	bHLH	MP00646	Elaeis guineensis	PBM	PlantTFDB	transfer from LOC_Os08g39630(Oryza sativa subsp. japonica)
LOC105039119	E2F/DP	MP00397	Elaeis guineensis	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
LOC105039204	HD-ZIP	MP00323	Elaeis guineensis	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
