Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
LOC_Os01g03720	MYB	MP00216	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
LOC_Os01g07120	ERF	MP00302	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
LOC_Os01g07480	LBD	MP00581	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
LOC_Os01g08160	G2-like	MP00261	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
LOC_Os01g09550	NAC	MP00460	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
LOC_Os01g09640	MYB_related	MP00565	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
LOC_Os01g09850	C2H2	MP00206	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
LOC_Os01g10504	MIKC_MADS	MP00609	Oryza sativa subsp. japonica	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
LOC_Os01g11550	TCP	MP00009	Oryza sativa subsp. japonica	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
LOC_Os01g12440	ERF	MP00456	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
LOC_Os01g12860	MYB	MP00505	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
LOC_Os01g13460	bHLH	MP00100	Oryza sativa subsp. japonica	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
LOC_Os01g14010	C2H2	MP00125	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
LOC_Os01g14440	WRKY	MP00209	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
LOC_Os01g16810	MYB	MP00222	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
LOC_Os01g18440	M-type_MADS	MP00553	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
LOC_Os01g19694	TALE	MP00670	Oryza sativa subsp. japonica	PBM	PlantTFDB	transfer from GRMZM2G087741(Zea mays)
LOC_Os01g19970	MYB	MP00627	Oryza sativa subsp. japonica	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
LOC_Os01g40670	MYB_related	MP00607	Oryza sativa subsp. japonica	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
LOC_Os01g46870	ERF	MP00456	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
LOC_Os01g47560	WRKY	MP00440	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
LOC_Os01g48060	ARF	MP00021	Oryza sativa subsp. japonica	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
LOC_Os01g48130	NAC	MP00459	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
LOC_Os01g49830	RAV	MP00139	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT1G13260(Arabidopsis thaliana)
LOC_Os01g51154	MYB_related	MP00652	Oryza sativa subsp. japonica	PBM	PMID:25215497	M1361_1.02
LOC_Os01g51610	B3	MP00382	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
LOC_Os01g53220	HSF	MP00379	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
LOC_Os01g53260	WRKY	MP00539	Oryza sativa subsp. japonica	DAP	PlantTFDB	transfer from AT5G41570(Arabidopsis thaliana)
