Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
LPERR01G01750	MYB	MP00216	Leersia perrieri	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
LPERR01G03760	ERF	MP00302	Leersia perrieri	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
LPERR01G04140	LBD	MP00581	Leersia perrieri	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
LPERR01G04460	bZIP	MP00117	Leersia perrieri	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
LPERR01G04660	G2-like	MP00261	Leersia perrieri	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
LPERR01G05530	NAC	MP00460	Leersia perrieri	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
LPERR01G05630	MYB_related	MP00565	Leersia perrieri	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
LPERR01G05760	C2H2	MP00206	Leersia perrieri	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
LPERR01G06160	MIKC_MADS	MP00609	Leersia perrieri	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
LPERR01G06210	BES1	MP00248	Leersia perrieri	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
LPERR01G06830	TCP	MP00009	Leersia perrieri	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
LPERR01G07340	ERF	MP00027	Leersia perrieri	PBM	PlantTFDB	transfer from AT4G23750(Arabidopsis thaliana)
LPERR01G07720	bHLH	MP00100	Leersia perrieri	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
LPERR01G08320	G2-like	MP00022	Leersia perrieri	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
LPERR01G08450	C2H2	MP00125	Leersia perrieri	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
LPERR01G08840	WRKY	MP00209	Leersia perrieri	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
LPERR01G10360	MYB	MP00516	Leersia perrieri	DAP	PlantTFDB	transfer from AT5G17800(Arabidopsis thaliana)
LPERR01G10930	MYB	MP00134	Leersia perrieri	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
LPERR01G10950	bHLH	MP00081	Leersia perrieri	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
LPERR01G11040	M-type_MADS	MP00553	Leersia perrieri	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
LPERR01G11670	TALE	MP00670	Leersia perrieri	PBM	PlantTFDB	transfer from GRMZM2G087741(Zea mays)
LPERR01G18090	MYB_related	MP00607	Leersia perrieri	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
