Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
MLOC_10214	TCP	MP00006	Hordeum vulgare	PBM	PlantTFDB	transfer from 493022(Arabidopsis lyrata)
MLOC_10221	AP2	MP00088	Hordeum vulgare	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
MLOC_10278	MYB_related	MP00607	Hordeum vulgare	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
MLOC_10556	MYB	MP00466	Hordeum vulgare	DAP	PlantTFDB	transfer from AT4G32730(Arabidopsis thaliana)
MLOC_10823	EIL	MP00649	Hordeum vulgare	PBM	PlantTFDB	transfer from LOC_Os09g31400(Oryza sativa subsp. japonica)
MLOC_10987	C2H2	MP00196	Hordeum vulgare	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
MLOC_12078	WRKY	MP00618	Hordeum vulgare	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
MLOC_12079	WRKY	MP00531	Hordeum vulgare	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
MLOC_12223	ERF	MP00519	Hordeum vulgare	DAP	PlantTFDB	transfer from AT5G18450(Arabidopsis thaliana)
MLOC_13438	bHLH	MP00462	Hordeum vulgare	DAP	PlantTFDB	transfer from AT4G30980(Arabidopsis thaliana)
MLOC_13932	NAC	MP00241	Hordeum vulgare	DAP	PlantTFDB	transfer from AT1G76420(Arabidopsis thaliana)
MLOC_14118	MYB_related	MP00654	Hordeum vulgare	PBM	PlantTFDB	transfer from LOC_Os08g06110(Oryza sativa subsp. japonica)
MLOC_14305	LFY	MP00095	Hordeum vulgare	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
MLOC_14363	C2H2	MP00592	Hordeum vulgare	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
MLOC_14401	MYB	MP00385	Hordeum vulgare	DAP	PlantTFDB	transfer from AT3G27785(Arabidopsis thaliana)
MLOC_14619	EIL	MP00367	Hordeum vulgare	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
MLOC_14785	TCP	MP00065	Hordeum vulgare	PBM	PlantTFDB	transfer from AT5G60970(Arabidopsis thaliana)
MLOC_14821	WRKY	MP00167	Hordeum vulgare	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
MLOC_14844	G2-like	MP00544	Hordeum vulgare	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
MLOC_15014	HD-ZIP	MP00232	Hordeum vulgare	DAP	PlantTFDB	transfer from AT1G73360(Arabidopsis thaliana)
MLOC_15725	B3	MP00382	Hordeum vulgare	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
MLOC_15776	BBR-BPC	MP00540	Hordeum vulgare	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
MLOC_17128	NAC	MP00250	Hordeum vulgare	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
MLOC_17236	Dof	MP00407	Hordeum vulgare	DAP	PlantTFDB	transfer from AT3G55370(Arabidopsis thaliana)
MLOC_17690	bZIP	MP00131	Hordeum vulgare	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
MLOC_18401	ARF	MP00574	Hordeum vulgare	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
MLOC_1876	C2H2	MP00673	Hordeum vulgare	SELEX	PlantTFDB	transfer from GRMZM2G011357(Zea mays)
MLOC_19022	BES1	MP00543	Hordeum vulgare	DAP	PlantTFDB	transfer from AT5G45300(Arabidopsis thaliana)
MLOC_19175	NAC	MP00431	Hordeum vulgare	DAP	PlantTFDB	transfer from AT4G10350(Arabidopsis thaliana)
MLOC_20326	bZIP	MP00038	Hordeum vulgare	PBM	PlantTFDB	transfer from AT4G34000(Arabidopsis thaliana)
MLOC_22013	bZIP	MP00019	Hordeum vulgare	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
MLOC_23250	ARR-B	MP00010	Hordeum vulgare	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
MLOC_23443	C2H2	MP00522	Hordeum vulgare	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
MLOC_23884	B3	MP00468	Hordeum vulgare	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
MLOC_24269	TCP	MP00524	Hordeum vulgare	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
MLOC_24530	ERF	MP00358	Hordeum vulgare	DAP	PlantTFDB	transfer from AT3G15210(Arabidopsis thaliana)
MLOC_25460	Trihelix	MP00651	Hordeum vulgare	PBM	PlantTFDB	transfer from LOC_Os02g01380(Oryza sativa subsp. japonica)
MLOC_29808	C2H2	MP00487	Hordeum vulgare	DAP	PlantTFDB	transfer from AT5G04390(Arabidopsis thaliana)
