Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
PGSC0003DMG400000008	M-type_MADS	MP00076	Solanum tuberosum	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
PGSC0003DMG400000027	MYB	MP00114	Solanum tuberosum	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
PGSC0003DMG400000064	WRKY	MP00422	Solanum tuberosum	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
PGSC0003DMG400000088	bZIP	MP00318	Solanum tuberosum	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
PGSC0003DMG400000136	MIKC_MADS	MP00315	Solanum tuberosum	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
PGSC0003DMG400000189	MYB_related	MP00560	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G52660(Arabidopsis thaliana)
PGSC0003DMG400000232	bHLH	MP00100	Solanum tuberosum	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
PGSC0003DMG400000248	HD-ZIP	MP00320	Solanum tuberosum	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
PGSC0003DMG400000340	MYB_related	MP00565	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
PGSC0003DMG400000380	HSF	MP00379	Solanum tuberosum	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
PGSC0003DMG400000419	C2H2	MP00522	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
PGSC0003DMG400000498	HD-ZIP	MP00323	Solanum tuberosum	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
PGSC0003DMG400000786	Dof	MP00405	Solanum tuberosum	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
PGSC0003DMG400000811	RAV	MP00139	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G13260(Arabidopsis thaliana)
PGSC0003DMG400000828	G2-like	MP00160	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G25550(Arabidopsis thaliana)
PGSC0003DMG400000910	ERF	MP00156	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
PGSC0003DMG400000974	LBD	MP00211	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
PGSC0003DMG400001223	NAC	MP00310	Solanum tuberosum	DAP	PlantTFDB	transfer from AT2G43000(Arabidopsis thaliana)
PGSC0003DMG400001323	NAC	MP00537	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G39820(Arabidopsis thaliana)
PGSC0003DMG400001362	TCP	MP00326	Solanum tuberosum	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
PGSC0003DMG400001376	MYB	MP00388	Solanum tuberosum	DAP	PlantTFDB	transfer from AT3G30210(Arabidopsis thaliana)
PGSC0003DMG400001387	bZIP	MP00389	Solanum tuberosum	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
PGSC0003DMG400001565	WOX	MP00669	Solanum tuberosum	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
PGSC0003DMG400002144	G2-like	MP00014	Solanum tuberosum	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
PGSC0003DMG400002185	ERF	MP00509	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G13910(Arabidopsis thaliana)
PGSC0003DMG400002350	ERF	MP00456	Solanum tuberosum	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
PGSC0003DMG400002489	MYB_related	MP00652	Solanum tuberosum	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
PGSC0003DMG400002495	C2H2	MP00206	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
PGSC0003DMG400002507	Dof	MP00199	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G51700(Arabidopsis thaliana)
PGSC0003DMG400002616	HD-ZIP	MP00200	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G52150(Arabidopsis thaliana)
PGSC0003DMG400002660	bZIP	MP00294	Solanum tuberosum	DAP	PlantTFDB	transfer from AT2G36270(Arabidopsis thaliana)
PGSC0003DMG400002692	HD-ZIP	MP00486	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G03790(Arabidopsis thaliana)
PGSC0003DMG400002727	Trihelix	MP00340	Solanum tuberosum	DAP	PlantTFDB	transfer from AT3G10030(Arabidopsis thaliana)
PGSC0003DMG400002824	NAC	MP00221	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G69490(Arabidopsis thaliana)
PGSC0003DMG400002899	ERF	MP00151	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
PGSC0003DMG400003053	HSF	MP00432	Solanum tuberosum	DAP	PlantTFDB	transfer from AT4G11660(Arabidopsis thaliana)
PGSC0003DMG400003160	HSF	MP00514	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G16820(Arabidopsis thaliana)
PGSC0003DMG400003510	ZF-HD	MP00268	Solanum tuberosum	DAP	PlantTFDB	transfer from AT2G18350(Arabidopsis thaliana)
PGSC0003DMG400003529	bZIP	MP00470	Solanum tuberosum	DAP	PlantTFDB	transfer from AT4G34590(Arabidopsis thaliana)
PGSC0003DMG400003561	WOX	MP00265	Solanum tuberosum	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
PGSC0003DMG400003701	bZIP	MP00239	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G75390(Arabidopsis thaliana)
PGSC0003DMG400003706	ERF	MP00240	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G75490(Arabidopsis thaliana)
PGSC0003DMG400003709	MIKC_MADS	MP00077	Solanum tuberosum	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
PGSC0003DMG400003719	BBR-BPC	MP00540	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
PGSC0003DMG400003771	ARF	MP00153	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G19850(Arabidopsis thaliana)
PGSC0003DMG400004005	ERF	MP00276	Solanum tuberosum	DAP	PlantTFDB	transfer from AT2G23340(Arabidopsis thaliana)
PGSC0003DMG400004011	bHLH	MP00035	Solanum tuberosum	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
PGSC0003DMG400004062	Dof	MP00570	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G60850(Arabidopsis thaliana)
PGSC0003DMG400004082	TCP	MP00008	Solanum tuberosum	PBM	PlantTFDB	transfer from 496250(Arabidopsis lyrata)
PGSC0003DMG400004921	AP2	MP00088	Solanum tuberosum	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
PGSC0003DMG400004922	bHLH	MP00135	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
PGSC0003DMG400004948	MYB	MP00089	Solanum tuberosum	SELEX	PlantTFDB	transfer from AT3G49690(Arabidopsis thaliana)
PGSC0003DMG400004953	HB-other	MP00675	Solanum tuberosum	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
PGSC0003DMG400005196	SBP	MP00633	Solanum tuberosum	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
PGSC0003DMG400005626	MYB_related	MP00191	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G49010(Arabidopsis thaliana)
PGSC0003DMG400005918	MYB	MP00348	Solanum tuberosum	DAP	PlantTFDB	transfer from AT3G11440(Arabidopsis thaliana)
PGSC0003DMG400006211	bZIP	MP00038	Solanum tuberosum	PBM	PlantTFDB	transfer from AT4G34000(Arabidopsis thaliana)
PGSC0003DMG400006345	bZIP	MP00642	Solanum tuberosum	SELEX	PlantTFDB	transfer from LOC107771743(Nicotiana tabacum)
PGSC0003DMG400006408	MYB	MP00180	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G34670(Arabidopsis thaliana)
PGSC0003DMG400007036	ERF	MP00120	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G01250(Arabidopsis thaliana)
PGSC0003DMG400007110	bZIP	MP00131	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
PGSC0003DMG400007160	C2H2	MP00487	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G04390(Arabidopsis thaliana)
PGSC0003DMG400007202	C2H2	MP00229	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
PGSC0003DMG400007301	bZIP	MP00419	Solanum tuberosum	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
PGSC0003DMG400007304	MYB_related	MP00627	Solanum tuberosum	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
PGSC0003DMG400007325	MYB	MP00350	Solanum tuberosum	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
PGSC0003DMG400007360	MYB	MP00336	Solanum tuberosum	DAP	PlantTFDB	transfer from AT3G08500(Arabidopsis thaliana)
PGSC0003DMG400007806	Trihelix	MP00413	Solanum tuberosum	DAP	PlantTFDB	transfer from AT3G58630(Arabidopsis thaliana)
PGSC0003DMG400007947	WRKY	MP00450	Solanum tuberosum	DAP	PlantTFDB	transfer from AT4G24240(Arabidopsis thaliana)
PGSC0003DMG400007951	ERF	MP00595	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G67190(Arabidopsis thaliana)
PGSC0003DMG400007962	HSF	MP00187	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
PGSC0003DMG400008011	bZIP	MP00186	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G45249(Arabidopsis thaliana)
PGSC0003DMG400008082	GATA	MP00130	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G08010(Arabidopsis thaliana)
PGSC0003DMG400008153	bHLH	MP00308	Solanum tuberosum	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
PGSC0003DMG400008352	ERF	MP00521	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
PGSC0003DMG400008687	MYB	MP00564	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G56110(Arabidopsis thaliana)
PGSC0003DMG400008712	EIL	MP00367	Solanum tuberosum	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
PGSC0003DMG400008786	G2-like	MP00252	Solanum tuberosum	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
PGSC0003DMG400008908	MYB	MP00482	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G02320(Arabidopsis thaliana)
PGSC0003DMG400008914	Dof	MP00483	Solanum tuberosum	DAP	PlantTFDB	transfer from AT5G02460(Arabidopsis thaliana)
PGSC0003DMG400009033	MYB	MP00627	Solanum tuberosum	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
PGSC0003DMG400009051	WRKY	MP00069	Solanum tuberosum	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
PGSC0003DMG400009142	ERF	MP00204	Solanum tuberosum	DAP	PlantTFDB	transfer from AT1G53910(Arabidopsis thaliana)
