Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
311885	bZIP	MP00131	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
312283	ERF	MP00138	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT1G12630(Arabidopsis thaliana)
312456	C2H2	MP00142	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT1G14580(Arabidopsis thaliana)
313633	WRKY	MP00168	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT1G29860(Arabidopsis thaliana)
313821	NAC	MP00175	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT1G32510(Arabidopsis thaliana)
313839	NAC	MP00016	Arabidopsis lyrata	PBM	PlantTFDB	transfer from AT1G32770(Arabidopsis thaliana)
314229	E2F/DP	MP00190	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT1G47870(Arabidopsis thaliana)
314555	HD-ZIP	MP00200	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT1G52150(Arabidopsis thaliana)
315244	NAC	MP00058	Arabidopsis lyrata	PBM	PlantTFDB	transfer from AT1G61110(Arabidopsis thaliana)
316163	NAC	MP00017	Arabidopsis lyrata	PBM	PlantTFDB	transfer from AT1G71930(Arabidopsis thaliana)
317804	Trihelix	MP00340	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT3G10030(Arabidopsis thaliana)
317848	NAC	MP00342	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT3G10480(Arabidopsis thaliana)
317994	C3H	MP00113	Arabidopsis lyrata	ampDAP	PlantTFDB	transfer from AT3G12130(Arabidopsis thaliana)
319110	G2-like	MP00378	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT3G24120(Arabidopsis thaliana)
319546	bHLH	MP00074	Arabidopsis lyrata	ChIP-chip	PlantTFDB	transfer from AT2G20180(Arabidopsis thaliana)
320036	WRKY	MP00270	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT2G21900(Arabidopsis thaliana)
321332	bZIP	MP00294	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT2G36270(Arabidopsis thaliana)
321718	G2-like	MP00301	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT2G40260(Arabidopsis thaliana)
321760	WRKY	MP00304	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT2G40740(Arabidopsis thaliana)
321853	HSF	MP00305	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT2G41690(Arabidopsis thaliana)
322266	WRKY	MP00317	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT2G46130(Arabidopsis thaliana)
322281	bZIP	MP00318	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
323669	GATA	MP00404	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT3G51080(Arabidopsis thaliana)
324546	HD-ZIP	MP00418	Arabidopsis lyrata	DAP	PlantTFDB	transfer from AT3G61150(Arabidopsis thaliana)
