Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Jcr4S00001.70	ERF	MP00456	Jatropha curcas	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
Jcr4S00002.130	bZIP	MP00019	Jatropha curcas	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
Jcr4S00002.200	SBP	MP00155	Jatropha curcas	DAP	PlantTFDB	transfer from AT1G20980(Arabidopsis thaliana)
Jcr4S00009.60	LBD	MP00581	Jatropha curcas	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
Jcr4S00011.20	WRKY	MP00094	Jatropha curcas	SELEX	PlantTFDB	transfer from AT2G04880(Arabidopsis thaliana)
Jcr4S00011.240	MYB_related	MP00654	Jatropha curcas	PBM	PlantTFDB	transfer from LOC_Os08g06110(Oryza sativa subsp. japonica)
Jcr4S00012.190	MYB	MP00191	Jatropha curcas	DAP	PlantTFDB	transfer from AT1G49010(Arabidopsis thaliana)
Jcr4S00014.40	MYB	MP00334	Jatropha curcas	DAP	PlantTFDB	transfer from AT3G06490(Arabidopsis thaliana)
Jcr4S00021.330	CPP	MP00045	Jatropha curcas	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
Jcr4S00021.40	HSF	MP00379	Jatropha curcas	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
Jcr4S00022.240	bZIP	MP00318	Jatropha curcas	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Jcr4S00025.200	MYB_related	MP00052	Jatropha curcas	PBM	PlantTFDB	transfer from AT1G15720(Arabidopsis thaliana)
Jcr4S00027.250	MYB	MP00134	Jatropha curcas	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
Jcr4S00027.270	bHLH	MP00081	Jatropha curcas	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
Jcr4S00028.40	HSF	MP00575	Jatropha curcas	DAP	PlantTFDB	transfer from AT5G62020(Arabidopsis thaliana)
Jcr4S00030.120	B3	MP00468	Jatropha curcas	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
Jcr4S00030.150	G2-like	MP00107	Jatropha curcas	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
Jcr4S00031.20	ERF	MP00521	Jatropha curcas	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
Jcr4S00037.60	ERF	MP00526	Jatropha curcas	DAP	PlantTFDB	transfer from AT5G25190(Arabidopsis thaliana)
Jcr4S00044.40	Dof	MP00394	Jatropha curcas	DAP	PlantTFDB	transfer from AT3G47500(Arabidopsis thaliana)
Jcr4S00053.270	ERF	MP00240	Jatropha curcas	DAP	PlantTFDB	transfer from AT1G75490(Arabidopsis thaliana)
Jcr4S00063.120	WRKY	MP00209	Jatropha curcas	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
Jcr4S00066.310	ARR-B	MP00010	Jatropha curcas	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
Jcr4S00070.110	AP2	MP00088	Jatropha curcas	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
Jcr4S00075.140	MYB	MP00114	Jatropha curcas	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
Jcr4S00077.70	MYB	MP00490	Jatropha curcas	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
Jcr4S00094.110	TCP	MP00396	Jatropha curcas	DAP	PlantTFDB	transfer from AT3G47620(Arabidopsis thaliana)
Jcr4S00112.130	CAMTA	MP00435	Jatropha curcas	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
Jcr4S00112.30	MYB	MP00627	Jatropha curcas	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
Jcr4S00113.50	bHLH	MP00308	Jatropha curcas	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
Jcr4S00117.150	ZF-HD	MP00238	Jatropha curcas	DAP	PlantTFDB	transfer from AT1G75240(Arabidopsis thaliana)
Jcr4S00118.70	TCP	MP00641	Jatropha curcas	PBM	PlantTFDB	transfer from Manes.12G007700(Manihot esculenta)
Jcr4S00121.110	bZIP	MP00247	Jatropha curcas	DAP	PlantTFDB	transfer from AT1G77920(Arabidopsis thaliana)
Jcr4S00137.180	ERF	MP00302	Jatropha curcas	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
Jcr4S00146.190	bZIP	MP00186	Jatropha curcas	DAP	PlantTFDB	transfer from AT1G45249(Arabidopsis thaliana)
Jcr4S00148.70	ERF	MP00623	Jatropha curcas	PBM	PlantTFDB	transfer from PK19363.1(Cannabis sativa)
Jcr4S00150.190	HSF	MP00432	Jatropha curcas	DAP	PlantTFDB	transfer from AT4G11660(Arabidopsis thaliana)
Jcr4S00151.130	Nin-like	MP00449	Jatropha curcas	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
Jcr4S00154.30	MYB	MP00028	Jatropha curcas	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
Jcr4S00167.130	Trihelix	MP00356	Jatropha curcas	DAP	PlantTFDB	transfer from AT3G14180(Arabidopsis thaliana)
Jcr4S00168.70	NAC	MP00507	Jatropha curcas	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
Jcr4S00169.110	MYB_related	MP00626	Jatropha curcas	PBM	PlantTFDB	transfer from PK06103.1(Cannabis sativa)
Jcr4S00186.50	HSF	MP00305	Jatropha curcas	DAP	PlantTFDB	transfer from AT2G41690(Arabidopsis thaliana)
Jcr4S00192.90	Trihelix	MP00288	Jatropha curcas	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Jcr4S00197.100	BES1	MP00248	Jatropha curcas	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
Jcr4S00197.90	HSF	MP00443	Jatropha curcas	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
Jcr4S00208.200	NAC	MP00277	Jatropha curcas	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
Jcr4S00213.70	MYB_related	MP00631	Jatropha curcas	PBM	PlantTFDB	transfer from PK23829.1(Cannabis sativa)
Jcr4S00224.30	AP2	MP00615	Jatropha curcas	PBM	PlantTFDB	transfer from AT2G28550(Arabidopsis thaliana)
Jcr4S00229.90	YABBY	MP00220	Jatropha curcas	DAP	PlantTFDB	transfer from AT1G69180(Arabidopsis thaliana)
Jcr4S00230.100	CPP	MP00624	Jatropha curcas	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
Jcr4S00242.50	HSF	MP00371	Jatropha curcas	DAP	PlantTFDB	transfer from AT3G22830(Arabidopsis thaliana)
Jcr4S00244.90	HD-ZIP	MP00550	Jatropha curcas	DAP	PlantTFDB	transfer from AT5G47370(Arabidopsis thaliana)
Jcr4S00247.70	GATA	MP00530	Jatropha curcas	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
Jcr4S00253.40	MYB_related	MP00565	Jatropha curcas	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
Jcr4S00279.10	MYB	MP00375	Jatropha curcas	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
Jcr4S00282.130	WRKY	MP00067	Jatropha curcas	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
Jcr4S00306.110	MYB_related	MP00652	Jatropha curcas	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
Jcr4S00329.70	WRKY	MP00299	Jatropha curcas	DAP	PlantTFDB	transfer from AT2G38470(Arabidopsis thaliana)
Jcr4S00331.20	MYB_related	MP00607	Jatropha curcas	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
Jcr4S00335.50	C2H2	MP00206	Jatropha curcas	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
Jcr4S00340.20	GATA	MP00377	Jatropha curcas	DAP	PlantTFDB	transfer from AT3G24050(Arabidopsis thaliana)
Jcr4S00344.40	ERF	MP00366	Jatropha curcas	DAP	PlantTFDB	transfer from AT3G20310(Arabidopsis thaliana)
Jcr4S00351.80	MYB	MP00386	Jatropha curcas	DAP	PlantTFDB	transfer from AT3G28910(Arabidopsis thaliana)
Jcr4S00360.130	MYB	MP00406	Jatropha curcas	DAP	PlantTFDB	transfer from AT3G53200(Arabidopsis thaliana)
Jcr4S00361.90	bHLH	MP00207	Jatropha curcas	DAP	PlantTFDB	transfer from AT1G59640(Arabidopsis thaliana)
Jcr4S00364.80	AP2	MP00504	Jatropha curcas	DAP	PlantTFDB	transfer from AT5G10510(Arabidopsis thaliana)
Jcr4S00376.80	Trihelix	MP00011	Jatropha curcas	PBM	PlantTFDB	transfer from AT5G28300(Arabidopsis thaliana)
Jcr4S00377.50	MIKC_MADS	MP00077	Jatropha curcas	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
