Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Ciclev10000100m.g	SBP	MP00155	Citrus clementina	DAP	PlantTFDB	transfer from AT1G20980(Arabidopsis thaliana)
Ciclev10000183m.g	ARF	MP00153	Citrus clementina	DAP	PlantTFDB	transfer from AT1G19850(Arabidopsis thaliana)
Ciclev10000188m.g	Nin-like	MP00154	Citrus clementina	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
Ciclev10000454m.g	Trihelix	MP00011	Citrus clementina	PBM	PlantTFDB	transfer from AT5G28300(Arabidopsis thaliana)
Ciclev10000490m.g	BES1	MP00543	Citrus clementina	DAP	PlantTFDB	transfer from AT5G45300(Arabidopsis thaliana)
Ciclev10000491m.g	ARF	MP00097	Citrus clementina	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
Ciclev10000593m.g	Trihelix	MP00244	Citrus clementina	DAP	PlantTFDB	transfer from AT1G76890(Arabidopsis thaliana)
Ciclev10000612m.g	NAC	MP00179	Citrus clementina	DAP	PlantTFDB	transfer from AT1G34190(Arabidopsis thaliana)
Ciclev10000756m.g	MYB	MP00490	Citrus clementina	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
Ciclev10000850m.g	C2H2	MP00196	Citrus clementina	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
Ciclev10001051m.g	bZIP	MP00040	Citrus clementina	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
Ciclev10001063m.g	B3	MP00468	Citrus clementina	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
Ciclev10001081m.g	bZIP	MP00349	Citrus clementina	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
Ciclev10001159m.g	bZIP	MP00186	Citrus clementina	DAP	PlantTFDB	transfer from AT1G45249(Arabidopsis thaliana)
Ciclev10001165m.g	E2F/DP	MP00190	Citrus clementina	DAP	PlantTFDB	transfer from AT1G47870(Arabidopsis thaliana)
Ciclev10001249m.g	bHLH	MP00135	Citrus clementina	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
Ciclev10001292m.g	G2-like	MP00174	Citrus clementina	DAP	PlantTFDB	transfer from AT1G32240(Arabidopsis thaliana)
Ciclev10001333m.g	bZIP	MP00291	Citrus clementina	DAP	PlantTFDB	transfer from AT2G35530(Arabidopsis thaliana)
Ciclev10001346m.g	NAC	MP00257	Citrus clementina	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
Ciclev10001400m.g	BBR-BPC	MP00540	Citrus clementina	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Ciclev10001403m.g	NAC	MP00241	Citrus clementina	DAP	PlantTFDB	transfer from AT1G76420(Arabidopsis thaliana)
Ciclev10001482m.g	HSF	MP00187	Citrus clementina	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
Ciclev10001508m.g	TALE	MP00675	Citrus clementina	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
Ciclev10001563m.g	ERF	MP00026	Citrus clementina	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Ciclev10001636m.g	WRKY	MP00450	Citrus clementina	DAP	PlantTFDB	transfer from AT4G24240(Arabidopsis thaliana)
Ciclev10001679m.g	G2-like	MP00107	Citrus clementina	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
Ciclev10001715m.g	bZIP	MP00184	Citrus clementina	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
Ciclev10001952m.g	ZF-HD	MP00238	Citrus clementina	DAP	PlantTFDB	transfer from AT1G75240(Arabidopsis thaliana)
Ciclev10001976m.g	NAC	MP00121	Citrus clementina	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
Ciclev10001978m.g	BES1	MP00237	Citrus clementina	DAP	PlantTFDB	transfer from AT1G75080(Arabidopsis thaliana)
Ciclev10002005m.g	bZIP	MP00019	Citrus clementina	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
Ciclev10002056m.g	GATA	MP00451	Citrus clementina	DAP	PlantTFDB	transfer from AT4G24470(Arabidopsis thaliana)
Ciclev10002083m.g	bHLH	MP00181	Citrus clementina	DAP	PlantTFDB	transfer from AT1G35460(Arabidopsis thaliana)
Ciclev10002089m.g	G2-like	MP00544	Citrus clementina	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
Ciclev10002280m.g	ERF	MP00240	Citrus clementina	DAP	PlantTFDB	transfer from AT1G75490(Arabidopsis thaliana)
Ciclev10002294m.g	ERF	MP00156	Citrus clementina	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
Ciclev10002297m.g	C2H2	MP00162	Citrus clementina	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
Ciclev10002471m.g	MIKC_MADS	MP00080	Citrus clementina	ChIP-seq	PlantTFDB	transfer from AT5G20240(Arabidopsis thaliana)
Ciclev10002733m.g	ERF	MP00188	Citrus clementina	DAP	PlantTFDB	transfer from AT1G46768(Arabidopsis thaliana)
Ciclev10003157m.g	NF-YB	MP00133	Citrus clementina	DAP	PlantTFDB	transfer from AT1G09030(Arabidopsis thaliana)
