Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
PEQU_00084	ERF	MP00217	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT1G68550(Arabidopsis thaliana)
PEQU_00093	bHLH	MP00219	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
PEQU_00313	MYB	MP00296	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
PEQU_00352	M-type_MADS	MP00553	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
PEQU_00744	C2H2	MP00256	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT2G02080(Arabidopsis thaliana)
PEQU_00755	NAC	MP00333	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT3G04070(Arabidopsis thaliana)
PEQU_01196	C2H2	MP00592	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
PEQU_01376	bZIP	MP00318	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
PEQU_01461	SBP	MP00604	Phalaenopsis equestris	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
PEQU_01516	HD-ZIP	MP00232	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT1G73360(Arabidopsis thaliana)
PEQU_01941	C2H2	MP00162	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
PEQU_02306	NAC	MP00058	Phalaenopsis equestris	PBM	PlantTFDB	transfer from AT1G61110(Arabidopsis thaliana)
PEQU_02524	AP2	MP00088	Phalaenopsis equestris	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
PEQU_02636	NAC	MP00310	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT2G43000(Arabidopsis thaliana)
PEQU_02838	NAC	MP00266	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
PEQU_03146	ERF	MP00520	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
PEQU_03172	HD-ZIP	MP00323	Phalaenopsis equestris	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
