Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Gorai.001G002800	G2-like	MP00261	Gossypium raimondii	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
Gorai.001G016800	ERF	MP00151	Gossypium raimondii	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
Gorai.001G020300	Trihelix	MP00651	Gossypium raimondii	PBM	PlantTFDB	transfer from LOC_Os02g01380(Oryza sativa subsp. japonica)
Gorai.001G033200	ERF	MP00527	Gossypium raimondii	DAP	PlantTFDB	transfer from AT5G25390(Arabidopsis thaliana)
Gorai.001G036500	ERF	MP00526	Gossypium raimondii	DAP	PlantTFDB	transfer from AT5G25190(Arabidopsis thaliana)
Gorai.001G037700	WRKY	MP00465	Gossypium raimondii	DAP	PlantTFDB	transfer from AT4G31800(Arabidopsis thaliana)
Gorai.001G053900	LFY	MP00095	Gossypium raimondii	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
Gorai.001G054600	ARF	MP00574	Gossypium raimondii	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
Gorai.001G067000	Dof	MP00570	Gossypium raimondii	DAP	PlantTFDB	transfer from AT5G60850(Arabidopsis thaliana)
Gorai.001G072200	TCP	MP00396	Gossypium raimondii	DAP	PlantTFDB	transfer from AT3G47620(Arabidopsis thaliana)
Gorai.001G076700	TCP	MP00065	Gossypium raimondii	PBM	PlantTFDB	transfer from AT5G60970(Arabidopsis thaliana)
Gorai.001G087400	MYB	MP00213	Gossypium raimondii	DAP	PlantTFDB	transfer from AT1G66370(Arabidopsis thaliana)
Gorai.001G091900	NAC	MP00310	Gossypium raimondii	DAP	PlantTFDB	transfer from AT2G43000(Arabidopsis thaliana)
Gorai.001G107900	MYB	MP00600	Gossypium raimondii	PBM	PlantTFDB	transfer from AT5G59780(Arabidopsis thaliana)
Gorai.001G143200	MYB	MP00627	Gossypium raimondii	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
Gorai.001G144200	bZIP	MP00419	Gossypium raimondii	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
Gorai.001G147900	WRKY	MP00115	Gossypium raimondii	ampDAP	PlantTFDB	transfer from AT4G01720(Arabidopsis thaliana)
Gorai.001G148500	MYB	MP00134	Gossypium raimondii	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
Gorai.001G174800	YABBY	MP00620	Gossypium raimondii	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
Gorai.001G175400	C2H2	MP00416	Gossypium raimondii	DAP	PlantTFDB	transfer from AT3G60580(Arabidopsis thaliana)
Gorai.001G176500	ERF	MP00312	Gossypium raimondii	DAP	PlantTFDB	transfer from AT2G44940(Arabidopsis thaliana)
Gorai.001G177100	MYB	MP00375	Gossypium raimondii	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
Gorai.001G183400	bHLH	MP00074	Gossypium raimondii	ChIP-chip	PlantTFDB	transfer from AT2G20180(Arabidopsis thaliana)
Gorai.001G184300	B3	MP00083	Gossypium raimondii	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
Gorai.001G199200	WOX	MP00617	Gossypium raimondii	PBM	PlantTFDB	transfer from AT4G35550(Arabidopsis thaliana)
Gorai.001G200400	TCP	MP00215	Gossypium raimondii	DAP	PlantTFDB	transfer from AT1G67260(Arabidopsis thaliana)
Gorai.001G205800	bZIP	MP00647	Gossypium raimondii	PBM	PlantTFDB	transfer from LOC_Os02g49560(Oryza sativa subsp. japonica)
Gorai.001G207500	MYB	MP00388	Gossypium raimondii	DAP	PlantTFDB	transfer from AT3G30210(Arabidopsis thaliana)
Gorai.001G239000	MYB	MP00386	Gossypium raimondii	DAP	PlantTFDB	transfer from AT3G28910(Arabidopsis thaliana)
Gorai.001G251600	LBD	MP00309	Gossypium raimondii	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
Gorai.001G263600	MYB	MP00385	Gossypium raimondii	DAP	PlantTFDB	transfer from AT3G27785(Arabidopsis thaliana)
Gorai.001G268000	MYB	MP00510	Gossypium raimondii	DAP	PlantTFDB	transfer from AT5G14340(Arabidopsis thaliana)
Gorai.001G273100	WRKY	MP00506	Gossypium raimondii	DAP	PlantTFDB	transfer from AT5G13080(Arabidopsis thaliana)
Gorai.001G273500	B3	MP00382	Gossypium raimondii	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
Gorai.002G020300	G2-like	MP00022	Gossypium raimondii	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
Gorai.002G021600	Trihelix	MP00288	Gossypium raimondii	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Gorai.002G052400	BES1	MP00248	Gossypium raimondii	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
Gorai.002G067300	NAC	MP00562	Gossypium raimondii	DAP	PlantTFDB	transfer from AT5G53950(Arabidopsis thaliana)
Gorai.002G068300	SBP	MP00634	Gossypium raimondii	PBM	PlantTFDB	transfer from PK22320.1(Cannabis sativa)
Gorai.002G073800	NAC	MP00361	Gossypium raimondii	DAP	PlantTFDB	transfer from AT3G15510(Arabidopsis thaliana)
Gorai.002G092900	ERF	MP00194	Gossypium raimondii	DAP	PlantTFDB	transfer from AT1G50640(Arabidopsis thaliana)
Gorai.002G096200	WRKY	MP00455	Gossypium raimondii	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
Gorai.002G112200	SBP	MP00155	Gossypium raimondii	DAP	PlantTFDB	transfer from AT1G20980(Arabidopsis thaliana)
Gorai.002G115800	Nin-like	MP00154	Gossypium raimondii	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
Gorai.002G124400	ARF	MP00153	Gossypium raimondii	DAP	PlantTFDB	transfer from AT1G19850(Arabidopsis thaliana)
Gorai.002G124900	BBR-BPC	MP00540	Gossypium raimondii	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Gorai.002G127500	ZF-HD	MP00238	Gossypium raimondii	DAP	PlantTFDB	transfer from AT1G75240(Arabidopsis thaliana)
Gorai.002G130300	B3	MP00468	Gossypium raimondii	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
Gorai.002G169100	C2H2	MP00255	Gossypium raimondii	DAP	PlantTFDB	transfer from AT2G02070(Arabidopsis thaliana)
Gorai.002G171200	BBR-BPC	MP00253	Gossypium raimondii	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
Gorai.002G177000	GRAS	MP00611	Gossypium raimondii	ChIP-seq	PlantTFDB	transfer from AT2G01570(Arabidopsis thaliana)
Gorai.002G218600	MYB	MP00216	Gossypium raimondii	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
Gorai.002G228200	bZIP	MP00491	Gossypium raimondii	DAP	PlantTFDB	transfer from AT5G06839(Arabidopsis thaliana)
Gorai.002G228900	bHLH	MP00308	Gossypium raimondii	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
Gorai.002G234700	Dof	MP00405	Gossypium raimondii	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
Gorai.002G240500	bZIP	MP00294	Gossypium raimondii	DAP	PlantTFDB	transfer from AT2G36270(Arabidopsis thaliana)
Gorai.002G244200	HD-ZIP	MP00486	Gossypium raimondii	DAP	PlantTFDB	transfer from AT5G03790(Arabidopsis thaliana)
Gorai.003G021000	Dof	MP00402	Gossypium raimondii	DAP	PlantTFDB	transfer from AT3G50410(Arabidopsis thaliana)
Gorai.003G026100	ERF	MP00276	Gossypium raimondii	DAP	PlantTFDB	transfer from AT2G23340(Arabidopsis thaliana)
Gorai.003G037100	AP2	MP00504	Gossypium raimondii	DAP	PlantTFDB	transfer from AT5G10510(Arabidopsis thaliana)
Gorai.003G041500	HD-ZIP	MP00271	Gossypium raimondii	DAP	PlantTFDB	transfer from AT2G22430(Arabidopsis thaliana)
Gorai.003G048800	ERF	MP00584	Gossypium raimondii	DAP	PlantTFDB	transfer from AT5G64750(Arabidopsis thaliana)
Gorai.003G071500	MYB_related	MP00149	Gossypium raimondii	DAP	PlantTFDB	transfer from AT1G19000(Arabidopsis thaliana)
Gorai.003G085500	WRKY	MP00448	Gossypium raimondii	DAP	PlantTFDB	transfer from AT4G23550(Arabidopsis thaliana)
Gorai.003G091700	HSF	MP00305	Gossypium raimondii	DAP	PlantTFDB	transfer from AT2G41690(Arabidopsis thaliana)
Gorai.003G112200	ERF	MP00556	Gossypium raimondii	DAP	PlantTFDB	transfer from AT5G51190(Arabidopsis thaliana)
Gorai.003G129100	G2-like	MP00014	Gossypium raimondii	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
Gorai.004G034600	WRKY	MP00071	Gossypium raimondii	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
Gorai.004G063800	bZIP	MP00389	Gossypium raimondii	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
Gorai.004G114000	E2F/DP	MP00397	Gossypium raimondii	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
Gorai.004G131700	Nin-like	MP00449	Gossypium raimondii	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
