Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Niben101Ctg14444g00003	WRKY	MP00325	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT3G01970(Arabidopsis thaliana)
Niben101Ctg16385g00003	ERF	MP00453	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT4G25480(Arabidopsis thaliana)
Niben101Scf00037g02016	SBP	MP00307	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
Niben101Scf00046g09010	MYB	MP00510	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT5G14340(Arabidopsis thaliana)
Niben101Scf00061g00002	MIKC_MADS	MP00315	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Niben101Scf00094g02004	GATA	MP00335	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT3G06740(Arabidopsis thaliana)
Niben101Scf00138g04001	NAC	MP00250	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
Niben101Scf00152g18004	BBR-BPC	MP00540	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Niben101Scf00156g02004	MYB	MP00213	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT1G66370(Arabidopsis thaliana)
Niben101Scf00159g08019	WRKY	MP00094	Nicotiana benthamiana	SELEX	PlantTFDB	transfer from AT2G04880(Arabidopsis thaliana)
Niben101Scf00163g22002	ERF	MP00556	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT5G51190(Arabidopsis thaliana)
Niben101Scf00173g09005	AP2	MP00504	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT5G10510(Arabidopsis thaliana)
Niben101Scf00177g02016	ERF	MP00519	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT5G18450(Arabidopsis thaliana)
Niben101Scf00192g00001	LBD	MP00128	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT1G06280(Arabidopsis thaliana)
Niben101Scf00193g01009	NAC	MP00221	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT1G69490(Arabidopsis thaliana)
Niben101Scf00197g01018	MIKC_MADS	MP00077	Nicotiana benthamiana	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
Niben101Scf00199g02008	MIKC_MADS	MP00508	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
Niben101Scf00228g11012	bHLH	MP00660	Nicotiana benthamiana	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
Niben101Scf00261g02004	G2-like	MP00544	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
Niben101Scf00278g05001	ERF	MP00456	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
Niben101Scf00298g00001	ERF	MP00151	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
Niben101Scf00301g03001	bZIP	MP00491	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT5G06839(Arabidopsis thaliana)
Niben101Scf00304g01003	EIL	MP00367	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
Niben101Scf00308g01003	NAC	MP00398	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT3G49530(Arabidopsis thaliana)
Niben101Scf00340g00006	SBP	MP00412	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT3G57920(Arabidopsis thaliana)
Niben101Scf00347g00011	SBP	MP00359	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT3G15270(Arabidopsis thaliana)
Niben101Scf00397g01009	GATA	MP00415	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT3G60530(Arabidopsis thaliana)
Niben101Scf00415g03019	bHLH	MP00102	Nicotiana benthamiana	PBM	PlantTFDB	transfer from AT4G14410(Arabidopsis thaliana)
Niben101Scf00447g03001	bZIP	MP00318	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Niben101Scf00482g09010	Dof	MP00392	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT3G45610(Arabidopsis thaliana)
Niben101Scf00501g00004	MYB	MP00375	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
Niben101Scf00508g09017	BBR-BPC	MP00540	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Niben101Scf00530g01001	ERF	MP00456	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
Niben101Scf00539g01011	MYB	MP00028	Nicotiana benthamiana	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
Niben101Scf00553g04007	NAC	MP00321	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT2G46770(Arabidopsis thaliana)
Niben101Scf00573g04004	C3H	MP00566	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT5G58620(Arabidopsis thaliana)
Niben101Scf00577g11004	ERF	MP00217	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT1G68550(Arabidopsis thaliana)
Niben101Scf00603g02001	ERF	MP00120	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT1G01250(Arabidopsis thaliana)
Niben101Scf00635g04005	WRKY	MP00067	Nicotiana benthamiana	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
Niben101Scf00643g01010	WRKY	MP00450	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT4G24240(Arabidopsis thaliana)
Niben101Scf00698g02020	bHLH	MP00082	Nicotiana benthamiana	ChIP-seq	PlantTFDB	transfer from AT3G59060(Arabidopsis thaliana)
Niben101Scf00712g03003	NAC	MP00241	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT1G76420(Arabidopsis thaliana)
Niben101Scf00712g14003	Nin-like	MP00154	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
Niben101Scf00725g03014	MYB	MP00191	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT1G49010(Arabidopsis thaliana)
Niben101Scf00757g05005	TCP	MP00326	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
Niben101Scf00759g00004	LBD	MP00211	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
Niben101Scf00773g06006	bZIP	MP00303	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT2G40620(Arabidopsis thaliana)
Niben101Scf00821g01005	YABBY	MP00220	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT1G69180(Arabidopsis thaliana)
Niben101Scf00862g01016	MYB	MP00279	Nicotiana benthamiana	DAP	PlantTFDB	transfer from AT2G26960(Arabidopsis thaliana)
