Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
ORUFI01G01910	MYB	MP00216	Oryza rufipogon	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
ORUFI01G04360	ERF	MP00302	Oryza rufipogon	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
ORUFI01G04670	LBD	MP00581	Oryza rufipogon	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
ORUFI01G05240	G2-like	MP00261	Oryza rufipogon	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
ORUFI01G06200	MYB_related	MP00551	Oryza rufipogon	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
ORUFI01G06380	NAC	MP00460	Oryza rufipogon	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
ORUFI01G06450	MYB_related	MP00565	Oryza rufipogon	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
ORUFI01G06650	C2H2	MP00206	Oryza rufipogon	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
ORUFI01G07080	MIKC_MADS	MP00609	Oryza rufipogon	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
ORUFI01G07780	TCP	MP00009	Oryza rufipogon	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
ORUFI01G08530	ERF	MP00456	Oryza rufipogon	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
ORUFI01G08920	MYB	MP00505	Oryza rufipogon	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
ORUFI01G09400	bHLH	MP00100	Oryza rufipogon	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
ORUFI01G09770	C2H2	MP00125	Oryza rufipogon	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
ORUFI01G10050	WRKY	MP00209	Oryza rufipogon	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
ORUFI01G12050	MYB	MP00222	Oryza rufipogon	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
ORUFI01G12840	bHLH	MP00081	Oryza rufipogon	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
ORUFI01G13020	M-type_MADS	MP00553	Oryza rufipogon	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
ORUFI01G13730	TALE	MP00670	Oryza rufipogon	PBM	PlantTFDB	transfer from GRMZM2G087741(Zea mays)
ORUFI01G23880	MYB_related	MP00607	Oryza rufipogon	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
ORUFI01G28580	WRKY	MP00440	Oryza rufipogon	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
ORUFI01G28960	ARF	MP00021	Oryza rufipogon	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
ORUFI01G29010	NAC	MP00459	Oryza rufipogon	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
ORUFI01G30390	RAV	MP00139	Oryza rufipogon	DAP	PlantTFDB	transfer from AT1G13260(Arabidopsis thaliana)
ORUFI01G31370	MYB_related	MP00652	Oryza rufipogon	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
ORUFI01G31760	B3	MP00382	Oryza rufipogon	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
ORUFI01G33030	HSF	MP00379	Oryza rufipogon	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
ORUFI01G33070	WRKY	MP00539	Oryza rufipogon	DAP	PlantTFDB	transfer from AT5G41570(Arabidopsis thaliana)
ORUFI01G33750	GATA	MP00530	Oryza rufipogon	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
ORUFI01G34080	WRKY	MP00167	Oryza rufipogon	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
ORUFI01G34980	CPP	MP00045	Oryza rufipogon	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
ORUFI01G35100	TCP	MP00065	Oryza rufipogon	PBM	PlantTFDB	transfer from AT5G60970(Arabidopsis thaliana)
ORUFI01G37800	bZIP	MP00349	Oryza rufipogon	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
ORUFI01G38500	WOX	MP00669	Oryza rufipogon	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
ORUFI01G39050	LBD	MP00283	Oryza rufipogon	DAP	PlantTFDB	transfer from AT2G30340(Arabidopsis thaliana)
ORUFI01G39110	WRKY	MP00299	Oryza rufipogon	DAP	PlantTFDB	transfer from AT2G38470(Arabidopsis thaliana)
ORUFI01G41310	bZIP	MP00294	Oryza rufipogon	DAP	PlantTFDB	transfer from AT2G36270(Arabidopsis thaliana)
ORUFI01G41780	Dof	MP00405	Oryza rufipogon	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
ORUFI01G42150	C2H2	MP00196	Oryza rufipogon	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
ORUFI01G42940	NAC	MP00121	Oryza rufipogon	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
ORUFI01G43070	ERF	MP00158	Oryza rufipogon	DAP	PlantTFDB	transfer from AT1G22810(Arabidopsis thaliana)
ORUFI01G43220	NAC	MP00257	Oryza rufipogon	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
