Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
BGIOSGA000023	G2-like	MP00014	Oryza sativa subsp. indica	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
BGIOSGA000262	bHLH	MP00660	Oryza sativa subsp. indica	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
BGIOSGA000276	B3	MP00083	Oryza sativa subsp. indica	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
BGIOSGA000304	ARR-B	MP00010	Oryza sativa subsp. indica	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
BGIOSGA000374	NAC	MP00121	Oryza sativa subsp. indica	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
BGIOSGA000377	MIKC_MADS	MP00080	Oryza sativa subsp. indica	ChIP-seq	PlantTFDB	transfer from AT5G20240(Arabidopsis thaliana)
BGIOSGA000434	Dof	MP00405	Oryza sativa subsp. indica	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
BGIOSGA000451	bZIP	MP00131	Oryza sativa subsp. indica	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
BGIOSGA000624	bZIP	MP00349	Oryza sativa subsp. indica	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
BGIOSGA000770	TCP	MP00065	Oryza sativa subsp. indica	PBM	PlantTFDB	transfer from AT5G60970(Arabidopsis thaliana)
BGIOSGA000780	CPP	MP00045	Oryza sativa subsp. indica	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
BGIOSGA000826	WRKY	MP00167	Oryza sativa subsp. indica	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
BGIOSGA000840	GATA	MP00530	Oryza sativa subsp. indica	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
BGIOSGA001046	ARF	MP00021	Oryza sativa subsp. indica	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
BGIOSGA001069	WRKY	MP00440	Oryza sativa subsp. indica	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
BGIOSGA001090	ERF	MP00456	Oryza sativa subsp. indica	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
