Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
F775_00761	SBP	MP00090	Aegilops tauschii	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
F775_00835	MYB	MP00350	Aegilops tauschii	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
F775_00947	WRKY	MP00539	Aegilops tauschii	DAP	PlantTFDB	transfer from AT5G41570(Arabidopsis thaliana)
F775_01256	NAC	MP00257	Aegilops tauschii	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
F775_01864	MYB	MP00222	Aegilops tauschii	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
F775_02122	WRKY	MP00304	Aegilops tauschii	DAP	PlantTFDB	transfer from AT2G40740(Arabidopsis thaliana)
F775_02285	B3	MP00468	Aegilops tauschii	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
F775_02289	AP2	MP00368	Aegilops tauschii	DAP	PlantTFDB	transfer from AT3G20840(Arabidopsis thaliana)
F775_02481	C2H2	MP00608	Aegilops tauschii	ChIP-seq	PlantTFDB	transfer from AT3G48430(Arabidopsis thaliana)
F775_02482	ARF	MP00021	Aegilops tauschii	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
F775_02727	ERF	MP00521	Aegilops tauschii	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
F775_02791	SBP	MP00290	Aegilops tauschii	DAP	PlantTFDB	transfer from AT2G33810(Arabidopsis thaliana)
F775_02803	MYB	MP00216	Aegilops tauschii	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
F775_03121	WRKY	MP00168	Aegilops tauschii	DAP	PlantTFDB	transfer from AT1G29860(Arabidopsis thaliana)
F775_03445	MYB	MP00145	Aegilops tauschii	DAP	PlantTFDB	transfer from AT1G17950(Arabidopsis thaliana)
F775_03990	C2H2	MP00229	Aegilops tauschii	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
F775_04018	NAC	MP00537	Aegilops tauschii	DAP	PlantTFDB	transfer from AT5G39820(Arabidopsis thaliana)
F775_04088	C2H2	MP00196	Aegilops tauschii	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
F775_04344	C2H2	MP00403	Aegilops tauschii	DAP	PlantTFDB	transfer from AT3G50700(Arabidopsis thaliana)
F775_04392	SBP	MP00604	Aegilops tauschii	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
F775_04528	LBD	MP00314	Aegilops tauschii	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
F775_05044	bHLH	MP00091	Aegilops tauschii	SELEX	PlantTFDB	transfer from AT4G21330(Arabidopsis thaliana)
F775_05292	TALE	MP00671	Aegilops tauschii	PBM	PlantTFDB	transfer from GRMZM2G135447(Zea mays)
F775_05348	MYB	MP00386	Aegilops tauschii	DAP	PlantTFDB	transfer from AT3G28910(Arabidopsis thaliana)
F775_05429	bZIP	MP00117	Aegilops tauschii	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
F775_05574	MYB_related	MP00607	Aegilops tauschii	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
F775_05724	MYB	MP00466	Aegilops tauschii	DAP	PlantTFDB	transfer from AT4G32730(Arabidopsis thaliana)
F775_05949	NAC	MP00364	Aegilops tauschii	DAP	PlantTFDB	transfer from AT3G18400(Arabidopsis thaliana)
F775_06315	MYB	MP00600	Aegilops tauschii	PBM	PlantTFDB	transfer from AT5G59780(Arabidopsis thaliana)
F775_06335	E2F/DP	MP00397	Aegilops tauschii	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
F775_06561	MYB	MP00336	Aegilops tauschii	DAP	PlantTFDB	transfer from AT3G08500(Arabidopsis thaliana)
F775_06914	BBR-BPC	MP00253	Aegilops tauschii	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
F775_07141	NAC	MP00460	Aegilops tauschii	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
F775_07407	MYB	MP00259	Aegilops tauschii	DAP	PlantTFDB	transfer from AT2G02820(Arabidopsis thaliana)
F775_07561	bZIP	MP00040	Aegilops tauschii	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
F775_07568	bZIP	MP00087	Aegilops tauschii	SELEX	PlantTFDB	transfer from AT1G49720(Arabidopsis thaliana)
F775_07681	MYB	MP00028	Aegilops tauschii	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
F775_07803	bZIP	MP00318	Aegilops tauschii	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
F775_07845	WRKY	MP00408	Aegilops tauschii	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
F775_07919	CPP	MP00045	Aegilops tauschii	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
F775_08057	NAC	MP00136	Aegilops tauschii	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
F775_08606	bZIP	MP00184	Aegilops tauschii	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
F775_08700	ERF	MP00469	Aegilops tauschii	DAP	PlantTFDB	transfer from AT4G34410(Arabidopsis thaliana)
