Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
LOC104798332	MYB	MP00438	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G17785(Arabidopsis thaliana)
LOC104798365	MYB_related	MP00551	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
LOC104798378	Trihelix	MP00552	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G47660(Arabidopsis thaliana)
LOC104798399	TCP	MP00006	Tarenaya hassleriana	PBM	PlantTFDB	transfer from 493022(Arabidopsis lyrata)
LOC104798442	BES1	MP00444	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G18890(Arabidopsis thaliana)
LOC104798458	G2-like	MP00544	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
LOC104798468	MIKC_MADS	MP00609	Tarenaya hassleriana	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
LOC104798490	G2-like	MP00174	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT1G32240(Arabidopsis thaliana)
LOC104798611	MYB	MP00567	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G58850(Arabidopsis thaliana)
LOC104798711	EIL	MP00649	Tarenaya hassleriana	PBM	PlantTFDB	transfer from LOC_Os09g31400(Oryza sativa subsp. japonica)
LOC104798736	ERF	MP00557	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G51990(Arabidopsis thaliana)
LOC104798747	TCP	MP00009	Tarenaya hassleriana	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
LOC104798818	HD-ZIP	MP00587	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G65310(Arabidopsis thaliana)
LOC104798927	MYB	MP00503	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G10280(Arabidopsis thaliana)
LOC104798991	NAC	MP00398	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT3G49530(Arabidopsis thaliana)
LOC104799043	ERF	MP00526	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G25190(Arabidopsis thaliana)
LOC104799051	ERF	MP00521	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
LOC104799123	ERF	MP00585	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G65130(Arabidopsis thaliana)
LOC104799191	GATA	MP00530	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
LOC104799202	MYB	MP00505	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
LOC104799311	bZIP	MP00491	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G06839(Arabidopsis thaliana)
LOC104799367	ERF	MP00584	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G64750(Arabidopsis thaliana)
LOC104799523	C2H2	MP00522	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
LOC104799748	E2F/DP	MP00293	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G36010(Arabidopsis thaliana)
LOC104799850	MIKC_MADS	MP00410	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT3G57230(Arabidopsis thaliana)
LOC104799903	MYB	MP00563	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G54230(Arabidopsis thaliana)
LOC104800084	ERF	MP00227	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT1G71450(Arabidopsis thaliana)
LOC104800112	NAC	MP00017	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT1G71930(Arabidopsis thaliana)
LOC104800122	C2H2	MP00229	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
LOC104800170	bZIP	MP00247	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT1G77920(Arabidopsis thaliana)
LOC104800285	ERF	MP00456	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
LOC104800326	NAC	MP00507	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
LOC104800405	MYB	MP00500	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
LOC104800621	AP2	MP00615	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT2G28550(Arabidopsis thaliana)
LOC104800669	TCP	MP00524	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
LOC104800853	LBD	MP00128	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT1G06280(Arabidopsis thaliana)
LOC104800872	bHLH	MP00285	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G31220(Arabidopsis thaliana)
LOC104801016	bHLH	MP00498	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G08130(Arabidopsis thaliana)
LOC104801031	Dof	MP00570	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G60850(Arabidopsis thaliana)
LOC104801130	TCP	MP00065	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT5G60970(Arabidopsis thaliana)
LOC104801341	NAC	MP00426	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G01550(Arabidopsis thaliana)
LOC104801373	bHLH	MP00571	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G61270(Arabidopsis thaliana)
LOC104801423	ERF	MP00430	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G06746(Arabidopsis thaliana)
LOC104801458	HD-ZIP	MP00421	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
LOC104801484	bHLH	MP00034	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT4G00050(Arabidopsis thaliana)
LOC104801536	LBD	MP00283	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G30340(Arabidopsis thaliana)
LOC104801769	LFY	MP00095	Tarenaya hassleriana	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
LOC104801831	HSF	MP00575	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G62020(Arabidopsis thaliana)
LOC104802004	MIKC_MADS	MP00315	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
LOC104802005	MIKC_MADS	MP00076	Tarenaya hassleriana	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
LOC104802016	HD-ZIP	MP00418	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT3G61150(Arabidopsis thaliana)
LOC104802023	MYB	MP00114	Tarenaya hassleriana	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
LOC104802142	C2H2	MP00306	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G41835(Arabidopsis thaliana)
LOC104802146	WRKY	MP00069	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
LOC104802243	LBD	MP00309	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
LOC104802284	ERF	MP00411	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT3G57600(Arabidopsis thaliana)
LOC104802358	G2-like	MP00252	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
LOC104802442	LBD	MP00313	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G45410(Arabidopsis thaliana)
LOC104802460	YABBY	MP00620	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
LOC104802470	SBP	MP00307	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
LOC104802471	C2H2	MP00416	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT3G60580(Arabidopsis thaliana)
LOC104802475	GATA	MP00415	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT3G60530(Arabidopsis thaliana)
LOC104802588	ERF	MP00109	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT3G16770(Arabidopsis thaliana)
LOC104802602	CAMTA	MP00435	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
LOC104802733	SBP	MP00604	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
LOC104802830	bZIP	MP00040	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
LOC104802910	MYB_related	MP00515	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G17300(Arabidopsis thaliana)
LOC104802921	Trihelix	MP00413	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT3G58630(Arabidopsis thaliana)
LOC104802936	MYB	MP00513	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G16600(Arabidopsis thaliana)
LOC104802938	MYB	MP00513	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G16600(Arabidopsis thaliana)
LOC104803048	HSF	MP00371	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT3G22830(Arabidopsis thaliana)
LOC104803065	WRKY	MP00112	Tarenaya hassleriana	ampDAP	PlantTFDB	transfer from AT2G46400(Arabidopsis thaliana)
LOC104803067	MYB_related	MP00103	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT2G46830(Arabidopsis thaliana)
LOC104803097	bHLH	MP00660	Tarenaya hassleriana	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
LOC104803380	NAC	MP00310	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G43000(Arabidopsis thaliana)
LOC104803391	bHLH	MP00082	Tarenaya hassleriana	ChIP-seq	PlantTFDB	transfer from AT3G59060(Arabidopsis thaliana)
LOC104803402	G2-like	MP00107	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
LOC104803566	bHLH	MP00659	Tarenaya hassleriana	PBM	PlantTFDB	transfer from Pp3c14_15890(Physcomitrella patens)
LOC104803573	ERF	MP00463	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G31060(Arabidopsis thaliana)
LOC104803612	WRKY	MP00465	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G31800(Arabidopsis thaliana)
LOC104803688	B3	MP00468	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
LOC104803761	ERF	MP00467	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G32800(Arabidopsis thaliana)
LOC104803766	MYB	MP00466	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G32730(Arabidopsis thaliana)
LOC104803805	GATA	MP00048	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT4G32890(Arabidopsis thaliana)
LOC104803880	NAC	MP00277	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
LOC104803997	NAC	MP00460	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
LOC104804010	ERF	MP00245	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT1G77200(Arabidopsis thaliana)
LOC104804023	CPP	MP00045	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
LOC104804048	NAC	MP00459	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
LOC104804133	WRKY	MP00270	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G21900(Arabidopsis thaliana)
LOC104804177	MIKC_MADS	MP00272	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G22540(Arabidopsis thaliana)
LOC104804217	G2-like	MP00475	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT4G37180(Arabidopsis thaliana)
LOC104804532	G2-like	MP00022	Tarenaya hassleriana	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
LOC104804674	ERF	MP00183	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT1G43160(Arabidopsis thaliana)
LOC104804752	ERF	MP00374	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
LOC104804819	GATA	MP00377	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT3G24050(Arabidopsis thaliana)
LOC104805015	ERF	MP00495	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT5G07310(Arabidopsis thaliana)
LOC104805072	GRAS	MP00611	Tarenaya hassleriana	ChIP-seq	PlantTFDB	transfer from AT2G01570(Arabidopsis thaliana)
LOC104805116	C2H2	MP00255	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G02070(Arabidopsis thaliana)
LOC104805117	C2H2	MP00256	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G02080(Arabidopsis thaliana)
LOC104805127	NAC	MP00257	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
LOC104805146	MYB	MP00259	Tarenaya hassleriana	DAP	PlantTFDB	transfer from AT2G02820(Arabidopsis thaliana)
