Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Brast01G007000	G2-like	MP00014	Brachypodium stacei	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
Brast01G036800	ARF	MP00574	Brachypodium stacei	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
Brast01G039500	TCP	MP00636	Brachypodium stacei	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
Brast01G050100	B3	MP00083	Brachypodium stacei	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
Brast01G054000	ARR-B	MP00010	Brachypodium stacei	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
Brast01G062100	LBD	MP00211	Brachypodium stacei	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
Brast01G063400	NAC	MP00257	Brachypodium stacei	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
Brast01G064700	ERF	MP00158	Brachypodium stacei	DAP	PlantTFDB	transfer from AT1G22810(Arabidopsis thaliana)
Brast01G065900	NAC	MP00121	Brachypodium stacei	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
Brast01G073700	C2H2	MP00196	Brachypodium stacei	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
Brast01G077500	Dof	MP00405	Brachypodium stacei	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
Brast01G082400	bZIP	MP00131	Brachypodium stacei	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
Brast01G088300	MYB	MP00337	Brachypodium stacei	DAP	PlantTFDB	transfer from AT3G09230(Arabidopsis thaliana)
Brast01G092600	MYB	MP00482	Brachypodium stacei	DAP	PlantTFDB	transfer from AT5G02320(Arabidopsis thaliana)
Brast01G106700	WOX	MP00669	Brachypodium stacei	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
Brast01G111200	MYB	MP00490	Brachypodium stacei	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
Brast01G112800	bZIP	MP00492	Brachypodium stacei	DAP	PlantTFDB	transfer from AT5G06950(Arabidopsis thaliana)
Brast01G118300	ERF	MP00623	Brachypodium stacei	PBM	PlantTFDB	transfer from PK19363.1(Cannabis sativa)
Brast01G137100	TCP	MP00065	Brachypodium stacei	PBM	PlantTFDB	transfer from AT5G60970(Arabidopsis thaliana)
Brast01G138700	CPP	MP00045	Brachypodium stacei	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
Brast01G146300	HSF	MP00443	Brachypodium stacei	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
Brast01G149100	GATA	MP00048	Brachypodium stacei	PBM	PlantTFDB	transfer from AT4G32890(Arabidopsis thaliana)
Brast01G166600	B3	MP00382	Brachypodium stacei	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
Brast01G169100	MYB_related	MP00652	Brachypodium stacei	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
Brast01G176300	RAV	MP00139	Brachypodium stacei	DAP	PlantTFDB	transfer from AT1G13260(Arabidopsis thaliana)
Brast01G188200	NAC	MP00459	Brachypodium stacei	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
Brast01G188300	ARF	MP00021	Brachypodium stacei	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
Brast01G193300	GATA	MP00472	Brachypodium stacei	DAP	PlantTFDB	transfer from AT4G36620(Arabidopsis thaliana)
Brast01G195400	bZIP	MP00318	Brachypodium stacei	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Brast01G210100	WRKY	MP00440	Brachypodium stacei	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
Brast01G232000	MYB_related	MP00607	Brachypodium stacei	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
Brast01G284200	TALE	MP00670	Brachypodium stacei	PBM	PlantTFDB	transfer from GRMZM2G087741(Zea mays)
Brast01G288900	M-type_MADS	MP00553	Brachypodium stacei	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
Brast01G289500	bHLH	MP00081	Brachypodium stacei	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
Brast01G319500	WRKY	MP00209	Brachypodium stacei	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
