Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
LOC104210185	TCP	MP00636	Nicotiana sylvestris	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
LOC104210386	bHLH	MP00498	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT5G08130(Arabidopsis thaliana)
LOC104210409	bHLH	MP00082	Nicotiana sylvestris	ChIP-seq	PlantTFDB	transfer from AT3G59060(Arabidopsis thaliana)
LOC104210513	bHLH	MP00660	Nicotiana sylvestris	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
LOC104210533	ERF	MP00227	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT1G71450(Arabidopsis thaliana)
LOC104210767	LBD	MP00211	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
LOC104210771	G2-like	MP00331	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT3G04030(Arabidopsis thaliana)
LOC104210782	HD-ZIP	MP00486	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT5G03790(Arabidopsis thaliana)
LOC104210788	ERF	MP00527	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT5G25390(Arabidopsis thaliana)
LOC104211178	WRKY	MP00167	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
LOC104211442	MYB_related	MP00607	Nicotiana sylvestris	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
LOC104211680	Nin-like	MP00154	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
LOC104211885	ERF	MP00453	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT4G25480(Arabidopsis thaliana)
LOC104212324	ERF	MP00151	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
LOC104212379	C2H2	MP00487	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT5G04390(Arabidopsis thaliana)
LOC104212382	NAC	MP00398	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT3G49530(Arabidopsis thaliana)
LOC104212484	NAC	MP00277	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
LOC104212486	MYB_related	MP00565	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
LOC104212503	TALE	MP00675	Nicotiana sylvestris	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
LOC104212522	SBP	MP00290	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT2G33810(Arabidopsis thaliana)
LOC104212637	NF-YB	MP00133	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT1G09030(Arabidopsis thaliana)
LOC104212764	bHLH	MP00219	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
LOC104212985	MYB_related	MP00631	Nicotiana sylvestris	PBM	PlantTFDB	transfer from PK23829.1(Cannabis sativa)
LOC104213091	NAC	MP00439	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT4G17980(Arabidopsis thaliana)
LOC104213119	WRKY	MP00440	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
LOC104213156	Trihelix	MP00413	Nicotiana sylvestris	DAP	PlantTFDB	transfer from AT3G58630(Arabidopsis thaliana)
