Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Bostr.0124s0004	HD-ZIP	MP00200	Boechera stricta	DAP	PlantTFDB	transfer from AT1G52150(Arabidopsis thaliana)
Bostr.0124s0081	NAC	MP00201	Boechera stricta	DAP	PlantTFDB	transfer from AT1G52880(Arabidopsis thaliana)
Bostr.0124s0082	NAC	MP00012	Boechera stricta	PBM	PlantTFDB	transfer from AT1G52890(Arabidopsis thaliana)
Bostr.0124s0106	SBP	MP00634	Boechera stricta	PBM	PlantTFDB	transfer from PK22320.1(Cannabis sativa)
Bostr.0124s0109	ERF	MP00202	Boechera stricta	DAP	PlantTFDB	transfer from AT1G53170(Arabidopsis thaliana)
Bostr.0124s0115	TCP	MP00203	Boechera stricta	DAP	PlantTFDB	transfer from AT1G53230(Arabidopsis thaliana)
Bostr.0124s0192	ZF-HD	MP00143	Boechera stricta	DAP	PlantTFDB	transfer from AT1G14687(Arabidopsis thaliana)
Bostr.0556s0021	BBR-BPC	MP00253	Boechera stricta	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
Bostr.0556s0022	C2H2	MP00254	Boechera stricta	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
Bostr.0556s0033	C2H2	MP00255	Boechera stricta	DAP	PlantTFDB	transfer from AT2G02070(Arabidopsis thaliana)
Bostr.0556s0034	C2H2	MP00256	Boechera stricta	DAP	PlantTFDB	transfer from AT2G02080(Arabidopsis thaliana)
Bostr.0556s0069	NAC	MP00257	Boechera stricta	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
Bostr.0556s0077	ZF-HD	MP00258	Boechera stricta	DAP	PlantTFDB	transfer from AT2G02540(Arabidopsis thaliana)
Bostr.0556s0099	MYB	MP00259	Boechera stricta	DAP	PlantTFDB	transfer from AT2G02820(Arabidopsis thaliana)
Bostr.0556s0160	WRKY	MP00260	Boechera stricta	DAP	PlantTFDB	transfer from AT2G03340(Arabidopsis thaliana)
