Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Vradi0007s00620	ERF	MP00521	Vigna radiata	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
Vradi0007s01690	NAC	MP00333	Vigna radiata	DAP	PlantTFDB	transfer from AT3G04070(Arabidopsis thaliana)
Vradi0023s00720	Trihelix	MP00413	Vigna radiata	DAP	PlantTFDB	transfer from AT3G58630(Arabidopsis thaliana)
Vradi0048s00470	WRKY	MP00440	Vigna radiata	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
Vradi0051s00410	NAC	MP00583	Vigna radiata	DAP	PlantTFDB	transfer from AT5G64060(Arabidopsis thaliana)
Vradi0073s00080	MYB	MP00500	Vigna radiata	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
Vradi0083s00100	WRKY	MP00525	Vigna radiata	DAP	PlantTFDB	transfer from AT5G24110(Arabidopsis thaliana)
Vradi0083s00280	bHLH	MP00100	Vigna radiata	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
Vradi0083s00810	ERF	MP00120	Vigna radiata	DAP	PlantTFDB	transfer from AT1G01250(Arabidopsis thaliana)
Vradi0083s01090	G2-like	MP00532	Vigna radiata	DAP	PlantTFDB	transfer from AT5G29000(Arabidopsis thaliana)
Vradi0086s00350	SBP	MP00634	Vigna radiata	PBM	PlantTFDB	transfer from PK22320.1(Cannabis sativa)
Vradi0086s00450	G2-like	MP00022	Vigna radiata	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
Vradi0086s00500	C2H2	MP00125	Vigna radiata	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
Vradi0095s00150	bZIP	MP00117	Vigna radiata	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
Vradi0100s00500	WRKY	MP00067	Vigna radiata	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
Vradi0108s00080	MYB_related	MP00338	Vigna radiata	DAP	PlantTFDB	transfer from AT3G09600(Arabidopsis thaliana)
Vradi0122s00050	LBD	MP00314	Vigna radiata	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
Vradi0122s00370	MIKC_MADS	MP00076	Vigna radiata	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
Vradi0146s00050	TCP	MP00636	Vigna radiata	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
Vradi0146s00260	WRKY	MP00506	Vigna radiata	DAP	PlantTFDB	transfer from AT5G13080(Arabidopsis thaliana)
Vradi0153s00520	GATA	MP00198	Vigna radiata	DAP	PlantTFDB	transfer from AT1G51600(Arabidopsis thaliana)
Vradi0158s00330	bZIP	MP00303	Vigna radiata	DAP	PlantTFDB	transfer from AT2G40620(Arabidopsis thaliana)
Vradi0158s00460	M-type_MADS	MP00553	Vigna radiata	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
Vradi0161s00040	HSF	MP00443	Vigna radiata	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
Vradi0169s00280	bHLH	MP00219	Vigna radiata	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
