Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Dca1050	BBR-BPC	MP00540	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Dca10554	MYB	MP00334	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT3G06490(Arabidopsis thaliana)
Dca10730	bHLH	MP00181	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT1G35460(Arabidopsis thaliana)
Dca10858	SRS	MP00613	Dianthus caryophyllus	PBM	PlantTFDB	transfer from AT3G51060(Arabidopsis thaliana)
Dca11198	ERF	MP00556	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT5G51190(Arabidopsis thaliana)
Dca11549	C2H2	MP00196	Dianthus caryophyllus	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
Dca11860	MYB_related	MP00515	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT5G17300(Arabidopsis thaliana)
Dca12447	ARF	MP00574	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
Dca12454	LFY	MP00095	Dianthus caryophyllus	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
Dca12557	bZIP	MP00502	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT5G10030(Arabidopsis thaliana)
Dca12622	G2-like	MP00022	Dianthus caryophyllus	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
Dca12625	C2H2	MP00125	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
Dca12805	bHLH	MP00659	Dianthus caryophyllus	PBM	PlantTFDB	transfer from Pp3c14_15890(Physcomitrella patens)
Dca13544	B3	MP00468	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
Dca13545	MYB_related	MP00607	Dianthus caryophyllus	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
Dca13546	G2-like	MP00107	Dianthus caryophyllus	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
Dca13740	NAC	MP00460	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
Dca14210	WRKY	MP00251	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT1G80840(Arabidopsis thaliana)
Dca14520	G2-like	MP00297	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT2G38300(Arabidopsis thaliana)
Dca16138	bHLH	MP00219	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
Dca16673	MYB	MP00279	Dianthus caryophyllus	DAP	PlantTFDB	transfer from AT2G26960(Arabidopsis thaliana)
