Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
AMDW01035831.1_FG001	G2-like	MP00628	Oryza longistaminata	PBM	PlantTFDB	transfer from PK10342.1(Cannabis sativa)
AMDW01038492.1_FG001	BBR-BPC	MP00253	Oryza longistaminata	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
KN538681.1_FG110	MYB_related	MP00654	Oryza longistaminata	PBM	PlantTFDB	transfer from LOC_Os08g06110(Oryza sativa subsp. japonica)
KN538684.1_FG061	C2H2	MP00229	Oryza longistaminata	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
KN538686.1_FG084	EIL	MP00367	Oryza longistaminata	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
KN538687.1_FG025	bZIP	MP00409	Oryza longistaminata	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
KN538687.1_FG147	MYB	MP00490	Oryza longistaminata	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
KN538690.1_FG117	MYB	MP00296	Oryza longistaminata	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
KN538691.1_FG089	bZIP	MP00291	Oryza longistaminata	DAP	PlantTFDB	transfer from AT2G35530(Arabidopsis thaliana)
KN538693.1_FG004	NAC	MP00058	Oryza longistaminata	PBM	PlantTFDB	transfer from AT1G61110(Arabidopsis thaliana)
KN538693.1_FG016	C2H2	MP00306	Oryza longistaminata	DAP	PlantTFDB	transfer from AT2G41835(Arabidopsis thaliana)
KN538695.1_FG001	Dof	MP00046	Oryza longistaminata	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
KN538699.1_FG082	bZIP	MP00131	Oryza longistaminata	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
KN538704.1_FG038	NAC	MP00364	Oryza longistaminata	DAP	PlantTFDB	transfer from AT3G18400(Arabidopsis thaliana)
KN538709.1_FG051	bZIP	MP00184	Oryza longistaminata	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
KN538713.1_FG014	TCP	MP00065	Oryza longistaminata	PBM	PlantTFDB	transfer from AT5G60970(Arabidopsis thaliana)
KN538713.1_FG098	CPP	MP00045	Oryza longistaminata	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
KN538723.1_FG006	C2H2	MP00162	Oryza longistaminata	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
KN538723.1_FG065	G2-like	MP00475	Oryza longistaminata	DAP	PlantTFDB	transfer from AT4G37180(Arabidopsis thaliana)
KN538735.1_FG007	C3H	MP00383	Oryza longistaminata	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
KN538736.1_FG054	BES1	MP00543	Oryza longistaminata	DAP	PlantTFDB	transfer from AT5G45300(Arabidopsis thaliana)
KN538737.1_FG003	ARF	MP00097	Oryza longistaminata	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
KN538737.1_FG040	G2-like	MP00301	Oryza longistaminata	DAP	PlantTFDB	transfer from AT2G40260(Arabidopsis thaliana)
KN538739.1_FG010	ARR-B	MP00054	Oryza longistaminata	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
KN538740.1_FG017	ARF	MP00153	Oryza longistaminata	DAP	PlantTFDB	transfer from AT1G19850(Arabidopsis thaliana)
KN538744.1_FG029	NAC	MP00250	Oryza longistaminata	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
KN538745.1_FG017	HSF	MP00514	Oryza longistaminata	DAP	PlantTFDB	transfer from AT5G16820(Arabidopsis thaliana)
KN538747.1_FG036	BES1	MP00248	Oryza longistaminata	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
KN538748.1_FG015	C2H2	MP00206	Oryza longistaminata	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
KN538753.1_FG048	SBP	MP00604	Oryza longistaminata	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
KN538755.1_FG005	MYB_related	MP00565	Oryza longistaminata	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
KN538755.1_FG008	NAC	MP00460	Oryza longistaminata	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
KN538757.1_FG014	GATA	MP00415	Oryza longistaminata	DAP	PlantTFDB	transfer from AT3G60530(Arabidopsis thaliana)
KN538771.1_FG006	MIKC_MADS	MP00077	Oryza longistaminata	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
KN538783.1_FG042	MYB_related	MP00607	Oryza longistaminata	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
KN538801.1_FG029	bZIP	MP00349	Oryza longistaminata	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
KN538807.1_FG010	B3	MP00083	Oryza longistaminata	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
KN538809.1_FG010	MYB	MP00028	Oryza longistaminata	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
KN538815.1_FG049	ARF	MP00461	Oryza longistaminata	DAP	PlantTFDB	transfer from AT4G30080(Arabidopsis thaliana)
KN538819.1_FG031	MYB	MP00442	Oryza longistaminata	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
KN538830.1_FG016	WRKY	MP00619	Oryza longistaminata	PBM	PlantTFDB	transfer from AT5G22570(Arabidopsis thaliana)
KN538841.1_FG061	bZIP	MP00647	Oryza longistaminata	PBM	PlantTFDB	transfer from LOC_Os02g49560(Oryza sativa subsp. japonica)
KN538847.1_FG039	YABBY	MP00220	Oryza longistaminata	DAP	PlantTFDB	transfer from AT1G69180(Arabidopsis thaliana)
KN538848.1_FG010	ARF	MP00574	Oryza longistaminata	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
KN538863.1_FG003	TALE	MP00670	Oryza longistaminata	PBM	PlantTFDB	transfer from GRMZM2G087741(Zea mays)
KN538864.1_FG043	ARF	MP00021	Oryza longistaminata	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
