Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Csa00382s260	TCP	MP00390	Camelina sativa	DAP	PlantTFDB	transfer from AT3G45150(Arabidopsis thaliana)
Csa00430s030	FAR1	MP00434	Camelina sativa	DAP	PlantTFDB	transfer from AT4G15090(Arabidopsis thaliana)
Csa00456s130	C2H2	MP00256	Camelina sativa	DAP	PlantTFDB	transfer from AT2G02080(Arabidopsis thaliana)
Csa00485s040	ERF	MP00182	Camelina sativa	DAP	PlantTFDB	transfer from AT1G36060(Arabidopsis thaliana)
Csa00511s240	WRKY	MP00428	Camelina sativa	DAP	PlantTFDB	transfer from AT4G04450(Arabidopsis thaliana)
Csa00595s010	bZIP	MP00533	Camelina sativa	DAP	PlantTFDB	transfer from AT5G38800(Arabidopsis thaliana)
Csa01g002880	NAC	MP00329	Camelina sativa	DAP	PlantTFDB	transfer from AT3G03200(Arabidopsis thaliana)
Csa01g003350	WOX	MP00330	Camelina sativa	DAP	PlantTFDB	transfer from AT3G03660(Arabidopsis thaliana)
Csa01g004860	NAC	MP00333	Camelina sativa	DAP	PlantTFDB	transfer from AT3G04070(Arabidopsis thaliana)
Csa01g007530	MYB	MP00334	Camelina sativa	DAP	PlantTFDB	transfer from AT3G06490(Arabidopsis thaliana)
Csa01g009950	MYB	MP00337	Camelina sativa	DAP	PlantTFDB	transfer from AT3G09230(Arabidopsis thaliana)
Csa01g011380	NAC	MP00343	Camelina sativa	DAP	PlantTFDB	transfer from AT3G10500(Arabidopsis thaliana)
Csa01g011480	MYB_related	MP00344	Camelina sativa	DAP	PlantTFDB	transfer from AT3G10580(Arabidopsis thaliana)
Csa01g011730	bZIP	MP00345	Camelina sativa	DAP	PlantTFDB	transfer from AT3G10800(Arabidopsis thaliana)
Csa01g012030	ERF	MP00346	Camelina sativa	DAP	PlantTFDB	transfer from AT3G11020(Arabidopsis thaliana)
Csa01g013230	C3H	MP00113	Camelina sativa	ampDAP	PlantTFDB	transfer from AT3G12130(Arabidopsis thaliana)
Csa01g013360	bZIP	MP00349	Camelina sativa	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
Csa01g014020	NAC	MP00353	Camelina sativa	DAP	PlantTFDB	transfer from AT3G12910(Arabidopsis thaliana)
Csa01g016210	C2H2	MP00355	Camelina sativa	DAP	PlantTFDB	transfer from AT3G13810(Arabidopsis thaliana)
Csa01g017710	NAC	MP00357	Camelina sativa	DAP	PlantTFDB	transfer from AT3G15170(Arabidopsis thaliana)
Csa01g021240	NAC	MP00364	Camelina sativa	DAP	PlantTFDB	transfer from AT3G18400(Arabidopsis thaliana)
Csa01g027790	MYB	MP00375	Camelina sativa	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
Csa01g032700	C2H2	MP00621	Camelina sativa	PBM	PlantTFDB	transfer from AT2G17180(Arabidopsis thaliana)
Csa01g041450	bHLH	MP00106	Camelina sativa	PBM	PlantTFDB	transfer from AT2G18300(Arabidopsis thaliana)
Csa01g041480	ZF-HD	MP00268	Camelina sativa	DAP	PlantTFDB	transfer from AT2G18350(Arabidopsis thaliana)
Csa01g041510	GATA	MP00110	Camelina sativa	ampDAP	PlantTFDB	transfer from AT2G18380(Arabidopsis thaliana)
Csa01g044350	CPP	MP00269	Camelina sativa	DAP	PlantTFDB	transfer from AT2G20110(Arabidopsis thaliana)
Csa02g001100	bHLH	MP00034	Camelina sativa	PBM	PlantTFDB	transfer from AT4G00050(Arabidopsis thaliana)
Csa02g002030	WRKY	MP00422	Camelina sativa	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
Csa02g009840	MYB	MP00429	Camelina sativa	DAP	PlantTFDB	transfer from AT4G05100(Arabidopsis thaliana)
Csa02g030810	ERF	MP00430	Camelina sativa	DAP	PlantTFDB	transfer from AT4G06746(Arabidopsis thaliana)
Csa02g033460	M-type_MADS	MP00553	Camelina sativa	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
Csa02g039260	SBP	MP00555	Camelina sativa	DAP	PlantTFDB	transfer from AT5G50570(Arabidopsis thaliana)
Csa02g044960	ERF	MP00557	Camelina sativa	DAP	PlantTFDB	transfer from AT5G51990(Arabidopsis thaliana)
Csa02g045180	HD-ZIP	MP00559	Camelina sativa	DAP	PlantTFDB	transfer from AT5G52170(Arabidopsis thaliana)
Csa02g061150	MYB_related	MP00565	Camelina sativa	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
Csa02g062640	ARR-B	MP00057	Camelina sativa	PBM	PlantTFDB	transfer from AT5G58080(Arabidopsis thaliana)
Csa02g067000	AP2	MP00616	Camelina sativa	PBM	PlantTFDB	transfer from AT5G60120(Arabidopsis thaliana)
Csa02g069890	LFY	MP00095	Camelina sativa	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
Csa02g070050	ARF	MP00574	Camelina sativa	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
