Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
MELO3C000030	WRKY	MP00069	Cucumis melo	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
MELO3C001929	C2H2	MP00254	Cucumis melo	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
MELO3C001940	HD-ZIP	MP00232	Cucumis melo	DAP	PlantTFDB	transfer from AT1G73360(Arabidopsis thaliana)
MELO3C001959	NAC	MP00363	Cucumis melo	DAP	PlantTFDB	transfer from AT3G17730(Arabidopsis thaliana)
MELO3C001962	MYB_related	MP00146	Cucumis melo	DAP	PlantTFDB	transfer from AT1G18330(Arabidopsis thaliana)
MELO3C001981	MYB	MP00579	Cucumis melo	DAP	PlantTFDB	transfer from AT5G62470(Arabidopsis thaliana)
MELO3C002090	MYB	MP00159	Cucumis melo	DAP	PlantTFDB	transfer from AT1G25340(Arabidopsis thaliana)
MELO3C002228	MYB_related	MP00631	Cucumis melo	PBM	PlantTFDB	transfer from PK23829.1(Cannabis sativa)
MELO3C002236	E2F/DP	MP00397	Cucumis melo	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
MELO3C002264	Dof	MP00580	Cucumis melo	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
MELO3C002327	C2H2	MP00608	Cucumis melo	ChIP-seq	PlantTFDB	transfer from AT3G48430(Arabidopsis thaliana)
MELO3C002370	SBP	MP00555	Cucumis melo	DAP	PlantTFDB	transfer from AT5G50570(Arabidopsis thaliana)
MELO3C002618	SBP	MP00290	Cucumis melo	DAP	PlantTFDB	transfer from AT2G33810(Arabidopsis thaliana)
MELO3C002623	ERF	MP00645	Cucumis melo	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
MELO3C002628	NAC	MP00459	Cucumis melo	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
MELO3C002649	Dof	MP00166	Cucumis melo	DAP	PlantTFDB	transfer from AT1G29160(Arabidopsis thaliana)
MELO3C002675	WRKY	MP00167	Cucumis melo	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
MELO3C002679	HSF	MP00443	Cucumis melo	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
MELO3C003212	MYB	MP00337	Cucumis melo	DAP	PlantTFDB	transfer from AT3G09230(Arabidopsis thaliana)
MELO3C003229	MYB	MP00296	Cucumis melo	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
MELO3C003390	NAC	MP00439	Cucumis melo	DAP	PlantTFDB	transfer from AT4G17980(Arabidopsis thaliana)
MELO3C003502	MIKC_MADS	MP00410	Cucumis melo	DAP	PlantTFDB	transfer from AT3G57230(Arabidopsis thaliana)
MELO3C003622	WRKY	MP00464	Cucumis melo	DAP	PlantTFDB	transfer from AT4G31550(Arabidopsis thaliana)
MELO3C003695	ERF	MP00527	Cucumis melo	DAP	PlantTFDB	transfer from AT5G25390(Arabidopsis thaliana)
MELO3C003768	ARF	MP00153	Cucumis melo	DAP	PlantTFDB	transfer from AT1G19850(Arabidopsis thaliana)
MELO3C003778	MIKC_MADS	MP00077	Cucumis melo	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
MELO3C003785	ERF	MP00240	Cucumis melo	DAP	PlantTFDB	transfer from AT1G75490(Arabidopsis thaliana)
MELO3C004148	bHLH	MP00081	Cucumis melo	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
MELO3C004535	G2-like	MP00261	Cucumis melo	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
MELO3C004556	HSF	MP00379	Cucumis melo	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
MELO3C004566	CPP	MP00269	Cucumis melo	DAP	PlantTFDB	transfer from AT2G20110(Arabidopsis thaliana)
MELO3C004604	NAC	MP00460	Cucumis melo	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
MELO3C004728	bZIP	MP00131	Cucumis melo	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
MELO3C004869	C2H2	MP00522	Cucumis melo	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
MELO3C005072	MYB	MP00500	Cucumis melo	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
MELO3C005239	BBR-BPC	MP00253	Cucumis melo	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
MELO3C005298	GRAS	MP00611	Cucumis melo	ChIP-seq	PlantTFDB	transfer from AT2G01570(Arabidopsis thaliana)
MELO3C005335	C3H	MP00383	Cucumis melo	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
MELO3C005393	MIKC_MADS	MP00576	Cucumis melo	DAP	PlantTFDB	transfer from AT5G62165(Arabidopsis thaliana)
MELO3C005465	ERF	MP00556	Cucumis melo	DAP	PlantTFDB	transfer from AT5G51190(Arabidopsis thaliana)
MELO3C005563	NAC	MP00136	Cucumis melo	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
MELO3C005639	HSF	MP00432	Cucumis melo	DAP	PlantTFDB	transfer from AT4G11660(Arabidopsis thaliana)
MELO3C005791	NAC	MP00016	Cucumis melo	PBM	PlantTFDB	transfer from AT1G32770(Arabidopsis thaliana)
MELO3C005840	MYB_related	MP00625	Cucumis melo	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
MELO3C005843	WRKY	MP00561	Cucumis melo	DAP	PlantTFDB	transfer from AT5G52830(Arabidopsis thaliana)
MELO3C005937	WRKY	MP00618	Cucumis melo	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
MELO3C005960	C2H2	MP00416	Cucumis melo	DAP	PlantTFDB	transfer from AT3G60580(Arabidopsis thaliana)
MELO3C005992	HD-ZIP	MP00320	Cucumis melo	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
MELO3C006016	bHLH	MP00100	Cucumis melo	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
MELO3C006054	bZIP	MP00318	Cucumis melo	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
MELO3C006081	WRKY	MP00422	Cucumis melo	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
MELO3C006120	MYB	MP00114	Cucumis melo	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
MELO3C006159	M-type_MADS	MP00076	Cucumis melo	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
MELO3C006183	LBD	MP00314	Cucumis melo	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
MELO3C006313	G2-like	MP00378	Cucumis melo	DAP	PlantTFDB	transfer from AT3G24120(Arabidopsis thaliana)
MELO3C006430	ERF	MP00374	Cucumis melo	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
MELO3C006435	bHLH	MP00102	Cucumis melo	PBM	PlantTFDB	transfer from AT4G14410(Arabidopsis thaliana)
MELO3C006510	CPP	MP00624	Cucumis melo	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
MELO3C006597	SBP	MP00604	Cucumis melo	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
MELO3C006626	ERF	MP00520	Cucumis melo	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
MELO3C006693	ARR-B	MP00054	Cucumis melo	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
MELO3C006696	GATA	MP00335	Cucumis melo	DAP	PlantTFDB	transfer from AT3G06740(Arabidopsis thaliana)
