Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
OB01G11750	MYB	MP00216	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
OB01G12600	RAV	MP00025	Oryza brachyantha	PBM	PlantTFDB	transfer from AT1G68840(Arabidopsis thaliana)
OB01G13930	ERF	MP00302	Oryza brachyantha	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
OB01G14220	LBD	MP00581	Oryza brachyantha	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
OB01G14760	G2-like	MP00261	Oryza brachyantha	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
OB01G15780	NAC	MP00460	Oryza brachyantha	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
OB01G16060	C2H2	MP00206	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
OB01G16550	MIKC_MADS	MP00609	Oryza brachyantha	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
OB01G18340	MYB	MP00505	Oryza brachyantha	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
OB01G18800	bHLH	MP00100	Oryza brachyantha	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
OB01G18870	Nin-like	MP00449	Oryza brachyantha	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
OB01G19380	WRKY	MP00209	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
OB01G20470	Dof	MP00046	Oryza brachyantha	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
OB01G21750	M-type_MADS	MP00553	Oryza brachyantha	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
OB01G21830	bHLH	MP00081	Oryza brachyantha	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
OB01G22470	TALE	MP00670	Oryza brachyantha	PBM	PlantTFDB	transfer from GRMZM2G087741(Zea mays)
OB01G34420	ERF	MP00456	Oryza brachyantha	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
OB01G34880	WRKY	MP00440	Oryza brachyantha	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
OB01G35190	ARF	MP00021	Oryza brachyantha	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
OB01G37330	MYB_related	MP00652	Oryza brachyantha	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
OB01G37620	B3	MP00382	Oryza brachyantha	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
OB01G38820	HSF	MP00379	Oryza brachyantha	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
OB01G38850	WRKY	MP00539	Oryza brachyantha	DAP	PlantTFDB	transfer from AT5G41570(Arabidopsis thaliana)
OB01G39550	GATA	MP00530	Oryza brachyantha	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
OB01G39870	WRKY	MP00167	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
OB01G40680	CPP	MP00045	Oryza brachyantha	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
OB01G43330	bZIP	MP00492	Oryza brachyantha	DAP	PlantTFDB	transfer from AT5G06950(Arabidopsis thaliana)
OB01G43550	MYB	MP00490	Oryza brachyantha	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
OB01G44030	WOX	MP00669	Oryza brachyantha	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
OB01G44130	WRKY	MP00066	Oryza brachyantha	PBM	PlantTFDB	transfer from AT1G66600(Arabidopsis thaliana)
OB01G44150	WRKY	MP00070	Oryza brachyantha	PBM	PlantTFDB	transfer from AT5G01900(Arabidopsis thaliana)
OB01G44400	LBD	MP00283	Oryza brachyantha	DAP	PlantTFDB	transfer from AT2G30340(Arabidopsis thaliana)
OB01G44510	WRKY	MP00299	Oryza brachyantha	DAP	PlantTFDB	transfer from AT2G38470(Arabidopsis thaliana)
OB01G45570	MYB	MP00482	Oryza brachyantha	DAP	PlantTFDB	transfer from AT5G02320(Arabidopsis thaliana)
OB01G46780	bZIP	MP00131	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
OB01G47470	C2H2	MP00196	Oryza brachyantha	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
OB01G48280	MIKC_MADS	MP00080	Oryza brachyantha	ChIP-seq	PlantTFDB	transfer from AT5G20240(Arabidopsis thaliana)
OB01G48340	NAC	MP00121	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
OB01G48600	NAC	MP00257	Oryza brachyantha	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
OB01G48740	LBD	MP00211	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
OB01G49660	ARR-B	MP00010	Oryza brachyantha	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
OB01G49820	C2H2	MP00608	Oryza brachyantha	ChIP-seq	PlantTFDB	transfer from AT3G48430(Arabidopsis thaliana)
OB01G50120	B3	MP00083	Oryza brachyantha	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
OB01G50400	bHLH	MP00660	Oryza brachyantha	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
OB01G54640	G2-like	MP00014	Oryza brachyantha	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
OB01G55040	GATA	MP00554	Oryza brachyantha	DAP	PlantTFDB	transfer from AT5G49300(Arabidopsis thaliana)
OB02G10400	Trihelix	MP00651	Oryza brachyantha	PBM	PlantTFDB	transfer from LOC_Os02g01380(Oryza sativa subsp. japonica)
OB02G10980	C2H2	MP00229	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
OB02G14210	ARF	MP00033	Oryza brachyantha	PBM	PlantTFDB	transfer from AT5G37020(Arabidopsis thaliana)
OB02G17160	bZIP	MP00117	Oryza brachyantha	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
OB02G20150	WRKY	MP00422	Oryza brachyantha	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
OB02G21340	FAR1	MP00434	Oryza brachyantha	DAP	PlantTFDB	transfer from AT4G15090(Arabidopsis thaliana)
OB02G22950	G2-like	MP00160	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G25550(Arabidopsis thaliana)
OB02G26200	ERF	MP00163	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G28160(Arabidopsis thaliana)
OB02G28170	ARF	MP00097	Oryza brachyantha	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
OB02G28310	ERF	MP00227	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G71450(Arabidopsis thaliana)
OB02G29310	MIKC_MADS	MP00410	Oryza brachyantha	DAP	PlantTFDB	transfer from AT3G57230(Arabidopsis thaliana)
OB02G31990	MYB	MP00375	Oryza brachyantha	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
OB02G32960	MYB	MP00114	Oryza brachyantha	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
OB02G33040	YABBY	MP00620	Oryza brachyantha	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
OB02G33070	NAC	MP00136	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
OB02G33250	Trihelix	MP00243	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G76880(Arabidopsis thaliana)
OB02G33450	WRKY	MP00618	Oryza brachyantha	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
OB02G35000	HD-ZIP	MP00418	Oryza brachyantha	DAP	PlantTFDB	transfer from AT3G61150(Arabidopsis thaliana)
OB02G35240	MYB_related	MP00625	Oryza brachyantha	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
OB02G35340	MIKC_MADS	MP00315	Oryza brachyantha	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
OB02G35920	MYB	MP00249	Oryza brachyantha	DAP	PlantTFDB	transfer from AT1G79180(Arabidopsis thaliana)
OB02G36270	G2-like	MP00544	Oryza brachyantha	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
OB02G37970	Dof	MP00570	Oryza brachyantha	DAP	PlantTFDB	transfer from AT5G60850(Arabidopsis thaliana)
