Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Cc00_g02380	bZIP	MP00409	Coffea canephora	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
Cc00_g03570	bZIP	MP00126	Coffea canephora	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
Cc00_g05100	WOX	MP00330	Coffea canephora	DAP	PlantTFDB	transfer from AT3G03660(Arabidopsis thaliana)
Cc00_g05780	NAC	MP00017	Coffea canephora	PBM	PlantTFDB	transfer from AT1G71930(Arabidopsis thaliana)
Cc00_g06830	WRKY	MP00094	Coffea canephora	SELEX	PlantTFDB	transfer from AT2G04880(Arabidopsis thaliana)
Cc00_g08030	NAC	MP00518	Coffea canephora	DAP	PlantTFDB	transfer from AT5G18270(Arabidopsis thaliana)
Cc00_g08040	NAC	MP00277	Coffea canephora	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
Cc00_g08780	C2H2	MP00196	Coffea canephora	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
Cc00_g09070	NAC	MP00250	Coffea canephora	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
Cc00_g12260	ARF	MP00574	Coffea canephora	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
Cc00_g13830	YABBY	MP00620	Coffea canephora	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
Cc00_g13890	WRKY	MP00299	Coffea canephora	DAP	PlantTFDB	transfer from AT2G38470(Arabidopsis thaliana)
Cc00_g14640	SBP	MP00307	Coffea canephora	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
Cc00_g21210	MYB	MP00334	Coffea canephora	DAP	PlantTFDB	transfer from AT3G06490(Arabidopsis thaliana)
Cc00_g21780	bZIP	MP00184	Coffea canephora	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
Cc00_g28360	HSF	MP00575	Coffea canephora	DAP	PlantTFDB	transfer from AT5G62020(Arabidopsis thaliana)
Cc01_g04200	EIL	MP00233	Coffea canephora	DAP	PlantTFDB	transfer from AT1G73730(Arabidopsis thaliana)
Cc01_g04410	bHLH	MP00646	Coffea canephora	PBM	PlantTFDB	transfer from LOC_Os08g39630(Oryza sativa subsp. japonica)
Cc01_g05110	bZIP	MP00349	Coffea canephora	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
Cc01_g07440	MYB	MP00490	Coffea canephora	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
Cc01_g07490	EIL	MP00367	Coffea canephora	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
