Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Potri.001G004700	ERF	MP00521	Populus trichocarpa	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
Potri.001G015900	EIL	MP00233	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G73730(Arabidopsis thaliana)
Potri.001G029800	bZIP	MP00349	Populus trichocarpa	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
Potri.001G044500	WRKY	MP00251	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G80840(Arabidopsis thaliana)
Potri.001G053500	GATA	MP00377	Populus trichocarpa	DAP	PlantTFDB	transfer from AT3G24050(Arabidopsis thaliana)
Potri.001G058400	MIKC_MADS	MP00605	Populus trichocarpa	ChIP-seq	PlantTFDB	transfer from AT1G24260(Arabidopsis thaliana)
Potri.001G060000	TCP	MP00641	Populus trichocarpa	PBM	PlantTFDB	transfer from Manes.12G007700(Manihot esculenta)
Potri.001G061200	NAC	MP00507	Populus trichocarpa	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
Potri.001G066900	Trihelix	MP00288	Populus trichocarpa	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Potri.001G080300	MYB_related	MP00573	Populus trichocarpa	DAP	PlantTFDB	transfer from AT5G61620(Arabidopsis thaliana)
Potri.001G094800	ERF	MP00027	Populus trichocarpa	PBM	PlantTFDB	transfer from AT4G23750(Arabidopsis thaliana)
Potri.001G108100	HSF	MP00432	Populus trichocarpa	DAP	PlantTFDB	transfer from AT4G11660(Arabidopsis thaliana)
Potri.001G110800	ERF	MP00002	Populus trichocarpa	PBM	PlantTFDB	transfer from 475045(Arabidopsis lyrata)
Potri.001G120000	NAC	MP00136	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
Potri.001G133400	G2-like	MP00544	Populus trichocarpa	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
Potri.001G137600	G2-like	MP00174	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G32240(Arabidopsis thaliana)
Potri.001G142200	bHLH	MP00084	Populus trichocarpa	PBM	PlantTFDB	transfer from AT1G32640(Arabidopsis thaliana)
Potri.001G144400	NAC	MP00439	Populus trichocarpa	DAP	PlantTFDB	transfer from AT4G17980(Arabidopsis thaliana)
Potri.001G154200	ERF	MP00549	Populus trichocarpa	DAP	PlantTFDB	transfer from AT5G47230(Arabidopsis thaliana)
Potri.001G155100	HD-ZIP	MP00550	Populus trichocarpa	DAP	PlantTFDB	transfer from AT5G47370(Arabidopsis thaliana)
Potri.001G155300	MYB_related	MP00551	Populus trichocarpa	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
Potri.001G163700	ERF	MP00204	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G53910(Arabidopsis thaliana)
Potri.001G188800	HD-ZIP	MP00200	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G52150(Arabidopsis thaliana)
Potri.001G238400	Dof	MP00281	Populus trichocarpa	DAP	PlantTFDB	transfer from AT2G28810(Arabidopsis thaliana)
Potri.001G252600	C3H	MP00566	Populus trichocarpa	DAP	PlantTFDB	transfer from AT5G58620(Arabidopsis thaliana)
Potri.001G267300	MYB	MP00336	Populus trichocarpa	DAP	PlantTFDB	transfer from AT3G08500(Arabidopsis thaliana)
Potri.001G322700	B3	MP00382	Populus trichocarpa	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
Potri.001G327100	TCP	MP00636	Populus trichocarpa	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
Potri.001G336700	MYB	MP00510	Populus trichocarpa	DAP	PlantTFDB	transfer from AT5G14340(Arabidopsis thaliana)
Potri.001G347200	MYB	MP00385	Populus trichocarpa	DAP	PlantTFDB	transfer from AT3G27785(Arabidopsis thaliana)
Potri.001G356100	ERF	MP00194	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G50640(Arabidopsis thaliana)
Potri.001G361600	WRKY	MP00455	Populus trichocarpa	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
Potri.001G375800	TCP	MP00009	Populus trichocarpa	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
Potri.001G396300	NAC	MP00562	Populus trichocarpa	DAP	PlantTFDB	transfer from AT5G53950(Arabidopsis thaliana)
Potri.001G396400	NAC	MP00562	Populus trichocarpa	DAP	PlantTFDB	transfer from AT5G53950(Arabidopsis thaliana)
Potri.001G398200	SBP	MP00359	Populus trichocarpa	DAP	PlantTFDB	transfer from AT3G15270(Arabidopsis thaliana)
Potri.001G404400	NAC	MP00361	Populus trichocarpa	DAP	PlantTFDB	transfer from AT3G15510(Arabidopsis thaliana)
Potri.001G460600	WRKY	MP00171	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G30650(Arabidopsis thaliana)
Potri.002G002400	SBP	MP00664	Populus trichocarpa	PBM	PMID:25215497	M1568_1.02
Potri.002G005800	NAC	MP00241	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G76420(Arabidopsis thaliana)
Potri.002G009700	Nin-like	MP00154	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
Potri.002G023400	E2F/DP	MP00190	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G47870(Arabidopsis thaliana)
Potri.002G026700	BBR-BPC	MP00540	Populus trichocarpa	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Potri.002G028400	MIKC_MADS	MP00077	Populus trichocarpa	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
Potri.002G043500	WRKY	MP00284	Populus trichocarpa	DAP	PlantTFDB	transfer from AT2G30590(Arabidopsis thaliana)
Potri.002G057200	NAC	MP00310	Populus trichocarpa	DAP	PlantTFDB	transfer from AT2G43000(Arabidopsis thaliana)
Potri.002G061300	NAC	MP00179	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G34190(Arabidopsis thaliana)
Potri.002G068400	Trihelix	MP00244	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G76890(Arabidopsis thaliana)
Potri.002G068600	Trihelix	MP00243	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G76880(Arabidopsis thaliana)
Potri.002G069500	bZIP	MP00184	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
Potri.002G081000	NAC	MP00121	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
Potri.002G085600	ERF	MP00156	Populus trichocarpa	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
