Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
LOC106292302	bHLH	MP00035	Brassica oleracea	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
LOC106292491	Trihelix	MP00340	Brassica oleracea	DAP	PlantTFDB	transfer from AT3G10030(Arabidopsis thaliana)
LOC106292659	MYB_related	MP00652	Brassica oleracea	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
LOC106292666	HSF	MP00443	Brassica oleracea	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
LOC106292676	E2F/DP	MP00397	Brassica oleracea	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
LOC106292798	MYB	MP00127	Brassica oleracea	DAP	PlantTFDB	transfer from AT1G06180(Arabidopsis thaliana)
LOC106292806	WRKY	MP00325	Brassica oleracea	DAP	PlantTFDB	transfer from AT3G01970(Arabidopsis thaliana)
LOC106292870	HD-ZIP	MP00473	Brassica oleracea	DAP	PlantTFDB	transfer from AT4G36740(Arabidopsis thaliana)
LOC106292942	ERF	MP00182	Brassica oleracea	DAP	PlantTFDB	transfer from AT1G36060(Arabidopsis thaliana)
LOC106293014	ERF	MP00001	Brassica oleracea	PBM	PlantTFDB	transfer from 471409(Arabidopsis lyrata)
LOC106293121	SRS	MP00152	Brassica oleracea	DAP	PlantTFDB	transfer from AT1G19790(Arabidopsis thaliana)
LOC106293159	MYB	MP00159	Brassica oleracea	DAP	PlantTFDB	transfer from AT1G25340(Arabidopsis thaliana)
LOC106293172	NAC	MP00136	Brassica oleracea	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
LOC106293180	SBP	MP00090	Brassica oleracea	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
LOC106293206	MYB	MP00132	Brassica oleracea	DAP	PlantTFDB	transfer from AT1G08810(Arabidopsis thaliana)
LOC106293259	MYB	MP00334	Brassica oleracea	DAP	PlantTFDB	transfer from AT3G06490(Arabidopsis thaliana)
LOC106293298	ERF	MP00362	Brassica oleracea	DAP	PlantTFDB	transfer from AT3G16280(Arabidopsis thaliana)
LOC106293340	WRKY	MP00167	Brassica oleracea	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
LOC106293430	WRKY	MP00070	Brassica oleracea	PBM	PlantTFDB	transfer from AT5G01900(Arabidopsis thaliana)
LOC106293491	HSF	MP00371	Brassica oleracea	DAP	PlantTFDB	transfer from AT3G22830(Arabidopsis thaliana)
LOC106293616	NAC	MP00016	Brassica oleracea	PBM	PlantTFDB	transfer from AT1G32770(Arabidopsis thaliana)
LOC106293745	ERF	MP00645	Brassica oleracea	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
LOC106293984	MYB	MP00350	Brassica oleracea	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
LOC106294076	NF-YB	MP00133	Brassica oleracea	DAP	PlantTFDB	transfer from AT1G09030(Arabidopsis thaliana)
LOC106294123	B3	MP00032	Brassica oleracea	PBM	PlantTFDB	transfer from AT1G28300(Arabidopsis thaliana)
LOC106294382	NAC	MP00332	Brassica oleracea	DAP	PlantTFDB	transfer from AT3G04060(Arabidopsis thaliana)
LOC106294499	MYB	MP00324	Brassica oleracea	DAP	PlantTFDB	transfer from AT3G01530(Arabidopsis thaliana)
LOC106294508	ERF	MP00463	Brassica oleracea	DAP	PlantTFDB	transfer from AT4G31060(Arabidopsis thaliana)
LOC106294527	GATA	MP00335	Brassica oleracea	DAP	PlantTFDB	transfer from AT3G06740(Arabidopsis thaliana)
