Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Vang0002ss01450	G2-like	MP00544	Vigna angularis	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
Vang0002ss01900	BES1	MP00543	Vigna angularis	DAP	PlantTFDB	transfer from AT5G45300(Arabidopsis thaliana)
Vang0004ss00650	C2H2	MP00256	Vigna angularis	DAP	PlantTFDB	transfer from AT2G02080(Arabidopsis thaliana)
Vang0004ss00990	ARR-B	MP00054	Vigna angularis	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
Vang0005s00190	WRKY	MP00067	Vigna angularis	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
Vang0005s00670	NAC	MP00221	Vigna angularis	DAP	PlantTFDB	transfer from AT1G69490(Arabidopsis thaliana)
Vang0005s01200	RAV	MP00024	Vigna angularis	PBM	PlantTFDB	transfer from AT1G25560(Arabidopsis thaliana)
Vang0010ss00970	bHLH	MP00195	Vigna angularis	DAP	PlantTFDB	transfer from AT1G51140(Arabidopsis thaliana)
Vang0013ss00590	bZIP	MP00239	Vigna angularis	DAP	PlantTFDB	transfer from AT1G75390(Arabidopsis thaliana)
Vang0017s00340	GATA	MP00451	Vigna angularis	DAP	PlantTFDB	transfer from AT4G24470(Arabidopsis thaliana)
Vang0017s00770	MYB	MP00180	Vigna angularis	DAP	PlantTFDB	transfer from AT1G34670(Arabidopsis thaliana)
Vang0017s00960	ERF	MP00026	Vigna angularis	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Vang0021ss00200	NAC	MP00280	Vigna angularis	DAP	PlantTFDB	transfer from AT2G27300(Arabidopsis thaliana)
Vang0021ss00470	G2-like	MP00331	Vigna angularis	DAP	PlantTFDB	transfer from AT3G04030(Arabidopsis thaliana)
Vang0021ss00670	EIL	MP00233	Vigna angularis	DAP	PlantTFDB	transfer from AT1G73730(Arabidopsis thaliana)
Vang0021ss00890	MYB	MP00336	Vigna angularis	DAP	PlantTFDB	transfer from AT3G08500(Arabidopsis thaliana)
Vang0021ss02160	ARF	MP00461	Vigna angularis	DAP	PlantTFDB	transfer from AT4G30080(Arabidopsis thaliana)
Vang0021ss02520	C2H2	MP00522	Vigna angularis	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
Vang0022ss00880	MYB	MP00249	Vigna angularis	DAP	PlantTFDB	transfer from AT1G79180(Arabidopsis thaliana)
Vang0022ss02430	NAC	MP00205	Vigna angularis	DAP	PlantTFDB	transfer from AT1G54330(Arabidopsis thaliana)
Vang0022ss02460	MYB	MP00350	Vigna angularis	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
Vang0026ss00240	NAC	MP00266	Vigna angularis	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
Vang0026ss00340	WOX	MP00265	Vigna angularis	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
