Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Zmw_sc00018.1.g00710.1	TALE	MP00670	Zoysia matrella	PBM	PlantTFDB	transfer from GRMZM2G087741(Zea mays)
Zmw_sc00037.1.g00070.1	MYB	MP00287	Zoysia matrella	DAP	PlantTFDB	transfer from AT2G32460(Arabidopsis thaliana)
Zmw_sc00039.1.g00390.1	WRKY	MP00304	Zoysia matrella	DAP	PlantTFDB	transfer from AT2G40740(Arabidopsis thaliana)
Zmw_sc00067.1.g00200.1	ZF-HD	MP00258	Zoysia matrella	DAP	PlantTFDB	transfer from AT2G02540(Arabidopsis thaliana)
Zmw_sc00078.1.g00210.1	bZIP	MP00087	Zoysia matrella	SELEX	PlantTFDB	transfer from AT1G49720(Arabidopsis thaliana)
Zmw_sc00079.1.g00370.1	bZIP	MP00173	Zoysia matrella	DAP	PlantTFDB	transfer from AT1G32150(Arabidopsis thaliana)
Zmw_sc00093.1.g00270.1	WRKY	MP00070	Zoysia matrella	PBM	PlantTFDB	transfer from AT5G01900(Arabidopsis thaliana)
Zmw_sc00131.1.g00260.1	MYB	MP00482	Zoysia matrella	DAP	PlantTFDB	transfer from AT5G02320(Arabidopsis thaliana)
Zmw_sc00154.1.g00490.1	HD-ZIP	MP00320	Zoysia matrella	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Zmw_sc00159.1.g00420.1	G2-like	MP00261	Zoysia matrella	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
Zmw_sc00166.1.g00480.1	TCP	MP00008	Zoysia matrella	PBM	PlantTFDB	transfer from 496250(Arabidopsis lyrata)
Zmw_sc00175.1.g00130.1	C2H2	MP00206	Zoysia matrella	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
Zmw_sc00175.1.g00360.1	MYB_related	MP00565	Zoysia matrella	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
Zmw_sc00179.1.g00320.1	WRKY	MP00531	Zoysia matrella	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
Zmw_sc00189.1.g00280.1	M-type_MADS	MP00553	Zoysia matrella	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
Zmw_sc00230.1.g00260.1	NAC	MP00364	Zoysia matrella	DAP	PlantTFDB	transfer from AT3G18400(Arabidopsis thaliana)
Zmw_sc00232.1.g00320.1	NAC	MP00058	Zoysia matrella	PBM	PlantTFDB	transfer from AT1G61110(Arabidopsis thaliana)
Zmw_sc00277.1.g00440.1	bZIP	MP00184	Zoysia matrella	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
Zmw_sc00310.1.g00150.1	TCP	MP00224	Zoysia matrella	DAP	PlantTFDB	transfer from AT1G69690(Arabidopsis thaliana)
Zmw_sc00320.1.g00380.1	bZIP	MP00409	Zoysia matrella	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
Zmw_sc00326.1.g00320.1	BBR-BPC	MP00540	Zoysia matrella	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Zmw_sc00343.1.g00100.1	WRKY	MP00070	Zoysia matrella	PBM	PlantTFDB	transfer from AT5G01900(Arabidopsis thaliana)
Zmw_sc00355.1.g00080.1	SBP	MP00090	Zoysia matrella	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
Zmw_sc00355.1.g00540.1	WOX	MP00265	Zoysia matrella	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
Zmw_sc00359.1.g00330.1	NAC	MP00518	Zoysia matrella	DAP	PlantTFDB	transfer from AT5G18270(Arabidopsis thaliana)
Zmw_sc00371.1.g00120.1	NAC	MP00439	Zoysia matrella	DAP	PlantTFDB	transfer from AT4G17980(Arabidopsis thaliana)
Zmw_sc00401.1.g00080.1	MYB_related	MP00573	Zoysia matrella	DAP	PlantTFDB	transfer from AT5G61620(Arabidopsis thaliana)
Zmw_sc00431.1.g00260.1	bZIP	MP00648	Zoysia matrella	PBM	PlantTFDB	transfer from LOC_Os05g36160(Oryza sativa subsp. japonica)
Zmw_sc00431.1.g00450.1	Dof	MP00405	Zoysia matrella	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
Zmw_sc00437.1.g00260.1	LBD	MP00314	Zoysia matrella	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
Zmw_sc00445.1.g00040.1	bZIP	MP00239	Zoysia matrella	DAP	PlantTFDB	transfer from AT1G75390(Arabidopsis thaliana)
Zmw_sc00445.1.g00320.1	NAC	MP00562	Zoysia matrella	DAP	PlantTFDB	transfer from AT5G53950(Arabidopsis thaliana)
Zmw_sc00452.1.g00090.1	ERF	MP00029	Zoysia matrella	PBM	PlantTFDB	transfer from AT5G43410(Arabidopsis thaliana)
Zmw_sc00458.1.g00170.1	bHLH	MP00081	Zoysia matrella	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
Zmw_sc00463.1.g00070.1	G2-like	MP00174	Zoysia matrella	DAP	PlantTFDB	transfer from AT1G32240(Arabidopsis thaliana)
Zmw_sc00463.1.g00170.1	MYB	MP00249	Zoysia matrella	DAP	PlantTFDB	transfer from AT1G79180(Arabidopsis thaliana)
Zmw_sc00487.1.g00330.1	MYB	MP00134	Zoysia matrella	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
Zmw_sc00491.1.g00290.1	WOX	MP00669	Zoysia matrella	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
Zmw_sc00508.1.g00150.1	Dof	MP00394	Zoysia matrella	DAP	PlantTFDB	transfer from AT3G47500(Arabidopsis thaliana)
Zmw_sc00548.1.g00420.1	bHLH	MP00660	Zoysia matrella	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
Zmw_sc00553.1.g00060.1	ZF-HD	MP00258	Zoysia matrella	DAP	PlantTFDB	transfer from AT2G02540(Arabidopsis thaliana)
Zmw_sc00554.1.g00090.1	ERF	MP00645	Zoysia matrella	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
Zmw_sc00563.1.g00390.1	WRKY	MP00525	Zoysia matrella	DAP	PlantTFDB	transfer from AT5G24110(Arabidopsis thaliana)
Zmw_sc00568.1.g00130.1	MYB	MP00274	Zoysia matrella	DAP	PlantTFDB	transfer from AT2G23290(Arabidopsis thaliana)
Zmw_sc00569.1.g00380.1	BES1	MP00543	Zoysia matrella	DAP	PlantTFDB	transfer from AT5G45300(Arabidopsis thaliana)
Zmw_sc00596.1.g00170.1	HSF	MP00371	Zoysia matrella	DAP	PlantTFDB	transfer from AT3G22830(Arabidopsis thaliana)
Zmw_sc00603.1.g00130.1	MYB_related	MP00607	Zoysia matrella	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
Zmw_sc00604.1.g00130.1	E2F/DP	MP00190	Zoysia matrella	DAP	PlantTFDB	transfer from AT1G47870(Arabidopsis thaliana)
Zmw_sc00607.1.g00060.1	RAV	MP00025	Zoysia matrella	PBM	PlantTFDB	transfer from AT1G68840(Arabidopsis thaliana)
Zmw_sc00638.1.g00350.1	ERF	MP00026	Zoysia matrella	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Zmw_sc00641.1.g00070.1	MIKC_MADS	MP00315	Zoysia matrella	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Zmw_sc00646.1.g00100.1	NAC	MP00460	Zoysia matrella	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
Zmw_sc00646.1.g00240.1	MYB_related	MP00551	Zoysia matrella	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
Zmw_sc00670.1.g00030.1	HD-ZIP	MP00320	Zoysia matrella	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Zmw_sc00675.1.g00330.1	MYB	MP00216	Zoysia matrella	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
Zmw_sc00711.1.g00180.1	GATA	MP00530	Zoysia matrella	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
Zmw_sc00717.1.g00310.1	MYB	MP00222	Zoysia matrella	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
Zmw_sc00722.1.g00320.1	WRKY	MP00168	Zoysia matrella	DAP	PlantTFDB	transfer from AT1G29860(Arabidopsis thaliana)
Zmw_sc00723.1.g00220.1	WOX	MP00330	Zoysia matrella	DAP	PlantTFDB	transfer from AT3G03660(Arabidopsis thaliana)
Zmw_sc00742.1.g00270.1	ERF	MP00674	Zoysia matrella	SELEX	PlantTFDB	transfer from GRMZM2G093595(Zea mays)
