TF_ID	Gene_ID	Family
Traes_3B_90BE2090B.1	Traes_3B_90BE2090B	RAV
TRAES3BF062600010CFD_t1	TRAES3BF062600010CFD_g	RAV
TRAES3BF098300010CFD_t1	TRAES3BF098300010CFD_g	RAV
Traes_3B_DF7E92499.1	Traes_3B_DF7E92499	RAV
Traes_3B_DF7E924991.1	Traes_3B_DF7E924991	RAV
TRAES3BF098200010CFD_t1	TRAES3BF098200010CFD_g	RAV
TRAES3BF108500010CFD_t1	TRAES3BF108500010CFD_g	RAV
TRAES3BF062700040CFD_t1	TRAES3BF062700040CFD_g	RAV
Traes_1AL_00A8A2030.2	Traes_1AL_00A8A2030	bZIP
Traes_1AL_0404BC790.1	Traes_1AL_0404BC790	WRKY
Traes_1AL_0B583488F.1	Traes_1AL_0B583488F	ZF-HD
Traes_1AL_1751C4BBF.2	Traes_1AL_1751C4BBF	FAR1
Traes_1AL_179FC28F2.1	Traes_1AL_179FC28F2	NAC
Traes_1AL_180B9CF01.1	Traes_1AL_180B9CF01	WRKY
Traes_1AL_1FFBFB058.1	Traes_1AL_1FFBFB058	bZIP
Traes_1AL_2AC682D6D.1	Traes_1AL_2AC682D6D	bZIP
Traes_1AL_2CAAB9D4A.1	Traes_1AL_2CAAB9D4A	Dof
Traes_1AL_309623B48.1	Traes_1AL_309623B48	WRKY
Traes_1AL_323AE5FA3.4	Traes_1AL_323AE5FA3	NF-YC
Traes_1AL_3493FCCBE.1	Traes_1AL_3493FCCBE	Trihelix
Traes_1AL_3B659AABA.1	Traes_1AL_3B659AABA	bZIP
Traes_1AL_4B89B33E3.1	Traes_1AL_4B89B33E3	LBD
Traes_1AL_4E924201A.1	Traes_1AL_4E924201A	WRKY
Traes_1AL_6EE3AB1BA.1	Traes_1AL_6EE3AB1BA	FAR1
Traes_1AL_79B8C6F15.1	Traes_1AL_79B8C6F15	TCP
Traes_1AL_7D8C62AA4.1	Traes_1AL_7D8C62AA4	YABBY
Traes_1AL_81A6723C9.1	Traes_1AL_81A6723C9	bHLH
Traes_1AL_8BC434C02.2	Traes_1AL_8BC434C02	STAT
Traes_1AL_8BC67B52F.1	Traes_1AL_8BC67B52F	NF-YB
Traes_1AL_914726769.1	Traes_1AL_914726769	bHLH
Traes_1AL_95111FAAC.2	Traes_1AL_95111FAAC	NF-YB
Traes_1AL_9ADA7A031.1	Traes_1AL_9ADA7A031	WRKY
Traes_1AL_A1EA76E83.2	Traes_1AL_A1EA76E83	GATA
Traes_1AL_A3B85CAE6.1	Traes_1AL_A3B85CAE6	CPP
Traes_1AL_A4B5C1474.2	Traes_1AL_A4B5C1474	HSF
Traes_1AL_B24F28600.1	Traes_1AL_B24F28600	WRKY
Traes_1AL_BFDD733CB.2	Traes_1AL_BFDD733CB	FAR1
Traes_1AL_C4FA8404A.2	Traes_1AL_C4FA8404A	NAC
Traes_1AL_C527C8688.1	Traes_1AL_C527C8688	NF-YC
Traes_1AL_C76BCC7EC.1	Traes_1AL_C76BCC7EC	NAC
Traes_1AL_C921492AA.1	Traes_1AL_C921492AA	SBP
Traes_1AL_D6C49C3BC.2	Traes_1AL_D6C49C3BC	NAC
Traes_1AL_DB7593004.2	Traes_1AL_DB7593004	LBD
Traes_1AL_DD7FB8E96.1	Traes_1AL_DD7FB8E96	FAR1
Traes_1AL_E33C6D5CE.1	Traes_1AL_E33C6D5CE	GATA
Traes_1AL_ED83D13D4.2	Traes_1AL_ED83D13D4	Trihelix
Traes_1AL_F16BCEC90.2	Traes_1AL_F16BCEC90	CPP
Traes_1AL_F18EC96DF.1	Traes_1AL_F18EC96DF	bZIP
Traes_1AL_F64E07A92.1	Traes_1AL_F64E07A92	WRKY
Traes_1AL_F8054064A.1	Traes_1AL_F8054064A	FAR1
Traes_1AL_FB0C83DD9.1	Traes_1AL_FB0C83DD9	GRAS
Traes_1AL_FFCC35B9C.1	Traes_1AL_FFCC35B9C	VOZ
Traes_1AS_1104A122D.1	Traes_1AS_1104A122D	GRAS
Traes_1AS_1432A2F79.1	Traes_1AS_1432A2F79	WRKY
Traes_1AS_1751C4BBF.2	Traes_1AS_1751C4BBF	FAR1
Traes_1AS_26CB95294.1	Traes_1AS_26CB95294	LBD
Traes_1AS_412B31FC1.1	Traes_1AS_412B31FC1	bZIP
Traes_1AS_43FB6A3CF.1	Traes_1AS_43FB6A3CF	LBD
Traes_1AS_4DA31F550.2	Traes_1AS_4DA31F550	bHLH
Traes_1AS_59001495A.1	Traes_1AS_59001495A	YABBY
Traes_1AS_94B6230FB1.1	Traes_1AS_94B6230FB1	bZIP
Traes_1AS_96F0745A2.1	Traes_1AS_96F0745A2	bHLH
Traes_1AS_97CE311BA.2	Traes_1AS_97CE311BA	GATA
Traes_1AS_B348717F1.1	Traes_1AS_B348717F1	Dof
Traes_1AS_C7D489C03.1	Traes_1AS_C7D489C03	FAR1
Traes_1AS_D3AEB9F29.1	Traes_1AS_D3AEB9F29	GRAS
Traes_1AS_D967CFB69.2	Traes_1AS_D967CFB69	GRAS
Traes_1AS_F08B3720F.2	Traes_1AS_F08B3720F	FAR1
Traes_1AS_F3E49A47C.1	Traes_1AS_F3E49A47C	GRAS
Traes_1AS_F3EAEC435.1	Traes_1AS_F3EAEC435	WRKY
Traes_1BL_04EFBAECF.2	Traes_1BL_04EFBAECF	LBD
Traes_1BL_0DFC787A9.1	Traes_1BL_0DFC787A9	Dof
Traes_1BL_0F9F21D68.1	Traes_1BL_0F9F21D68	NAC
Traes_1BL_1A885E733.1	Traes_1BL_1A885E733	bZIP
Traes_1BL_1D865A8CC.1	Traes_1BL_1D865A8CC	WRKY
Traes_1BL_1E9F7A4EF.1	Traes_1BL_1E9F7A4EF	YABBY
Traes_1BL_46340D685.1	Traes_1BL_46340D685	WRKY
Traes_1BL_5C07BE2D0.1	Traes_1BL_5C07BE2D0	Trihelix
Traes_1BL_67DE12110.1	Traes_1BL_67DE12110	VOZ
Traes_1BL_687A47E82.2	Traes_1BL_687A47E82	STAT
