Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
0100010379	bZIP	MP00117	Ostreococcus tauri	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
0100010458	ERF	MP00109	Ostreococcus tauri	PBM	PlantTFDB	transfer from AT3G16770(Arabidopsis thaliana)
0300010311	bZIP	MP00291	Ostreococcus tauri	DAP	PlantTFDB	transfer from AT2G35530(Arabidopsis thaliana)
0400010301	Dof	MP00394	Ostreococcus tauri	DAP	PlantTFDB	transfer from AT3G47500(Arabidopsis thaliana)
0600010132	MYB_related	MP00551	Ostreococcus tauri	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
0800010288	E2F/DP	MP00397	Ostreococcus tauri	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
0800010292	C2H2	MP00229	Ostreococcus tauri	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
e_gw1.03.00.529.1	AP2	MP00088	Ostreococcus tauri	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
e_gw1.04.00.501.1	MYB_related	MP00625	Ostreococcus tauri	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
e_gw1.05.00.32.1	MYB	MP00028	Ostreococcus tauri	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
e_gw1.09.00.361.1	MYB	MP00505	Ostreococcus tauri	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
e_gw1.13.00.306.1	MYB	MP00337	Ostreococcus tauri	DAP	PlantTFDB	transfer from AT3G09230(Arabidopsis thaliana)
e_gw1.20.00.75.1	HSF	MP00575	Ostreococcus tauri	DAP	PlantTFDB	transfer from AT5G62020(Arabidopsis thaliana)
estExt_fgenesh1_pg.C_Chr_07.00010219	GATA	MP00530	Ostreococcus tauri	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
estExt_fgenesh1_pg.C_Chr_13.00010057	MYB_related	MP00652	Ostreococcus tauri	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
estExt_fgenesh1_pg.C_Chr_16.00010090	ARR-B	MP00054	Ostreococcus tauri	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
estExt_genewise1.C_Chr_06.00010302	MYB_related	MP00515	Ostreococcus tauri	DAP	PlantTFDB	transfer from AT5G17300(Arabidopsis thaliana)
estExt_gwp_GeneWisePlus.C_Chr_02.00010270	E2F/DP	MP00190	Ostreococcus tauri	DAP	PlantTFDB	transfer from AT1G47870(Arabidopsis thaliana)
fgenesh1_pg.C_Chr_09.0001000301	CPP	MP00624	Ostreococcus tauri	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
gw1.10.00.387.1	MYB	MP00442	Ostreococcus tauri	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
gw1.20.00.89.1	CPP	MP00269	Ostreococcus tauri	DAP	PlantTFDB	transfer from AT2G20110(Arabidopsis thaliana)

