Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Thhalv10000026m.g	CAMTA	MP00042	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT2G22300(Arabidopsis thaliana)
Thhalv10000129m.g	bZIP	MP00037	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT2G21230(Arabidopsis thaliana)
Thhalv10000220m.g	bHLH	MP00659	Eutrema salsugineum	PBM	PlantTFDB	transfer from Pp3c14_15890(Physcomitrella patens)
Thhalv10000242m.g	WRKY	MP00278	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G24570(Arabidopsis thaliana)
Thhalv10000259m.g	HD-ZIP	MP00271	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G22430(Arabidopsis thaliana)
Thhalv10000270m.g	WRKY	MP00275	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G23320(Arabidopsis thaliana)
Thhalv10000288m.g	WRKY	MP00068	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT2G25000(Arabidopsis thaliana)
Thhalv10000308m.g	MIKC_MADS	MP00272	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G22540(Arabidopsis thaliana)
Thhalv10000331m.g	WRKY	MP00270	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G21900(Arabidopsis thaliana)
Thhalv10000354m.g	ERF	MP00276	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G23340(Arabidopsis thaliana)
Thhalv10000426m.g	bHLH	MP00273	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G22750(Arabidopsis thaliana)
Thhalv10000438m.g	MYB	MP00632	Eutrema salsugineum	PBM	PlantTFDB	transfer from PK28565.1(Cannabis sativa)
Thhalv10000520m.g	NAC	MP00277	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
Thhalv10000808m.g	bHLH	MP00085	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT5G46760(Arabidopsis thaliana)
Thhalv10000853m.g	bHLH	MP00547	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G46830(Arabidopsis thaliana)
Thhalv10000907m.g	Trihelix	MP00552	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G47660(Arabidopsis thaliana)
Thhalv10000931m.g	ERF	MP00549	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G47230(Arabidopsis thaliana)
Thhalv10000932m.g	MYB_related	MP00551	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
Thhalv10000981m.g	G2-like	MP00252	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
Thhalv10000990m.g	HD-ZIP	MP00550	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G47370(Arabidopsis thaliana)
Thhalv10001003m.g	ERF	MP00548	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G47220(Arabidopsis thaliana)
Thhalv10001175m.g	G2-like	MP00544	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
Thhalv10001200m.g	NAC	MP00546	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G46590(Arabidopsis thaliana)
Thhalv10001222m.g	BES1	MP00543	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G45300(Arabidopsis thaliana)
Thhalv10001240m.g	WRKY	MP00545	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G46350(Arabidopsis thaliana)
Thhalv10001295m.g	SBP	MP00603	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT2G47070(Arabidopsis thaliana)
Thhalv10001374m.g	bHLH	MP00101	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT2G46510(Arabidopsis thaliana)
Thhalv10001503m.g	Dof	MP00319	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G46590(Arabidopsis thaliana)
Thhalv10001506m.g	NAC	MP00321	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G46770(Arabidopsis thaliana)
Thhalv10001528m.g	TCP	MP00316	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G45680(Arabidopsis thaliana)
Thhalv10001533m.g	bZIP	MP00318	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Thhalv10001568m.g	WRKY	MP00112	Eutrema salsugineum	ampDAP	PlantTFDB	transfer from AT2G46400(Arabidopsis thaliana)
Thhalv10001597m.g	MIKC_MADS	MP00315	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Thhalv10001600m.g	HD-ZIP	MP00320	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Thhalv10001617m.g	YABBY	MP00620	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
Thhalv10001624m.g	WRKY	MP00618	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
Thhalv10001632m.g	MIKC_MADS	MP00076	Eutrema salsugineum	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
Thhalv10001738m.g	WRKY	MP00317	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G46130(Arabidopsis thaliana)
Thhalv10001758m.g	ERF	MP00311	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G44840(Arabidopsis thaliana)
Thhalv10001778m.g	LBD	MP00313	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G45410(Arabidopsis thaliana)
Thhalv10001791m.g	LBD	MP00314	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
Thhalv10001792m.g	ERF	MP00312	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G44940(Arabidopsis thaliana)
Thhalv10001802m.g	WRKY	MP00069	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
Thhalv10001820m.g	MYB	MP00180	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT1G34670(Arabidopsis thaliana)
Thhalv10001860m.g	TCP	MP00614	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT1G35560(Arabidopsis thaliana)
Thhalv10001964m.g	CPP	MP00269	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G20110(Arabidopsis thaliana)
Thhalv10001974m.g	bHLH	MP00074	Eutrema salsugineum	ChIP-chip	PlantTFDB	transfer from AT2G20180(Arabidopsis thaliana)
Thhalv10001986m.g	G2-like	MP00022	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
Thhalv10002005m.g	G2-like	MP00111	Eutrema salsugineum	ampDAP	PlantTFDB	transfer from AT2G20400(Arabidopsis thaliana)
Thhalv10002011m.g	MYB	MP00279	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G26960(Arabidopsis thaliana)
Thhalv10002027m.g	NAC	MP00280	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G27300(Arabidopsis thaliana)
Thhalv10002517m.g	WRKY	MP00094	Eutrema salsugineum	SELEX	PlantTFDB	transfer from AT2G04880(Arabidopsis thaliana)
Thhalv10002586m.g	bHLH	MP00376	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G23690(Arabidopsis thaliana)
Thhalv10002605m.g	G2-like	MP00014	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
Thhalv10002609m.g	GATA	MP00377	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G24050(Arabidopsis thaliana)
Thhalv10002625m.g	G2-like	MP00378	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G24120(Arabidopsis thaliana)
Thhalv10002643m.g	GRF	MP00263	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G06200(Arabidopsis thaliana)
Thhalv10002651m.g	Dof	MP00392	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G45610(Arabidopsis thaliana)
Thhalv10002799m.g	GATA	MP00391	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G45170(Arabidopsis thaliana)
Thhalv10002872m.g	HSF	MP00379	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
Thhalv10002961m.g	TCP	MP00390	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G45150(Arabidopsis thaliana)
Thhalv10003110m.g	B3	MP00083	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
Thhalv10003256m.g	G2-like	MP00107	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
Thhalv10003365m.g	HSF	MP00541	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G43840(Arabidopsis thaliana)
Thhalv10003431m.g	ERF	MP00542	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G44210(Arabidopsis thaliana)
Thhalv10003485m.g	ERF	MP00182	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT1G36060(Arabidopsis thaliana)
Thhalv10003564m.g	CAMTA	MP00043	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
Thhalv10003641m.g	ARF	MP00574	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
Thhalv10003841m.g	Trihelix	MP00011	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT5G28300(Arabidopsis thaliana)
Thhalv10003848m.g	C2H2	MP00255	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G02070(Arabidopsis thaliana)
Thhalv10004015m.g	WRKY	MP00260	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G03340(Arabidopsis thaliana)
Thhalv10004022m.g	C2H2	MP00256	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G02080(Arabidopsis thaliana)
Thhalv10004031m.g	bHLH	MP00036	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT5G48560(Arabidopsis thaliana)
Thhalv10004063m.g	C2H2	MP00592	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
Thhalv10004109m.g	MYB	MP00259	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G02820(Arabidopsis thaliana)
Thhalv10004204m.g	C3H	MP00582	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G63260(Arabidopsis thaliana)
Thhalv10004221m.g	C2H2	MP00254	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
Thhalv10004257m.g	G2-like	MP00261	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
Thhalv10004330m.g	NAC	MP00257	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
Thhalv10004333m.g	ERF	MP00584	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G64750(Arabidopsis thaliana)
Thhalv10004351m.g	G2-like	MP00532	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G29000(Arabidopsis thaliana)
Thhalv10004359m.g	Trihelix	MP00380	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G25990(Arabidopsis thaliana)
Thhalv10004391m.g	TCP	MP00005	Eutrema salsugineum	PBM	PlantTFDB	transfer from 484486(Arabidopsis lyrata)
Thhalv10004402m.g	ARR-B	MP00098	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT2G01760(Arabidopsis thaliana)
Thhalv10004438m.g	bZIP	MP00586	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G65210(Arabidopsis thaliana)
Thhalv10004440m.g	TCP	MP00065	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT5G60970(Arabidopsis thaliana)
Thhalv10004458m.g	bHLH	MP00571	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G61270(Arabidopsis thaliana)
Thhalv10004487m.g	MYB	MP00579	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G62470(Arabidopsis thaliana)
Thhalv10004488m.g	NAC	MP00578	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G62380(Arabidopsis thaliana)
Thhalv10004501m.g	NAC	MP00583	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G64060(Arabidopsis thaliana)
Thhalv10004508m.g	RAV	MP00031	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT3G25730(Arabidopsis thaliana)
Thhalv10004518m.g	MYB	MP00598	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT5G49330(Arabidopsis thaliana)
Thhalv10004538m.g	MYB	MP00386	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G28910(Arabidopsis thaliana)
Thhalv10004553m.g	GATA	MP00530	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
Thhalv10004599m.g	ZF-HD	MP00387	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G28920(Arabidopsis thaliana)
Thhalv10004611m.g	bZIP	MP00040	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
Thhalv10004616m.g	WRKY	MP00525	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G24110(Arabidopsis thaliana)
Thhalv10004635m.g	bZIP	MP00019	Eutrema salsugineum	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
Thhalv10004643m.g	ZF-HD	MP00258	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G02540(Arabidopsis thaliana)
Thhalv10004645m.g	HD-ZIP	MP00587	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G65310(Arabidopsis thaliana)
Thhalv10004676m.g	MYB	MP00596	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G67300(Arabidopsis thaliana)
Thhalv10004682m.g	Dof	MP00570	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G60850(Arabidopsis thaliana)
Thhalv10004690m.g	HSF	MP00575	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G62020(Arabidopsis thaliana)
Thhalv10004691m.g	MYB_related	MP00597	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G67580(Arabidopsis thaliana)
Thhalv10004767m.g	MIKC_MADS	MP00030	Eutrema salsugineum	SELEX	PlantTFDB	transfer from AT2G03710(Arabidopsis thaliana)
Thhalv10004796m.g	TCP	MP00524	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
Thhalv10004839m.g	C2H2	MP00118	Eutrema salsugineum	ampDAP	PlantTFDB	transfer from AT5G67450(Arabidopsis thaliana)
Thhalv10004868m.g	MYB	MP00577	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G62320(Arabidopsis thaliana)
Thhalv10004870m.g	ERF	MP00529	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G25810(Arabidopsis thaliana)
Thhalv10004954m.g	MIKC_MADS	MP00576	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G62165(Arabidopsis thaliana)
Thhalv10004973m.g	ERF	MP00526	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G25190(Arabidopsis thaliana)
Thhalv10004979m.g	LBD	MP00581	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
Thhalv10004985m.g	ERF	MP00595	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G67190(Arabidopsis thaliana)
Thhalv10005000m.g	bZIP	MP00262	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT2G04038(Arabidopsis thaliana)
Thhalv10005029m.g	WRKY	MP00531	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
Thhalv10005103m.g	GATA	MP00554	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G49300(Arabidopsis thaliana)
Thhalv10005259m.g	MYB_related	MP00573	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G61620(Arabidopsis thaliana)
Thhalv10005326m.g	ERF	MP00585	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G65130(Arabidopsis thaliana)
Thhalv10005370m.g	MYB	MP00388	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G30210(Arabidopsis thaliana)
Thhalv10005380m.g	NAC	MP00590	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G66300(Arabidopsis thaliana)
Thhalv10005423m.g	bZIP	MP00389	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
Thhalv10005481m.g	B3	MP00382	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
Thhalv10005482m.g	GRAS	MP00611	Eutrema salsugineum	ChIP-seq	PlantTFDB	transfer from AT2G01570(Arabidopsis thaliana)
Thhalv10005514m.g	ERF	MP00527	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G25390(Arabidopsis thaliana)
Thhalv10005529m.g	AP2	MP00589	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G65510(Arabidopsis thaliana)
Thhalv10005564m.g	MYB	MP00385	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G27785(Arabidopsis thaliana)
Thhalv10005566m.g	ERF	MP00572	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G61600(Arabidopsis thaliana)
Thhalv10005568m.g	ZF-HD	MP00588	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G65410(Arabidopsis thaliana)
Thhalv10005606m.g	LFY	MP00095	Eutrema salsugineum	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
Thhalv10005612m.g	HD-ZIP	MP00591	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G66700(Arabidopsis thaliana)
Thhalv10005662m.g	Dof	MP00580	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
Thhalv10005685m.g	Dof	MP00593	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G66940(Arabidopsis thaliana)
Thhalv10005786m.g	HD-ZIP	MP00418	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G61150(Arabidopsis thaliana)
Thhalv10005929m.g	bHLH	MP00082	Eutrema salsugineum	ChIP-seq	PlantTFDB	transfer from AT3G59060(Arabidopsis thaliana)
Thhalv10006058m.g	SBP	MP00412	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G57920(Arabidopsis thaliana)
Thhalv10006075m.g	BBR-BPC	MP00540	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Thhalv10006080m.g	MYB	MP00627	Eutrema salsugineum	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
Thhalv10006105m.g	Trihelix	MP00413	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G58630(Arabidopsis thaliana)
Thhalv10006121m.g	bZIP	MP00409	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
Thhalv10006126m.g	MYB	MP00114	Eutrema salsugineum	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
Thhalv10006146m.g	WRKY	MP00408	Eutrema salsugineum	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
Thhalv10006196m.g	MIKC_MADS	MP00093	Eutrema salsugineum	SELEX	PlantTFDB	transfer from AT3G58780(Arabidopsis thaliana)
