Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Sme2.5_00002.1_g00022.1	LBD	MP00211	Solanum melongena	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
Sme2.5_00003.1_g00017.1	ARF	MP00153	Solanum melongena	DAP	PlantTFDB	transfer from AT1G19850(Arabidopsis thaliana)
Sme2.5_00003.1_g00023.1	BBR-BPC	MP00540	Solanum melongena	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Sme2.5_00003.1_g00037.1	MIKC_MADS	MP00077	Solanum melongena	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
Sme2.5_00003.1_g00046.1	ERF	MP00240	Solanum melongena	DAP	PlantTFDB	transfer from AT1G75490(Arabidopsis thaliana)
Sme2.5_00009.1_g00032.1	ERF	MP00027	Solanum melongena	PBM	PlantTFDB	transfer from AT4G23750(Arabidopsis thaliana)
Sme2.5_00014.1_g00019.1	bHLH	MP00099	Solanum melongena	PBM	PlantTFDB	transfer from AT4G16430(Arabidopsis thaliana)
Sme2.5_00014.1_g00024.1	LBD	MP00309	Solanum melongena	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
Sme2.5_00015.1_g00011.1	WOX	MP00265	Solanum melongena	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
Sme2.5_00018.1_g00009.1	ERF	MP00526	Solanum melongena	DAP	PlantTFDB	transfer from AT5G25190(Arabidopsis thaliana)
Sme2.5_00019.1_g00019.1	AP2	MP00615	Solanum melongena	PBM	PlantTFDB	transfer from AT2G28550(Arabidopsis thaliana)
Sme2.5_00029.1_g00003.1	bHLH	MP00035	Solanum melongena	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
Sme2.5_00029.1_g00016.1	ERF	MP00595	Solanum melongena	DAP	PlantTFDB	transfer from AT5G67190(Arabidopsis thaliana)
Sme2.5_00029.1_g00032.1	MYB	MP00476	Solanum melongena	DAP	PlantTFDB	transfer from AT4G37260(Arabidopsis thaliana)
Sme2.5_00033.1_g00010.1	BES1	MP00237	Solanum melongena	DAP	PlantTFDB	transfer from AT1G75080(Arabidopsis thaliana)
Sme2.5_00033.1_g00028.1	WOX	MP00669	Solanum melongena	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
Sme2.5_00037.1_g00008.1	MYB	MP00388	Solanum melongena	DAP	PlantTFDB	transfer from AT3G30210(Arabidopsis thaliana)
Sme2.5_00037.1_g00027.1	TCP	MP00326	Solanum melongena	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
Sme2.5_00038.1_g00016.1	WRKY	MP00450	Solanum melongena	DAP	PlantTFDB	transfer from AT4G24240(Arabidopsis thaliana)
Sme2.5_00039.1_g00006.1	TALE	MP00675	Solanum melongena	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
Sme2.5_00062.1_g00018.1	MYB_related	MP00607	Solanum melongena	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
Sme2.5_00072.1_g00009.1	ERF	MP00411	Solanum melongena	DAP	PlantTFDB	transfer from AT3G57600(Arabidopsis thaliana)
Sme2.5_00076.1_g00002.1	NAC	MP00280	Solanum melongena	DAP	PlantTFDB	transfer from AT2G27300(Arabidopsis thaliana)
Sme2.5_00085.1_g00027.1	C2H2	MP00229	Solanum melongena	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
Sme2.5_00086.1_g00004.1	ERF	MP00026	Solanum melongena	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Sme2.5_00088.1_g00005.1	C2H2	MP00254	Solanum melongena	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
Sme2.5_00097.1_g00008.1	MYB	MP00132	Solanum melongena	DAP	PlantTFDB	transfer from AT1G08810(Arabidopsis thaliana)
Sme2.5_00097.1_g00020.1	bZIP	MP00409	Solanum melongena	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
Sme2.5_00098.1_g00004.1	MYB	MP00513	Solanum melongena	DAP	PlantTFDB	transfer from AT5G16600(Arabidopsis thaliana)
Sme2.5_00099.1_g00004.1	C2H2	MP00592	Solanum melongena	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
Sme2.5_00110.1_g00005.1	MYB_related	MP00236	Solanum melongena	DAP	PlantTFDB	transfer from AT1G74840(Arabidopsis thaliana)
Sme2.5_00110.1_g00016.1	E2F/DP	MP00397	Solanum melongena	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
Sme2.5_00116.1_g00009.1	NAC	MP00017	Solanum melongena	PBM	PlantTFDB	transfer from AT1G71930(Arabidopsis thaliana)
Sme2.5_00125.1_g00013.1	LFY	MP00095	Solanum melongena	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
Sme2.5_00126.1_g00006.1	ARR-B	MP00010	Solanum melongena	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
Sme2.5_00128.1_g00007.1	MYB	MP00287	Solanum melongena	DAP	PlantTFDB	transfer from AT2G32460(Arabidopsis thaliana)
Sme2.5_00142.1_g00013.1	NAC	MP00612	Solanum melongena	ChIP-seq	PlantTFDB	transfer from AT3G10490(Arabidopsis thaliana)
Sme2.5_00146.1_g00017.1	Dof	MP00407	Solanum melongena	DAP	PlantTFDB	transfer from AT3G55370(Arabidopsis thaliana)
Sme2.5_00155.1_g00001.1	MYB	MP00216	Solanum melongena	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
Sme2.5_00159.1_g00006.1	HSF	MP00305	Solanum melongena	DAP	PlantTFDB	transfer from AT2G41690(Arabidopsis thaliana)
Sme2.5_00161.1_g00001.1	Dof	MP00046	Solanum melongena	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
Sme2.5_00162.1_g00003.1	Trihelix	MP00340	Solanum melongena	DAP	PlantTFDB	transfer from AT3G10030(Arabidopsis thaliana)
