Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
PK00080.1	E2F/DP	MP00397	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
PK00254.1	Dof	MP00295	Cannabis sativa	DAP	PlantTFDB	transfer from AT2G37590(Arabidopsis thaliana)
PK00315.1	bZIP	MP00303	Cannabis sativa	DAP	PlantTFDB	transfer from AT2G40620(Arabidopsis thaliana)
PK00339.1	NAC	MP00439	Cannabis sativa	DAP	PlantTFDB	transfer from AT4G17980(Arabidopsis thaliana)
PK00408.1	WRKY	MP00071	Cannabis sativa	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
PK00408.2	WRKY	MP00071	Cannabis sativa	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
PK00568.1	MYB_related	MP00652	Cannabis sativa	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
PK00738.1	MYB_related	MP00551	Cannabis sativa	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
PK00778.1	C2H2	MP00206	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
PK00939.1	bHLH	MP00099	Cannabis sativa	PBM	PlantTFDB	transfer from AT4G16430(Arabidopsis thaliana)
PK01025.1	MIKC_MADS	MP00093	Cannabis sativa	SELEX	PlantTFDB	transfer from AT3G58780(Arabidopsis thaliana)
PK01104.1	NAC	MP00537	Cannabis sativa	DAP	PlantTFDB	transfer from AT5G39820(Arabidopsis thaliana)
PK01239.1	EIL	MP00367	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
PK01265.1	AP2	MP00504	Cannabis sativa	DAP	PlantTFDB	transfer from AT5G10510(Arabidopsis thaliana)
PK01364.1	bHLH	MP00219	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
PK01565.1	ZF-HD	MP00238	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G75240(Arabidopsis thaliana)
PK01704.1	MYB	MP00028	Cannabis sativa	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
PK01823.1	G2-like	MP00354	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G13040(Arabidopsis thaliana)
PK02169.1	bZIP	MP00186	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G45249(Arabidopsis thaliana)
PK02322.1	C2H2	MP00592	Cannabis sativa	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
PK02366.1	NAC	MP00277	Cannabis sativa	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
PK02366.4	NAC	MP00518	Cannabis sativa	DAP	PlantTFDB	transfer from AT5G18270(Arabidopsis thaliana)
PK02532.1	MYB_related	MP00625	Cannabis sativa	PBM	PMID:25215497	M1303_1.02
PK02936.2	G2-like	MP00544	Cannabis sativa	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
PK03176.1	MYB	MP00134	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
PK03341.1	NAC	MP00363	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G17730(Arabidopsis thaliana)
PK03443.1	BBR-BPC	MP00540	Cannabis sativa	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
PK03779.1	bZIP	MP00419	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
PK03912.1	HD-ZIP	MP00320	Cannabis sativa	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
PK04004.1	CAMTA	MP00043	Cannabis sativa	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
PK04210.1	GATA	MP00451	Cannabis sativa	DAP	PlantTFDB	transfer from AT4G24470(Arabidopsis thaliana)
PK04475.1	WRKY	MP00440	Cannabis sativa	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
PK04639.1	FAR1	MP00434	Cannabis sativa	DAP	PlantTFDB	transfer from AT4G15090(Arabidopsis thaliana)
PK04832.1	HSF	MP00575	Cannabis sativa	DAP	PlantTFDB	transfer from AT5G62020(Arabidopsis thaliana)
PK04914.1	Trihelix	MP00340	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G10030(Arabidopsis thaliana)
PK04961.1	NAC	MP00321	Cannabis sativa	DAP	PlantTFDB	transfer from AT2G46770(Arabidopsis thaliana)
PK05128.1	bZIP	MP00040	Cannabis sativa	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
PK05260.1	HD-ZIP	MP00225	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G69780(Arabidopsis thaliana)
PK05290.1	G2-like	MP00014	Cannabis sativa	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
PK05432.1	WRKY	MP00260	Cannabis sativa	DAP	PlantTFDB	transfer from AT2G03340(Arabidopsis thaliana)
PK05451.1	bHLH	MP00081	Cannabis sativa	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
PK05741.1	MYB	MP00089	Cannabis sativa	SELEX	PlantTFDB	transfer from AT3G49690(Arabidopsis thaliana)
PK05754.1	MYB	MP00114	Cannabis sativa	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
PK05760.1	MYB	MP00213	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G66370(Arabidopsis thaliana)
PK05853.1	HD-ZIP	MP00323	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
PK05989.1	bZIP	MP00019	Cannabis sativa	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
PK06103.1	MYB_related	MP00626	Cannabis sativa	PBM	PMID:25215497	M1304_1.02
PK06182.1	MYB	MP00627	Cannabis sativa	PBM	PMID:25215497	M1305_1.02
PK06287.1	NAC	MP00333	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G04070(Arabidopsis thaliana)
PK06301.1	bHLH	MP00181	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G35460(Arabidopsis thaliana)
PK06477.1	NAC	MP00612	Cannabis sativa	ChIP-seq	PlantTFDB	transfer from AT3G10490(Arabidopsis thaliana)
PK06515.1	MYB_related	MP00338	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G09600(Arabidopsis thaliana)
PK06779.3	MYB	MP00386	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G28910(Arabidopsis thaliana)
PK06791.1	SBP	MP00633	Cannabis sativa	PBM	PMID:25215497	M1559_1.02
PK06970.1	bHLH	MP00074	Cannabis sativa	ChIP-chip	PlantTFDB	transfer from AT2G20180(Arabidopsis thaliana)
PK07042.1	NAC	MP00280	Cannabis sativa	DAP	PlantTFDB	transfer from AT2G27300(Arabidopsis thaliana)
PK07078.1	BES1	MP00248	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
PK07315.1	GATA	MP00047	Cannabis sativa	PBM	PlantTFDB	transfer from AT1G08000(Arabidopsis thaliana)
PK07387.1	bZIP	MP00131	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
PK07402.1	ERF	MP00302	Cannabis sativa	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
PK07533.1	bZIP	MP00239	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G75390(Arabidopsis thaliana)
PK07568.1	HD-ZIP	MP00200	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G52150(Arabidopsis thaliana)
PK07646.1	WRKY	MP00506	Cannabis sativa	DAP	PlantTFDB	transfer from AT5G13080(Arabidopsis thaliana)
PK07706.2	WRKY	MP00209	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
PK07740.3	C3H	MP00113	Cannabis sativa	ampDAP	PlantTFDB	transfer from AT3G12130(Arabidopsis thaliana)
PK07795.1	C2H2	MP00125	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
PK07857.1	MYB	MP00132	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G08810(Arabidopsis thaliana)
PK07880.1	WOX	MP00617	Cannabis sativa	PBM	PlantTFDB	transfer from AT4G35550(Arabidopsis thaliana)
PK07924.1	ARR-B	MP00010	Cannabis sativa	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
PK07926.1	MYB_related	MP00052	Cannabis sativa	PBM	PlantTFDB	transfer from AT1G15720(Arabidopsis thaliana)
PK07976.2	NAC	MP00017	Cannabis sativa	PBM	PlantTFDB	transfer from AT1G71930(Arabidopsis thaliana)
PK08038.1	MYB	MP00375	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
PK08294.1	C3H	MP00383	Cannabis sativa	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
PK08316.1	MYB_related	MP00146	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G18330(Arabidopsis thaliana)
PK08451.1	WRKY	MP00251	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G80840(Arabidopsis thaliana)
PK08504.1	HD-ZIP	MP00421	Cannabis sativa	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
PK08595.1	MIKC_MADS	MP00508	Cannabis sativa	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
PK08602.1	ERF	MP00411	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G57600(Arabidopsis thaliana)
PK08629.1	NAC	MP00361	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G15510(Arabidopsis thaliana)
PK08705.1	bHLH	MP00102	Cannabis sativa	PBM	PlantTFDB	transfer from AT4G14410(Arabidopsis thaliana)
PK08776.1	WRKY	MP00455	Cannabis sativa	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
PK08903.1	FAR1	MP00078	Cannabis sativa	ChIP-seq	PlantTFDB	transfer from AT3G22170(Arabidopsis thaliana)
PK09021.1	bZIP	MP00349	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
PK09209.1	WRKY	MP00422	Cannabis sativa	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
PK09312.1	MIKC_MADS	MP00076	Cannabis sativa	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
PK09653.1	bZIP	MP00318	Cannabis sativa	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
PK09831.1	HSF	MP00443	Cannabis sativa	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
PK10271.1	NAC	MP00250	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
PK10274.1	MYB	MP00406	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G53200(Arabidopsis thaliana)
PK10342.1	G2-like	MP00628	Cannabis sativa	PBM	PMID:25215497	M1307_1.02
PK10344.1	TCP	MP00326	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
PK10500.1	Dof	MP00394	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G47500(Arabidopsis thaliana)
PK10560.1	C2H2	MP00229	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
PK10562.1	bHLH	MP00498	Cannabis sativa	DAP	PlantTFDB	transfer from AT5G08130(Arabidopsis thaliana)
PK10592.1	ZF-HD	MP00387	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G28920(Arabidopsis thaliana)
PK10616.1	WRKY	MP00112	Cannabis sativa	ampDAP	PlantTFDB	transfer from AT2G46400(Arabidopsis thaliana)
PK10917.1	LFY	MP00095	Cannabis sativa	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
PK10965.1	E2F/DP	MP00190	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G47870(Arabidopsis thaliana)
PK11000.1	GATA	MP00369	Cannabis sativa	DAP	PlantTFDB	transfer from AT3G21175(Arabidopsis thaliana)
PK11173.1	NAC	MP00266	Cannabis sativa	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
PK11281.2	NAC	MP00179	Cannabis sativa	DAP	PlantTFDB	transfer from AT1G34190(Arabidopsis thaliana)
