Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
OPUNC01G03970	ERF	MP00302	Oryza punctata	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
OPUNC01G04800	G2-like	MP00261	Oryza punctata	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
OPUNC01G05680	NAC	MP00460	Oryza punctata	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
OPUNC01G05740	MYB_related	MP00565	Oryza punctata	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
OPUNC01G05880	C2H2	MP00206	Oryza punctata	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
OPUNC01G06940	TCP	MP00009	Oryza punctata	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
OPUNC01G07600	ERF	MP00456	Oryza punctata	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
OPUNC01G07980	MYB	MP00505	Oryza punctata	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
OPUNC01G08000	MYB	MP00505	Oryza punctata	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
OPUNC01G08460	bHLH	MP00100	Oryza punctata	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
OPUNC01G08520	Nin-like	MP00449	Oryza punctata	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
OPUNC01G08840	C2H2	MP00125	Oryza punctata	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
OPUNC01G09130	WRKY	MP00209	Oryza punctata	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
OPUNC01G10870	MYB	MP00222	Oryza punctata	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
OPUNC01G11270	bZIP	MP00349	Oryza punctata	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
OPUNC01G11600	MYB	MP00134	Oryza punctata	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
OPUNC01G11630	bHLH	MP00081	Oryza punctata	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
OPUNC01G11720	M-type_MADS	MP00553	Oryza punctata	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
OPUNC01G12460	TALE	MP00670	Oryza punctata	PBM	PlantTFDB	transfer from GRMZM2G087741(Zea mays)
OPUNC01G21220	MYB_related	MP00607	Oryza punctata	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
