Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Cagra.0007s0045	TCP	MP00009	Capsella grandiflora	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
Cagra.0007s0060	NAC	MP00357	Capsella grandiflora	DAP	PlantTFDB	transfer from AT3G15170(Arabidopsis thaliana)
Cagra.0007s0069	SBP	MP00359	Capsella grandiflora	DAP	PlantTFDB	transfer from AT3G15270(Arabidopsis thaliana)
Cagra.0007s0097	NAC	MP00360	Capsella grandiflora	DAP	PlantTFDB	transfer from AT3G15500(Arabidopsis thaliana)
Cagra.0026s0014	GATA	MP00377	Capsella grandiflora	DAP	PlantTFDB	transfer from AT3G24050(Arabidopsis thaliana)
Cagra.0026s0024	G2-like	MP00378	Capsella grandiflora	DAP	PlantTFDB	transfer from AT3G24120(Arabidopsis thaliana)
Cagra.0026s0060	bHLH	MP00376	Capsella grandiflora	DAP	PlantTFDB	transfer from AT3G23690(Arabidopsis thaliana)
Cagra.0027s0007	bZIP	MP00267	Capsella grandiflora	DAP	PlantTFDB	transfer from AT2G18160(Arabidopsis thaliana)
Cagra.0050s0017	MYB_related	MP00103	Capsella grandiflora	PBM	PlantTFDB	transfer from AT2G46830(Arabidopsis thaliana)
Cagra.0050s0024	NAC	MP00321	Capsella grandiflora	DAP	PlantTFDB	transfer from AT2G46770(Arabidopsis thaliana)
Cagra.0050s0032	HD-ZIP	MP00320	Capsella grandiflora	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Cagra.0050s0039	Dof	MP00319	Capsella grandiflora	DAP	PlantTFDB	transfer from AT2G46590(Arabidopsis thaliana)
Cagra.0050s0048	bHLH	MP00101	Capsella grandiflora	PBM	PlantTFDB	transfer from AT2G46510(Arabidopsis thaliana)
Cagra.0050s0059	WRKY	MP00112	Capsella grandiflora	ampDAP	PlantTFDB	transfer from AT2G46400(Arabidopsis thaliana)
Cagra.0050s0071	bZIP	MP00318	Capsella grandiflora	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Cagra.0050s0132	TCP	MP00316	Capsella grandiflora	DAP	PlantTFDB	transfer from AT2G45680(Arabidopsis thaliana)
Cagra.0050s0134	MIKC_MADS	MP00076	Capsella grandiflora	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
Cagra.0050s0135	MIKC_MADS	MP00315	Capsella grandiflora	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Cagra.0053s0009	CAMTA	MP00435	Capsella grandiflora	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
Cagra.0053s0018	ARR-B	MP00054	Capsella grandiflora	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
Cagra.0077s0017	WRKY	MP00209	Capsella grandiflora	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
Cagra.0083s0006	TCP	MP00065	Capsella grandiflora	PBM	PlantTFDB	transfer from AT5G60970(Arabidopsis thaliana)
Cagra.0084s0014	MYB_related	MP00560	Capsella grandiflora	DAP	PlantTFDB	transfer from AT5G52660(Arabidopsis thaliana)
Cagra.0084s0027	WRKY	MP00561	Capsella grandiflora	DAP	PlantTFDB	transfer from AT5G52830(Arabidopsis thaliana)
Cagra.0086s0001	WRKY	MP00525	Capsella grandiflora	DAP	PlantTFDB	transfer from AT5G24110(Arabidopsis thaliana)
Cagra.0090s0025	MYB	MP00296	Capsella grandiflora	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
Cagra.0094s0002	TCP	MP00007	Capsella grandiflora	PBM	PlantTFDB	transfer from 495258(Arabidopsis lyrata)
Cagra.0094s0011	ERF	MP00557	Capsella grandiflora	DAP	PlantTFDB	transfer from AT5G51990(Arabidopsis thaliana)
Cagra.0094s0026	HD-ZIP	MP00559	Capsella grandiflora	DAP	PlantTFDB	transfer from AT5G52170(Arabidopsis thaliana)
Cagra.0096s0029	ERF	MP00026	Capsella grandiflora	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Cagra.0096s0044	bZIP	MP00247	Capsella grandiflora	DAP	PlantTFDB	transfer from AT1G77920(Arabidopsis thaliana)
Cagra.0114s0023	ERF	MP00158	Capsella grandiflora	DAP	PlantTFDB	transfer from AT1G22810(Arabidopsis thaliana)
Cagra.0114s0040	MYB	MP00053	Capsella grandiflora	PBM	PlantTFDB	transfer from AT1G22640(Arabidopsis thaliana)
Cagra.0117s0007	SBP	MP00555	Capsella grandiflora	DAP	PlantTFDB	transfer from AT5G50570(Arabidopsis thaliana)
Cagra.0133s0025	GATA	MP00335	Capsella grandiflora	DAP	PlantTFDB	transfer from AT3G06740(Arabidopsis thaliana)
Cagra.0147s0052	HD-ZIP	MP00226	Capsella grandiflora	DAP	PlantTFDB	transfer from AT1G70920(Arabidopsis thaliana)
Cagra.0154s0025	HD-ZIP	MP00486	Capsella grandiflora	DAP	PlantTFDB	transfer from AT5G03790(Arabidopsis thaliana)
Cagra.0202s0011	bHLH	MP00606	Capsella grandiflora	ChIP-seq	PlantTFDB	transfer from AT2G43010(Arabidopsis thaliana)
Cagra.0202s0012	NAC	MP00310	Capsella grandiflora	DAP	PlantTFDB	transfer from AT2G43000(Arabidopsis thaliana)
Cagra.0216s0013	bHLH	MP00082	Capsella grandiflora	ChIP-seq	PlantTFDB	transfer from AT3G59060(Arabidopsis thaliana)
Cagra.0228s0013	bZIP	MP00294	Capsella grandiflora	DAP	PlantTFDB	transfer from AT2G36270(Arabidopsis thaliana)
Cagra.0228s0052	HD-ZIP	MP00049	Capsella grandiflora	PBM	PlantTFDB	transfer from AT2G36610(Arabidopsis thaliana)
Cagra.0239s0026	WRKY	MP00618	Capsella grandiflora	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
Cagra.0239s0035	ERF	MP00311	Capsella grandiflora	DAP	PlantTFDB	transfer from AT2G44840(Arabidopsis thaliana)
Cagra.0239s0048	ERF	MP00312	Capsella grandiflora	DAP	PlantTFDB	transfer from AT2G44940(Arabidopsis thaliana)
Cagra.0239s0072	YABBY	MP00620	Capsella grandiflora	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
Cagra.0244s0009	ERF	MP00029	Capsella grandiflora	PBM	PlantTFDB	transfer from AT5G43410(Arabidopsis thaliana)
Cagra.0248s0008	C3H	MP00582	Capsella grandiflora	DAP	PlantTFDB	transfer from AT5G63260(Arabidopsis thaliana)
Cagra.0248s0087	NAC	MP00583	Capsella grandiflora	DAP	PlantTFDB	transfer from AT5G64060(Arabidopsis thaliana)
Cagra.0248s0103	CAMTA	MP00043	Capsella grandiflora	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
Cagra.0255s0014	WRKY	MP00070	Capsella grandiflora	PBM	PlantTFDB	transfer from AT5G01900(Arabidopsis thaliana)
Cagra.0263s0012	SBP	MP00604	Capsella grandiflora	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
