Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Ote100001960071	ERF	MP00411	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT3G57600(Arabidopsis thaliana)
Ote100004440121	NAC	MP00343	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT3G10500(Arabidopsis thaliana)
Ote100004440122	NAC	MP00343	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT3G10500(Arabidopsis thaliana)
Ote100005190011	HSF	MP00575	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT5G62020(Arabidopsis thaliana)
Ote100005920091	MIKC_MADS	MP00315	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Ote100006200011	bZIP	MP00126	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
Ote100006200021	bZIP	MP00126	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
Ote100006770191	C2H2	MP00608	Ocimum tenuiflorum	ChIP-seq	PlantTFDB	transfer from AT3G48430(Arabidopsis thaliana)
Ote100006840031	WRKY	MP00071	Ocimum tenuiflorum	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
Ote100009080031	bZIP	MP00039	Ocimum tenuiflorum	PBM	PlantTFDB	transfer from AT4G36730(Arabidopsis thaliana)
Ote100009080051	bZIP	MP00039	Ocimum tenuiflorum	PBM	PlantTFDB	transfer from AT4G36730(Arabidopsis thaliana)
Ote100012360071	CAMTA	MP00435	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
Ote100012440021	MYB	MP00375	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
Ote100018280011	bHLH	MP00074	Ocimum tenuiflorum	ChIP-chip	PlantTFDB	transfer from AT2G20180(Arabidopsis thaliana)
Ote100019310001	HD-ZIP	MP00486	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT5G03790(Arabidopsis thaliana)
Ote100019360051	NAC	MP00179	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT1G34190(Arabidopsis thaliana)
Ote100019640031	SBP	MP00155	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT1G20980(Arabidopsis thaliana)
Ote100023350051	WRKY	MP00506	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT5G13080(Arabidopsis thaliana)
Ote100025000011	C2H2	MP00306	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT2G41835(Arabidopsis thaliana)
Ote100025880051	ARR-B	MP00054	Ocimum tenuiflorum	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
Ote100026010011	ARF	MP00033	Ocimum tenuiflorum	PBM	PlantTFDB	transfer from AT5G37020(Arabidopsis thaliana)
Ote100030740011	bHLH	MP00376	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT3G23690(Arabidopsis thaliana)
Ote100031790061	WRKY	MP00455	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
Ote100032400001	MYB	MP00114	Ocimum tenuiflorum	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
Ote100033630021	ERF	MP00217	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT1G68550(Arabidopsis thaliana)
Ote100033900291	MYB_related	MP00625	Ocimum tenuiflorum	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
Ote100034430051	WRKY	MP00422	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
Ote100035860021	WRKY	MP00171	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT1G30650(Arabidopsis thaliana)
Ote100036150021	MYB	MP00386	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT3G28910(Arabidopsis thaliana)
Ote100036690012	MYB_related	MP00631	Ocimum tenuiflorum	PBM	PlantTFDB	transfer from PK23829.1(Cannabis sativa)
Ote100037890001	MIKC_MADS	MP00077	Ocimum tenuiflorum	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
Ote100038440041	MYB_related	MP00148	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT1G18960(Arabidopsis thaliana)
Ote100038450001	Dof	MP00295	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT2G37590(Arabidopsis thaliana)
Ote100038550011	SBP	MP00090	Ocimum tenuiflorum	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
Ote100039810081	Trihelix	MP00481	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT5G01380(Arabidopsis thaliana)
Ote100040360211	C3H	MP00113	Ocimum tenuiflorum	ampDAP	PlantTFDB	transfer from AT3G12130(Arabidopsis thaliana)
Ote100043710021	YABBY	MP00620	Ocimum tenuiflorum	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
Ote100047990051	WRKY	MP00618	Ocimum tenuiflorum	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
Ote100049850041	C2H2	MP00125	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
Ote100049860041	HSF	MP00379	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
Ote100049890041	MYB	MP00442	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
Ote100050210101	MYB_related	MP00515	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT5G17300(Arabidopsis thaliana)
Ote100050210131	WOX	MP00669	Ocimum tenuiflorum	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
Ote100054180051	GATA	MP00335	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT3G06740(Arabidopsis thaliana)
Ote100054440171	CPP	MP00433	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT4G14770(Arabidopsis thaliana)
Ote100055720001	C3H	MP00383	Ocimum tenuiflorum	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
Ote100055720011	C3H	MP00383	Ocimum tenuiflorum	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
Ote100055870051	MYB	MP00500	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
Ote100061220031	BES1	MP00073	Ocimum tenuiflorum	ChIP-chip	PlantTFDB	transfer from AT1G19350(Arabidopsis thaliana)
Ote100062220101	G2-like	MP00252	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
Ote100062660011	BBR-BPC	MP00253	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
Ote100064310021	ARF	MP00461	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT4G30080(Arabidopsis thaliana)
Ote100065460021	WOX	MP00265	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
Ote100066250021	bZIP	MP00129	Ocimum tenuiflorum	DAP	PlantTFDB	transfer from AT1G06850(Arabidopsis thaliana)
Ote100067030151	SRS	MP00613	Ocimum tenuiflorum	PBM	PlantTFDB	transfer from AT3G51060(Arabidopsis thaliana)
