Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Thecc1EG000062	WOX	MP00617	Theobroma cacao	PBM	PlantTFDB	transfer from AT4G35550(Arabidopsis thaliana)
Thecc1EG000215	WOX	MP00265	Theobroma cacao	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
Thecc1EG000235	NAC	MP00266	Theobroma cacao	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
Thecc1EG000362	bHLH	MP00106	Theobroma cacao	PBM	PlantTFDB	transfer from AT2G18300(Arabidopsis thaliana)
Thecc1EG000371	ZF-HD	MP00268	Theobroma cacao	DAP	PlantTFDB	transfer from AT2G18350(Arabidopsis thaliana)
Thecc1EG000429	C2H2	MP00592	Theobroma cacao	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
Thecc1EG000436	bZIP	MP00039	Theobroma cacao	PBM	PlantTFDB	transfer from AT4G36730(Arabidopsis thaliana)
Thecc1EG000438	HD-ZIP	MP00473	Theobroma cacao	DAP	PlantTFDB	transfer from AT4G36740(Arabidopsis thaliana)
Thecc1EG000526	Dof	MP00402	Theobroma cacao	DAP	PlantTFDB	transfer from AT3G50410(Arabidopsis thaliana)
Thecc1EG000558	G2-like	MP00629	Theobroma cacao	PBM	PlantTFDB	transfer from PK14402.1(Cannabis sativa)
Thecc1EG000649	bHLH	MP00035	Theobroma cacao	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
Thecc1EG000669	ERF	MP00595	Theobroma cacao	DAP	PlantTFDB	transfer from AT5G67190(Arabidopsis thaliana)
Thecc1EG000696	MYB	MP00476	Theobroma cacao	DAP	PlantTFDB	transfer from AT4G37260(Arabidopsis thaliana)
Thecc1EG000780	C2H2	MP00118	Theobroma cacao	ampDAP	PlantTFDB	transfer from AT5G67450(Arabidopsis thaliana)
Thecc1EG000807	MYB_related	MP00626	Theobroma cacao	PBM	PlantTFDB	transfer from PK06103.1(Cannabis sativa)
Thecc1EG000844	AP2	MP00088	Theobroma cacao	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
Thecc1EG000861	MYB	MP00089	Theobroma cacao	SELEX	PlantTFDB	transfer from AT3G49690(Arabidopsis thaliana)
Thecc1EG000867	HD-ZIP	MP00477	Theobroma cacao	DAP	PlantTFDB	transfer from AT4G37790(Arabidopsis thaliana)
Thecc1EG000974	AP2	MP00504	Theobroma cacao	DAP	PlantTFDB	transfer from AT5G10510(Arabidopsis thaliana)
Thecc1EG000992	MIKC_MADS	MP00272	Theobroma cacao	DAP	PlantTFDB	transfer from AT2G22540(Arabidopsis thaliana)
Thecc1EG001039	HD-ZIP	MP00051	Theobroma cacao	PBM	PlantTFDB	transfer from AT4G40060(Arabidopsis thaliana)
Thecc1EG001108	CAMTA	MP00042	Theobroma cacao	PBM	PlantTFDB	transfer from AT2G22300(Arabidopsis thaliana)
Thecc1EG001212	bZIP	MP00586	Theobroma cacao	DAP	PlantTFDB	transfer from AT5G65210(Arabidopsis thaliana)
Thecc1EG001301	ERF	MP00584	Theobroma cacao	DAP	PlantTFDB	transfer from AT5G64750(Arabidopsis thaliana)
Thecc1EG001450	NAC	MP00583	Theobroma cacao	DAP	PlantTFDB	transfer from AT5G64060(Arabidopsis thaliana)
Thecc1EG001913	bHLH	MP00606	Theobroma cacao	ChIP-seq	PlantTFDB	transfer from AT2G43010(Arabidopsis thaliana)
Thecc1EG001955	NAC	MP00310	Theobroma cacao	DAP	PlantTFDB	transfer from AT2G43000(Arabidopsis thaliana)
Thecc1EG002030	FAR1	MP00434	Theobroma cacao	DAP	PlantTFDB	transfer from AT4G15090(Arabidopsis thaliana)
Thecc1EG002318	WRKY	MP00094	Theobroma cacao	SELEX	PlantTFDB	transfer from AT2G04880(Arabidopsis thaliana)
Thecc1EG002737	bHLH	MP00660	Theobroma cacao	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
Thecc1EG003056	B3	MP00083	Theobroma cacao	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
Thecc1EG003125	bHLH	MP00074	Theobroma cacao	ChIP-chip	PlantTFDB	transfer from AT2G20180(Arabidopsis thaliana)
Thecc1EG003548	LBD	MP00128	Theobroma cacao	DAP	PlantTFDB	transfer from AT1G06280(Arabidopsis thaliana)
Thecc1EG004106	LBD	MP00309	Theobroma cacao	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
Thecc1EG004187	WRKY	MP00284	Theobroma cacao	DAP	PlantTFDB	transfer from AT2G30590(Arabidopsis thaliana)
Thecc1EG004777	MYB	MP00627	Theobroma cacao	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
Thecc1EG004807	bZIP	MP00419	Theobroma cacao	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
Thecc1EG004843	WRKY	MP00069	Theobroma cacao	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
Thecc1EG004922	SBP	MP00633	Theobroma cacao	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
Thecc1EG004951	WRKY	MP00115	Theobroma cacao	ampDAP	PlantTFDB	transfer from AT4G01720(Arabidopsis thaliana)
Thecc1EG005021	MYB_related	MP00119	Theobroma cacao	DAP	PlantTFDB	transfer from AT1G01060(Arabidopsis thaliana)
Thecc1EG005047	NAC	MP00321	Theobroma cacao	DAP	PlantTFDB	transfer from AT2G46770(Arabidopsis thaliana)
Thecc1EG005074	HD-ZIP	MP00320	Theobroma cacao	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Thecc1EG005130	ERF	MP00120	Theobroma cacao	DAP	PlantTFDB	transfer from AT1G01250(Arabidopsis thaliana)
Thecc1EG005131	bHLH	MP00100	Theobroma cacao	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
Thecc1EG005179	WRKY	MP00112	Theobroma cacao	ampDAP	PlantTFDB	transfer from AT2G46400(Arabidopsis thaliana)
Thecc1EG005210	bZIP	MP00318	Theobroma cacao	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Thecc1EG005256	WRKY	MP00317	Theobroma cacao	DAP	PlantTFDB	transfer from AT2G46130(Arabidopsis thaliana)
Thecc1EG005261	WRKY	MP00422	Theobroma cacao	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
Thecc1EG005269	MYB_related	MP00423	Theobroma cacao	DAP	PlantTFDB	transfer from AT4G01280(Arabidopsis thaliana)
Thecc1EG005371	MYB	MP00114	Theobroma cacao	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
Thecc1EG005412	HD-ZIP	MP00421	Theobroma cacao	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
Thecc1EG005447	TCP	MP00667	Theobroma cacao	PBM	PlantTFDB	transfer from GSVIVG01027588001(Vitis vinifera)
Thecc1EG005456	MIKC_MADS	MP00076	Theobroma cacao	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
Thecc1EG005458	MIKC_MADS	MP00315	Theobroma cacao	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Thecc1EG005496	LBD	MP00314	Theobroma cacao	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
Thecc1EG005549	YABBY	MP00620	Theobroma cacao	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
Thecc1EG005601	C2H2	MP00416	Theobroma cacao	DAP	PlantTFDB	transfer from AT3G60580(Arabidopsis thaliana)
Thecc1EG005607	bHLH	MP00034	Theobroma cacao	PBM	PlantTFDB	transfer from AT4G00050(Arabidopsis thaliana)
