Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
model.Picochlorum_contig_104.g635.t1	MYB	MP00145	Picochlorum sp. SENEW3	DAP	PlantTFDB	transfer from AT1G17950(Arabidopsis thaliana)
model.Picochlorum_contig_107.g530.t1	C2H2	MP00306	Picochlorum sp. SENEW3	DAP	PlantTFDB	transfer from AT2G41835(Arabidopsis thaliana)
model.Picochlorum_contig_111.g399.t1	WRKY	MP00071	Picochlorum sp. SENEW3	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
model.Picochlorum_contig_128.g690.t1	CPP	MP00269	Picochlorum sp. SENEW3	DAP	PlantTFDB	transfer from AT2G20110(Arabidopsis thaliana)
model.Picochlorum_contig_135.g457.t1	AP2	MP00610	Picochlorum sp. SENEW3	ChIP-seq	PlantTFDB	transfer from AT5G17430(Arabidopsis thaliana)
model.Picochlorum_contig_146.g636.t1	MYB	MP00028	Picochlorum sp. SENEW3	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
model.Picochlorum_contig_155.g704.t1	G2-like	MP00354	Picochlorum sp. SENEW3	DAP	PlantTFDB	transfer from AT3G13040(Arabidopsis thaliana)
model.Picochlorum_contig_16.g153.t1	bZIP	MP00039	Picochlorum sp. SENEW3	PBM	PlantTFDB	transfer from AT4G36730(Arabidopsis thaliana)
model.Picochlorum_contig_175.g551.t1	MYB	MP00653	Picochlorum sp. SENEW3	PBM	PlantTFDB	transfer from LOC_Os02g09480(Oryza sativa subsp. japonica)
model.Picochlorum_contig_196.g913.t1	bZIP	MP00409	Picochlorum sp. SENEW3	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
model.Picochlorum_contig_197.g886.t1	ERF	MP00623	Picochlorum sp. SENEW3	PBM	PlantTFDB	transfer from PK19363.1(Cannabis sativa)
model.Picochlorum_contig_45.g418.t1	GATA	MP00554	Picochlorum sp. SENEW3	DAP	PlantTFDB	transfer from AT5G49300(Arabidopsis thaliana)
model.Picochlorum_contig_58.g124.t1	bZIP	MP00345	Picochlorum sp. SENEW3	DAP	PlantTFDB	transfer from AT3G10800(Arabidopsis thaliana)
model.Picochlorum_contig_67.g401.t1	SBP	MP00090	Picochlorum sp. SENEW3	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
model.Picochlorum_contig_68.g377.t1	CAMTA	MP00043	Picochlorum sp. SENEW3	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
model.Picochlorum_contig_82.g404.t1	MYB_related	MP00119	Picochlorum sp. SENEW3	DAP	PlantTFDB	transfer from AT1G01060(Arabidopsis thaliana)
model.Picochlorum_contig_84.g402.t1	MYB_related	MP00568	Picochlorum sp. SENEW3	DAP	PlantTFDB	transfer from AT5G58900(Arabidopsis thaliana)
model.Picochlorum_contig_87.g285.t1	ARR-B	MP00054	Picochlorum sp. SENEW3	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
model.Picochlorum_contig_96.g488.t1	bZIP	MP00129	Picochlorum sp. SENEW3	DAP	PlantTFDB	transfer from AT1G06850(Arabidopsis thaliana)
model.Picochlorum_contig_96.g503.t1	GATA	MP00048	Picochlorum sp. SENEW3	PBM	PlantTFDB	transfer from AT4G32890(Arabidopsis thaliana)

