Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
RrC1003_p2	Dof	MP00580	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
RrC10120_p1	CAMTA	MP00435	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
RrC10163_p2	Dof	MP00407	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT3G55370(Arabidopsis thaliana)
RrC10193_p1	HSF	MP00187	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
RrC10366_p1	C2H2	MP00608	Raphanus raphanistrum	ChIP-seq	PlantTFDB	transfer from AT3G48430(Arabidopsis thaliana)
RrC1037_p3	MYB_related	MP00565	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
RrC1038_p2	WRKY	MP00260	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT2G03340(Arabidopsis thaliana)
RrC10414_p1	NAC	MP00178	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT1G34180(Arabidopsis thaliana)
RrC1054_p2	NAC	MP00459	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
RrC1055_p5	MYB	MP00476	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT4G37260(Arabidopsis thaliana)
RrC105_p3	MYB	MP00466	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT4G32730(Arabidopsis thaliana)
RrC10606_p1	WRKY	MP00168	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT1G29860(Arabidopsis thaliana)
RrC1067_p9	bZIP	MP00349	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
RrC10705_p1	NAC	MP00277	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
RrC10825_p1	G2-like	MP00193	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT1G49560(Arabidopsis thaliana)
RrC10936_p1	HD-ZIP	MP00323	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
RrC10959_p1	NAC	MP00332	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT3G04060(Arabidopsis thaliana)
RrC10982_p1	ERF	MP00026	Raphanus raphanistrum	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
RrC11010_p1	E2F/DP	MP00190	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT1G47870(Arabidopsis thaliana)
RrC11020_p1	bZIP	MP00239	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT1G75390(Arabidopsis thaliana)
RrC1102_p2	WRKY	MP00167	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
RrC1107_p4	NAC	MP00136	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
RrC11089_p3	HSF	MP00379	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
RrC1110_p4	GATA	MP00369	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT3G21175(Arabidopsis thaliana)
RrC1117_p2	MYB	MP00500	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
RrC1125_p1	ERF	MP00298	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT2G38340(Arabidopsis thaliana)
RrC11268_p1	bHLH	MP00308	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
RrC11293_p1	NAC	MP00361	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT3G15510(Arabidopsis thaliana)
RrC11299_p1	Dof	MP00189	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT1G47655(Arabidopsis thaliana)
RrC11344_p1	NAC	MP00333	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT3G04070(Arabidopsis thaliana)
RrC11353_p1	bZIP	MP00157	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT1G22070(Arabidopsis thaliana)
RrC1145_p8	SBP	MP00090	Raphanus raphanistrum	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
RrC11514_p1	NAC	MP00360	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT3G15500(Arabidopsis thaliana)
RrC11548_p1	Trihelix	MP00244	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT1G76890(Arabidopsis thaliana)
RrC11571_p1	MYB	MP00538	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT5G40330(Arabidopsis thaliana)
RrC1163_p1	MYB	MP00457	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT4G28110(Arabidopsis thaliana)
RrC11643_p1	GATA	MP00530	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
RrC1167_p2	ERF	MP00674	Raphanus raphanistrum	SELEX	PlantTFDB	transfer from GRMZM2G093595(Zea mays)
RrC11779_p1	bHLH	MP00659	Raphanus raphanistrum	PBM	PlantTFDB	transfer from Pp3c14_15890(Physcomitrella patens)
RrC11784_p1	ERF	MP00163	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT1G28160(Arabidopsis thaliana)
RrC11789_p1	TCP	MP00203	Raphanus raphanistrum	DAP	PlantTFDB	transfer from AT1G53230(Arabidopsis thaliana)
