Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
augustus_masked-scaffold00039-abinit-gene-2.3	ERF	MP00441	Castanea mollissima	DAP	PlantTFDB	transfer from AT4G18450(Arabidopsis thaliana)
augustus_masked-scaffold00060-abinit-gene-1.16	LBD	MP00128	Castanea mollissima	DAP	PlantTFDB	transfer from AT1G06280(Arabidopsis thaliana)
augustus_masked-scaffold00062-abinit-gene-0.1	bZIP	MP00389	Castanea mollissima	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
augustus_masked-scaffold00102-abinit-gene-1.3	ERF	MP00558	Castanea mollissima	DAP	PlantTFDB	transfer from AT5G52020(Arabidopsis thaliana)
augustus_masked-scaffold00103-abinit-gene-0.0	TCP	MP00065	Castanea mollissima	PBM	PlantTFDB	transfer from AT5G60970(Arabidopsis thaliana)
augustus_masked-scaffold00294-abinit-gene-1.10	bHLH	MP00100	Castanea mollissima	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
augustus_masked-scaffold00362-abinit-gene-0.10	BBR-BPC	MP00540	Castanea mollissima	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
augustus_masked-scaffold00363-abinit-gene-1.2	TCP	MP00396	Castanea mollissima	DAP	PlantTFDB	transfer from AT3G47620(Arabidopsis thaliana)
augustus_masked-scaffold00434-abinit-gene-0.12	ERF	MP00526	Castanea mollissima	DAP	PlantTFDB	transfer from AT5G25190(Arabidopsis thaliana)
augustus_masked-scaffold00457-abinit-gene-0.0	ERF	MP00158	Castanea mollissima	DAP	PlantTFDB	transfer from AT1G22810(Arabidopsis thaliana)
augustus_masked-scaffold00457-abinit-gene-0.1	ERF	MP00158	Castanea mollissima	DAP	PlantTFDB	transfer from AT1G22810(Arabidopsis thaliana)
augustus_masked-scaffold00490-abinit-gene-0.8	bZIP	MP00247	Castanea mollissima	DAP	PlantTFDB	transfer from AT1G77920(Arabidopsis thaliana)
augustus_masked-scaffold00491-abinit-gene-0.10	Trihelix	MP00488	Castanea mollissima	DAP	PlantTFDB	transfer from AT5G05550(Arabidopsis thaliana)
augustus_masked-scaffold00494-abinit-gene-0.12	ERF	MP00469	Castanea mollissima	DAP	PlantTFDB	transfer from AT4G34410(Arabidopsis thaliana)
augustus_masked-scaffold00527-abinit-gene-0.1	WRKY	MP00251	Castanea mollissima	DAP	PlantTFDB	transfer from AT1G80840(Arabidopsis thaliana)
augustus_masked-scaffold00568-abinit-gene-0.2	Nin-like	MP00154	Castanea mollissima	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
augustus_masked-scaffold00589-abinit-gene-0.13	ERF	MP00584	Castanea mollissima	DAP	PlantTFDB	transfer from AT5G64750(Arabidopsis thaliana)
augustus_masked-scaffold00629-abinit-gene-0.5	ZF-HD	MP00238	Castanea mollissima	DAP	PlantTFDB	transfer from AT1G75240(Arabidopsis thaliana)
augustus_masked-scaffold00651-abinit-gene-0.11	MYB	MP00132	Castanea mollissima	DAP	PlantTFDB	transfer from AT1G08810(Arabidopsis thaliana)
augustus_masked-scaffold00762-abinit-gene-0.10	GATA	MP00047	Castanea mollissima	PBM	PlantTFDB	transfer from AT1G08000(Arabidopsis thaliana)
augustus_masked-scaffold00763-abinit-gene-0.13	ERF	MP00027	Castanea mollissima	PBM	PlantTFDB	transfer from AT4G23750(Arabidopsis thaliana)
augustus_masked-scaffold00906-abinit-gene-0.7	NAC	MP00179	Castanea mollissima	DAP	PlantTFDB	transfer from AT1G34190(Arabidopsis thaliana)
augustus_masked-scaffold00910-abinit-gene-0.9	LBD	MP00381	Castanea mollissima	DAP	PlantTFDB	transfer from AT3G26620(Arabidopsis thaliana)
augustus_masked-scaffold00936-abinit-gene-0.1	NF-YB	MP00133	Castanea mollissima	DAP	PlantTFDB	transfer from AT1G09030(Arabidopsis thaliana)
augustus_masked-scaffold00976-abinit-gene-0.13	G2-like	MP00354	Castanea mollissima	DAP	PlantTFDB	transfer from AT3G13040(Arabidopsis thaliana)
augustus_masked-scaffold00986-abinit-gene-0.15	TCP	MP00326	Castanea mollissima	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
augustus_masked-scaffold01020-abinit-gene-0.4	MYB	MP00296	Castanea mollissima	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
augustus_masked-scaffold01053-abinit-gene-0.10	ERF	MP00374	Castanea mollissima	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
augustus_masked-scaffold01081-abinit-gene-0.1	ERF	MP00302	Castanea mollissima	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
augustus_masked-scaffold01186-abinit-gene-0.9	ERF	MP00557	Castanea mollissima	DAP	PlantTFDB	transfer from AT5G51990(Arabidopsis thaliana)
augustus_masked-scaffold01197-abinit-gene-0.14	bHLH	MP00099	Castanea mollissima	PBM	PlantTFDB	transfer from AT4G16430(Arabidopsis thaliana)
augustus_masked-scaffold01278-abinit-gene-0.0	Dof	MP00166	Castanea mollissima	DAP	PlantTFDB	transfer from AT1G29160(Arabidopsis thaliana)
augustus_masked-scaffold01286-abinit-gene-0.4	TCP	MP00636	Castanea mollissima	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
augustus_masked-scaffold01309-abinit-gene-0.2	ERF	MP00509	Castanea mollissima	DAP	PlantTFDB	transfer from AT5G13910(Arabidopsis thaliana)
augustus_masked-scaffold01491-abinit-gene-0.3	bHLH	MP00084	Castanea mollissima	PBM	PlantTFDB	transfer from AT1G32640(Arabidopsis thaliana)
augustus_masked-scaffold01519-abinit-gene-0.16	ERF	MP00217	Castanea mollissima	DAP	PlantTFDB	transfer from AT1G68550(Arabidopsis thaliana)
augustus_masked-scaffold01570-abinit-gene-0.12	ERF	MP00542	Castanea mollissima	DAP	PlantTFDB	transfer from AT5G44210(Arabidopsis thaliana)
augustus_masked-scaffold01733-abinit-gene-0.0	ERF	MP00151	Castanea mollissima	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
