Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Sopen00g003270	ERF	MP00026	Solanum pennellii	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Sopen01g001650	ERF	MP00521	Solanum pennellii	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
Sopen01g002640	EIL	MP00233	Solanum pennellii	DAP	PlantTFDB	transfer from AT1G73730(Arabidopsis thaliana)
Sopen01g004640	EIL	MP00367	Solanum pennellii	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
Sopen01g005390	NAC	MP00507	Solanum pennellii	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
Sopen01g009190	EIL	MP00649	Solanum pennellii	PBM	PlantTFDB	transfer from LOC_Os09g31400(Oryza sativa subsp. japonica)
Sopen01g027380	ERF	MP00109	Solanum pennellii	PBM	PlantTFDB	transfer from AT3G16770(Arabidopsis thaliana)
Sopen01g029490	ERF	MP00520	Solanum pennellii	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
Sopen01g030050	SBP	MP00633	Solanum pennellii	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
Sopen01g030830	SBP	MP00604	Solanum pennellii	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
Sopen01g031040	WRKY	MP00069	Solanum pennellii	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
Sopen01g031250	bZIP	MP00419	Solanum pennellii	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
Sopen01g031400	MYB	MP00627	Solanum pennellii	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
Sopen01g034890	MIKC_MADS	MP00508	Solanum pennellii	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
Sopen01g035820	WRKY	MP00618	Solanum pennellii	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
Sopen01g036520	bHLH	MP00034	Solanum pennellii	PBM	PlantTFDB	transfer from AT4G00050(Arabidopsis thaliana)
Sopen01g036570	C2H2	MP00416	Solanum pennellii	DAP	PlantTFDB	transfer from AT3G60580(Arabidopsis thaliana)
Sopen01g036740	YABBY	MP00620	Solanum pennellii	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
Sopen01g037400	HD-ZIP	MP00421	Solanum pennellii	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
Sopen01g037760	MIKC_MADS	MP00076	Solanum pennellii	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
Sopen01g037770	MIKC_MADS	MP00315	Solanum pennellii	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Sopen01g038890	WRKY	MP00422	Solanum pennellii	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
Sopen01g039210	bZIP	MP00318	Solanum pennellii	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Sopen01g039770	bHLH	MP00100	Solanum pennellii	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
Sopen01g040080	HD-ZIP	MP00320	Solanum pennellii	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Sopen01g041000	bZIP	MP00040	Solanum pennellii	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
Sopen01g044720	M-type_MADS	MP00553	Solanum pennellii	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
Sopen01g044750	bHLH	MP00081	Solanum pennellii	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
Sopen01g044790	MYB	MP00134	Solanum pennellii	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
Sopen01g045160	NAC	MP00257	Solanum pennellii	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
Sopen01g045470	ARF	MP00097	Solanum pennellii	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
Sopen01g047280	Trihelix	MP00242	Solanum pennellii	DAP	PlantTFDB	transfer from AT1G76870(Arabidopsis thaliana)
Sopen01g047740	CAMTA	MP00043	Solanum pennellii	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
Sopen01g048410	GATA	MP00369	Solanum pennellii	DAP	PlantTFDB	transfer from AT3G21175(Arabidopsis thaliana)
Sopen01g050310	bZIP	MP00038	Solanum pennellii	PBM	PlantTFDB	transfer from AT4G34000(Arabidopsis thaliana)
Sopen01g050460	ERF	MP00469	Solanum pennellii	DAP	PlantTFDB	transfer from AT4G34410(Arabidopsis thaliana)
Sopen02g011740	MYB_related	MP00515	Solanum pennellii	DAP	PlantTFDB	transfer from AT5G17300(Arabidopsis thaliana)
Sopen02g016410	Dof	MP00046	Solanum pennellii	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
Sopen02g016460	ZF-HD	MP00387	Solanum pennellii	DAP	PlantTFDB	transfer from AT3G28920(Arabidopsis thaliana)
Sopen02g017300	TCP	MP00636	Solanum pennellii	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
Sopen02g020200	WRKY	MP00440	Solanum pennellii	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
Sopen02g020720	MIKC_MADS	MP00609	Solanum pennellii	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
Sopen02g020980	HSF	MP00443	Solanum pennellii	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
Sopen02g021170	WRKY	MP00167	Solanum pennellii	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
Sopen02g022260	ERF	MP00441	Solanum pennellii	DAP	PlantTFDB	transfer from AT4G18450(Arabidopsis thaliana)
Sopen02g022450	ARF	MP00021	Solanum pennellii	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
Sopen02g022700	ERF	MP00645	Solanum pennellii	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
Sopen02g024580	bHLH	MP00091	Solanum pennellii	SELEX	PlantTFDB	transfer from AT4G21330(Arabidopsis thaliana)
Sopen02g025580	WRKY	MP00209	Solanum pennellii	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
Sopen02g025760	TALE	MP00675	Solanum pennellii	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
Sopen02g027410	WOX	MP00669	Solanum pennellii	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
Sopen02g028730	WOX	MP00265	Solanum pennellii	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
Sopen02g029060	NAC	MP00266	Solanum pennellii	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
Sopen02g029860	ZF-HD	MP00268	Solanum pennellii	DAP	PlantTFDB	transfer from AT2G18350(Arabidopsis thaliana)
Sopen02g030250	C2H2	MP00592	Solanum pennellii	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
Sopen02g030280	bZIP	MP00039	Solanum pennellii	PBM	PlantTFDB	transfer from AT4G36730(Arabidopsis thaliana)
Sopen02g030300	HD-ZIP	MP00473	Solanum pennellii	DAP	PlantTFDB	transfer from AT4G36740(Arabidopsis thaliana)
Sopen02g031700	HD-ZIP	MP00323	Solanum pennellii	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
Sopen02g032660	NAC	MP00537	Solanum pennellii	DAP	PlantTFDB	transfer from AT5G39820(Arabidopsis thaliana)
Sopen02g033980	MYB	MP00388	Solanum pennellii	DAP	PlantTFDB	transfer from AT3G30210(Arabidopsis thaliana)
Sopen02g034180	bZIP	MP00389	Solanum pennellii	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
Sopen02g034520	TCP	MP00215	Solanum pennellii	DAP	PlantTFDB	transfer from AT1G67260(Arabidopsis thaliana)
Sopen02g034860	B3	MP00468	Solanum pennellii	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
Sopen02g034910	Dof	MP00402	Solanum pennellii	DAP	PlantTFDB	transfer from AT3G50410(Arabidopsis thaliana)
Sopen02g035100	G2-like	MP00475	Solanum pennellii	DAP	PlantTFDB	transfer from AT4G37180(Arabidopsis thaliana)
Sopen02g036500	HD-ZIP	MP00477	Solanum pennellii	DAP	PlantTFDB	transfer from AT4G37790(Arabidopsis thaliana)
Sopen02g036630	AP2	MP00088	Solanum pennellii	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
Sopen02g037490	MYB	MP00476	Solanum pennellii	DAP	PlantTFDB	transfer from AT4G37260(Arabidopsis thaliana)
Sopen02g037700	ERF	MP00276	Solanum pennellii	DAP	PlantTFDB	transfer from AT2G23340(Arabidopsis thaliana)
Sopen02g037840	bHLH	MP00035	Solanum pennellii	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
Sopen02g038930	TCP	MP00384	Solanum pennellii	DAP	PlantTFDB	transfer from AT3G27010(Arabidopsis thaliana)
Sopen02g039120	B3	MP00382	Solanum pennellii	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
Sopen03g001540	ERF	MP00374	Solanum pennellii	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
Sopen03g001990	BES1	MP00248	Solanum pennellii	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
Sopen03g002790	TCP	MP00667	Solanum pennellii	PBM	PlantTFDB	transfer from GSVIVG01027588001(Vitis vinifera)
Sopen03g002820	MIKC_MADS	MP00576	Solanum pennellii	DAP	PlantTFDB	transfer from AT5G62165(Arabidopsis thaliana)
