Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Araip.01NMU	C2H2	MP00256	Arachis ipaensis	DAP	PlantTFDB	transfer from AT2G02080(Arabidopsis thaliana)
Araip.021VS	SBP	MP00633	Arachis ipaensis	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
Araip.0279H	MYB	MP00490	Arachis ipaensis	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
Araip.05E87	MYB_related	MP00551	Arachis ipaensis	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
Araip.07HG9	BBR-BPC	MP00540	Arachis ipaensis	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Araip.0BU95	ERF	MP00151	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
Araip.0H351	MYB_related	MP00630	Arachis ipaensis	PBM	PlantTFDB	transfer from PK17526.1(Cannabis sativa)
Araip.0JY6V	bZIP	MP00419	Arachis ipaensis	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
Araip.0S3JI	NAC	MP00460	Arachis ipaensis	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
Araip.1196H	GATA	MP00335	Arachis ipaensis	DAP	PlantTFDB	transfer from AT3G06740(Arabidopsis thaliana)
Araip.14NBL	C2H2	MP00254	Arachis ipaensis	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
Araip.17KGH	MYB_related	MP00119	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G01060(Arabidopsis thaliana)
Araip.187W4	ERF	MP00411	Arachis ipaensis	DAP	PlantTFDB	transfer from AT3G57600(Arabidopsis thaliana)
Araip.18QQE	MYB	MP00513	Arachis ipaensis	DAP	PlantTFDB	transfer from AT5G16600(Arabidopsis thaliana)
Araip.1C050	MYB	MP00466	Arachis ipaensis	DAP	PlantTFDB	transfer from AT4G32730(Arabidopsis thaliana)
Araip.1E1WQ	WRKY	MP00525	Arachis ipaensis	DAP	PlantTFDB	transfer from AT5G24110(Arabidopsis thaliana)
Araip.1FG0Z	bZIP	MP00131	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
Araip.1K1BT	GATA	MP00451	Arachis ipaensis	DAP	PlantTFDB	transfer from AT4G24470(Arabidopsis thaliana)
Araip.1N7IP	NAC	MP00459	Arachis ipaensis	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
Araip.1N91A	Trihelix	MP00141	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G13450(Arabidopsis thaliana)
Araip.1P1MT	Dof	MP00046	Arachis ipaensis	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
Araip.24AK5	HSF	MP00371	Arachis ipaensis	DAP	PlantTFDB	transfer from AT3G22830(Arabidopsis thaliana)
Araip.2D8LN	HSF	MP00443	Arachis ipaensis	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
Araip.2L6E3	MYB	MP00089	Arachis ipaensis	SELEX	PlantTFDB	transfer from AT3G49690(Arabidopsis thaliana)
Araip.2LX3X	bHLH	MP00081	Arachis ipaensis	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
Araip.2R7TR	GATA	MP00130	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G08010(Arabidopsis thaliana)
Araip.2U2B9	bHLH	MP00034	Arachis ipaensis	PBM	PlantTFDB	transfer from AT4G00050(Arabidopsis thaliana)
Araip.2W5R5	NAC	MP00108	Arachis ipaensis	PBM	PlantTFDB	transfer from AT4G35580(Arabidopsis thaliana)
Araip.2XW30	MYB	MP00191	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G49010(Arabidopsis thaliana)
Araip.2Z4SA	SBP	MP00604	Arachis ipaensis	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
Araip.30XFU	HD-ZIP	MP00320	Arachis ipaensis	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Araip.310T2	NAC	MP00121	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
Araip.33EMF	MIKC_MADS	MP00508	Arachis ipaensis	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
Araip.3K0PR	B3	MP00382	Arachis ipaensis	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
Araip.3KN0A	HSF	MP00187	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
Araip.3R1K9	MYB	MP00337	Arachis ipaensis	DAP	PlantTFDB	transfer from AT3G09230(Arabidopsis thaliana)
Araip.42MZK	bHLH	MP00219	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
Araip.435DT	LBD	MP00314	Arachis ipaensis	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
Araip.45IG7	G2-like	MP00107	Arachis ipaensis	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
Araip.45TAK	CPP	MP00624	Arachis ipaensis	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
Araip.4D681	MYB_related	MP00631	Arachis ipaensis	PBM	PlantTFDB	transfer from PK23829.1(Cannabis sativa)
Araip.4EY32	MYB	MP00500	Arachis ipaensis	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
Araip.4KW8X	WRKY	MP00071	Arachis ipaensis	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
Araip.4L5AH	WRKY	MP00422	Arachis ipaensis	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
Araip.4Y0Y0	ARF	MP00033	Arachis ipaensis	PBM	PlantTFDB	transfer from AT5G37020(Arabidopsis thaliana)
Araip.4Z7UA	TCP	MP00009	Arachis ipaensis	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
Araip.5R38D	LBD	MP00128	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G06280(Arabidopsis thaliana)
Araip.5T5JE	bZIP	MP00184	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
Araip.609WS	NAC	MP00364	Arachis ipaensis	DAP	PlantTFDB	transfer from AT3G18400(Arabidopsis thaliana)
Araip.60WGZ	WRKY	MP00284	Arachis ipaensis	DAP	PlantTFDB	transfer from AT2G30590(Arabidopsis thaliana)
Araip.62IDN	ERF	MP00456	Arachis ipaensis	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
Araip.64GCN	NAC	MP00221	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G69490(Arabidopsis thaliana)
Araip.6L19K	bZIP	MP00318	Arachis ipaensis	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Araip.6R1JE	G2-like	MP00297	Arachis ipaensis	DAP	PlantTFDB	transfer from AT2G38300(Arabidopsis thaliana)
Araip.6UE4Z	C2H2	MP00592	Arachis ipaensis	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
Araip.6VX9H	bHLH	MP00099	Arachis ipaensis	PBM	PlantTFDB	transfer from AT4G16430(Arabidopsis thaliana)
Araip.6Z4YF	ERF	MP00557	Arachis ipaensis	DAP	PlantTFDB	transfer from AT5G51990(Arabidopsis thaliana)
Araip.6ZJ3N	ERF	MP00302	Arachis ipaensis	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
Araip.713R1	bZIP	MP00303	Arachis ipaensis	DAP	PlantTFDB	transfer from AT2G40620(Arabidopsis thaliana)
Araip.714GL	NAC	MP00179	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G34190(Arabidopsis thaliana)
Araip.77WYN	G2-like	MP00629	Arachis ipaensis	PBM	PlantTFDB	transfer from PK14402.1(Cannabis sativa)
Araip.78HJ7	bHLH	MP00308	Arachis ipaensis	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
Araip.78PTT	NAC	MP00562	Arachis ipaensis	DAP	PlantTFDB	transfer from AT5G53950(Arabidopsis thaliana)
Araip.79TDF	NAC	MP00212	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
Araip.7C4AI	MYB	MP00350	Arachis ipaensis	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
Araip.7I1D0	Dof	MP00166	Arachis ipaensis	DAP	PlantTFDB	transfer from AT1G29160(Arabidopsis thaliana)
Araip.8505Z	HD-ZIP	MP00271	Arachis ipaensis	DAP	PlantTFDB	transfer from AT2G22430(Arabidopsis thaliana)
Araip.86VYR	BBR-BPC	MP00253	Arachis ipaensis	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
Araip.88WSL	ERF	MP00584	Arachis ipaensis	DAP	PlantTFDB	transfer from AT5G64750(Arabidopsis thaliana)
