Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Peinf101Ctg13657787g00001	EIL	MP00367	Petunia inflata	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
Peinf101Scf00001g15019	MYB	MP00028	Petunia inflata	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
Peinf101Scf00009g02007	NAC	MP00257	Petunia inflata	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
Peinf101Scf00015g04001	ERF	MP00674	Petunia inflata	SELEX	PlantTFDB	transfer from GRMZM2G093595(Zea mays)
Peinf101Scf00022g02026	WRKY	MP00455	Petunia inflata	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
Peinf101Scf00032g04002	ERF	MP00411	Petunia inflata	DAP	PlantTFDB	transfer from AT3G57600(Arabidopsis thaliana)
Peinf101Scf00032g22002	ERF	MP00521	Petunia inflata	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
Peinf101Scf00040g09006	WRKY	MP00440	Petunia inflata	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
Peinf101Scf00044g20015	bHLH	MP00660	Petunia inflata	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
Peinf101Scf00049g02031	bHLH	MP00308	Petunia inflata	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
Peinf101Scf00055g17013	WRKY	MP00071	Petunia inflata	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
Peinf101Scf00060g09028	MYB	MP00466	Petunia inflata	DAP	PlantTFDB	transfer from AT4G32730(Arabidopsis thaliana)
Peinf101Scf00071g21008	NAC	MP00250	Petunia inflata	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
Peinf101Scf00077g05011	HD-ZIP	MP00225	Petunia inflata	DAP	PlantTFDB	transfer from AT1G69780(Arabidopsis thaliana)
Peinf101Scf00087g11014	bZIP	MP00126	Petunia inflata	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
Peinf101Scf00091g04014	CAMTA	MP00042	Petunia inflata	PBM	PlantTFDB	transfer from AT2G22300(Arabidopsis thaliana)
Peinf101Scf00094g02005	ERF	MP00312	Petunia inflata	DAP	PlantTFDB	transfer from AT2G44940(Arabidopsis thaliana)
Peinf101Scf00099g02018	NAC	MP00212	Petunia inflata	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
Peinf101Scf00100g01010	G2-like	MP00014	Petunia inflata	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
Peinf101Scf00102g02002	WRKY	MP00167	Petunia inflata	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
Peinf101Scf00113g10008	Dof	MP00295	Petunia inflata	DAP	PlantTFDB	transfer from AT2G37590(Arabidopsis thaliana)
Peinf101Scf00122g00003	bHLH	MP00100	Petunia inflata	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
Peinf101Scf00145g23014	MYB	MP00490	Petunia inflata	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
Peinf101Scf00149g02001	ERF	MP00595	Petunia inflata	DAP	PlantTFDB	transfer from AT5G67190(Arabidopsis thaliana)
Peinf101Scf00150g07015	SBP	MP00604	Petunia inflata	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
Peinf101Scf00167g10009	HSF	MP00187	Petunia inflata	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
Peinf101Scf00167g11027	bHLH	MP00035	Petunia inflata	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
Peinf101Scf00168g03006	G2-like	MP00022	Petunia inflata	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
Peinf101Scf00173g03004	ERF	MP00026	Petunia inflata	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Peinf101Scf00175g04023	HD-ZIP	MP00421	Petunia inflata	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
Peinf101Scf00175g12011	MIKC_MADS	MP00315	Petunia inflata	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Peinf101Scf00181g08015	G2-like	MP00107	Petunia inflata	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
Peinf101Scf00185g04020	Trihelix	MP00640	Petunia inflata	PBM	PlantTFDB	transfer from MDP0000164819(Malus domestica)
Peinf101Scf00190g04006	C2H2	MP00522	Petunia inflata	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
Peinf101Scf00191g31018	B3	MP00083	Petunia inflata	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
Peinf101Scf00191g34010	bHLH	MP00074	Petunia inflata	ChIP-chip	PlantTFDB	transfer from AT2G20180(Arabidopsis thaliana)
Peinf101Scf00191g46015	WRKY	MP00408	Petunia inflata	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
Peinf101Scf00197g27013	MIKC_MADS	MP00508	Petunia inflata	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
Peinf101Scf00208g02020	bHLH	MP00102	Petunia inflata	PBM	PlantTFDB	transfer from AT4G14410(Arabidopsis thaliana)
Peinf101Scf00237g04007	MYB_related	MP00551	Petunia inflata	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
Peinf101Scf00244g18025	WRKY	MP00069	Petunia inflata	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
Peinf101Scf00254g03010	C2H2	MP00255	Petunia inflata	DAP	PlantTFDB	transfer from AT2G02070(Arabidopsis thaliana)
Peinf101Scf00267g09015	bZIP	MP00131	Petunia inflata	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
Peinf101Scf00269g05002	C2H2	MP00487	Petunia inflata	DAP	PlantTFDB	transfer from AT5G04390(Arabidopsis thaliana)
Peinf101Scf00276g07026	WRKY	MP00464	Petunia inflata	DAP	PlantTFDB	transfer from AT4G31550(Arabidopsis thaliana)
Peinf101Scf00278g02016	bZIP	MP00318	Petunia inflata	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Peinf101Scf00297g01017	ERF	MP00240	Petunia inflata	DAP	PlantTFDB	transfer from AT1G75490(Arabidopsis thaliana)
Peinf101Scf00301g04022	MYB	MP00482	Petunia inflata	DAP	PlantTFDB	transfer from AT5G02320(Arabidopsis thaliana)
Peinf101Scf00316g07007	NAC	MP00361	Petunia inflata	DAP	PlantTFDB	transfer from AT3G15510(Arabidopsis thaliana)
Peinf101Scf00318g14016	BES1	MP00237	Petunia inflata	DAP	PlantTFDB	transfer from AT1G75080(Arabidopsis thaliana)
Peinf101Scf00324g08011	ARF	MP00033	Petunia inflata	PBM	PlantTFDB	transfer from AT5G37020(Arabidopsis thaliana)
Peinf101Scf00331g03006	bHLH	MP00606	Petunia inflata	ChIP-seq	PlantTFDB	transfer from AT2G43010(Arabidopsis thaliana)
Peinf101Scf00336g21003	bZIP	MP00419	Petunia inflata	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
Peinf101Scf00339g00010	bZIP	MP00303	Petunia inflata	DAP	PlantTFDB	transfer from AT2G40620(Arabidopsis thaliana)
Peinf101Scf00339g01023	WRKY	MP00304	Petunia inflata	DAP	PlantTFDB	transfer from AT2G40740(Arabidopsis thaliana)
Peinf101Scf00347g03017	MYB	MP00296	Petunia inflata	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
Peinf101Scf00358g02010	AP2	MP00610	Petunia inflata	ChIP-seq	PlantTFDB	transfer from AT5G17430(Arabidopsis thaliana)
Peinf101Scf00359g00003	TCP	MP00326	Petunia inflata	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
Peinf101Scf00359g05001	bZIP	MP00389	Petunia inflata	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
Peinf101Scf00359g09013	TCP	MP00215	Petunia inflata	DAP	PlantTFDB	transfer from AT1G67260(Arabidopsis thaliana)
Peinf101Scf00362g01004	LBD	MP00283	Petunia inflata	DAP	PlantTFDB	transfer from AT2G30340(Arabidopsis thaliana)
Peinf101Scf00371g04008	ERF	MP00558	Petunia inflata	DAP	PlantTFDB	transfer from AT5G52020(Arabidopsis thaliana)
Peinf101Scf00395g00033	GATA	MP00369	Petunia inflata	DAP	PlantTFDB	transfer from AT3G21175(Arabidopsis thaliana)
Peinf101Scf00408g05019	GATA	MP00335	Petunia inflata	DAP	PlantTFDB	transfer from AT3G06740(Arabidopsis thaliana)
Peinf101Scf00413g06025	G2-like	MP00261	Petunia inflata	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
Peinf101Scf00416g03019	WRKY	MP00531	Petunia inflata	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
Peinf101Scf00416g20013	bZIP	MP00117	Petunia inflata	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
Peinf101Scf00434g02022	G2-like	MP00252	Petunia inflata	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
Peinf101Scf00434g07017	MIKC_MADS	MP00609	Petunia inflata	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
Peinf101Scf00437g07010	GATA	MP00377	Petunia inflata	DAP	PlantTFDB	transfer from AT3G24050(Arabidopsis thaliana)
Peinf101Scf00441g05001	RAV	MP00024	Petunia inflata	PBM	PlantTFDB	transfer from AT1G25560(Arabidopsis thaliana)
Peinf101Scf00441g06019	G2-like	MP00218	Petunia inflata	DAP	PlantTFDB	transfer from AT1G68670(Arabidopsis thaliana)
Peinf101Scf00443g19001	bZIP	MP00239	Petunia inflata	DAP	PlantTFDB	transfer from AT1G75390(Arabidopsis thaliana)
Peinf101Scf00450g00007	WRKY	MP00299	Petunia inflata	DAP	PlantTFDB	transfer from AT2G38470(Arabidopsis thaliana)
Peinf101Scf00457g29017	MYB_related	MP00338	Petunia inflata	DAP	PlantTFDB	transfer from AT3G09600(Arabidopsis thaliana)
Peinf101Scf00482g02011	HD-ZIP	MP00232	Petunia inflata	DAP	PlantTFDB	transfer from AT1G73360(Arabidopsis thaliana)
Peinf101Scf00488g05009	YABBY	MP00220	Petunia inflata	DAP	PlantTFDB	transfer from AT1G69180(Arabidopsis thaliana)
Peinf101Scf00491g05013	ERF	MP00156	Petunia inflata	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
