Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Prupe.1G001700	ERF	MP00463	Prunus persica	DAP	PlantTFDB	transfer from AT4G31060(Arabidopsis thaliana)
Prupe.1G019100	CPP	MP00624	Prunus persica	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
Prupe.1G037400	bHLH	MP00102	Prunus persica	PBM	PlantTFDB	transfer from AT4G14410(Arabidopsis thaliana)
Prupe.1G037900	ERF	MP00374	Prunus persica	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
Prupe.1G039200	MYB	MP00375	Prunus persica	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
Prupe.1G070500	TCP	MP00524	Prunus persica	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
Prupe.1G106500	SBP	MP00633	Prunus persica	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
Prupe.1G106600	SBP	MP00603	Prunus persica	PBM	PlantTFDB	transfer from AT2G47070(Arabidopsis thaliana)
Prupe.1G111700	MYB	MP00334	Prunus persica	DAP	PlantTFDB	transfer from AT3G06490(Arabidopsis thaliana)
Prupe.1G122800	CAMTA	MP00435	Prunus persica	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
Prupe.1G125300	MYB	MP00598	Prunus persica	PBM	PlantTFDB	transfer from AT5G49330(Arabidopsis thaliana)
Prupe.1G126000	GATA	MP00335	Prunus persica	DAP	PlantTFDB	transfer from AT3G06740(Arabidopsis thaliana)
Prupe.1G130300	ERF	MP00109	Prunus persica	PBM	PlantTFDB	transfer from AT3G16770(Arabidopsis thaliana)
Prupe.1G139600	ERF	MP00520	Prunus persica	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
Prupe.1G144600	SBP	MP00604	Prunus persica	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
Prupe.1G173300	bHLH	MP00660	Prunus persica	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
Prupe.1G197700	bZIP	MP00126	Prunus persica	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
Prupe.1G212700	ERF	MP00509	Prunus persica	DAP	PlantTFDB	transfer from AT5G13910(Arabidopsis thaliana)
Prupe.1G216100	Trihelix	MP00288	Prunus persica	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Prupe.1G220400	NAC	MP00507	Prunus persica	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
Prupe.1G223200	WRKY	MP00506	Prunus persica	DAP	PlantTFDB	transfer from AT5G13080(Arabidopsis thaliana)
Prupe.1G223600	MIKC_MADS	MP00605	Prunus persica	ChIP-seq	PlantTFDB	transfer from AT1G24260(Arabidopsis thaliana)
Prupe.1G235200	Trihelix	MP00004	Prunus persica	PBM	PlantTFDB	transfer from 920224(Arabidopsis lyrata)
Prupe.1G238200	ARR-B	MP00010	Prunus persica	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
Prupe.1G262700	MYB_related	MP00630	Prunus persica	PBM	PlantTFDB	transfer from PK17526.1(Cannabis sativa)
Prupe.1G263800	bHLH	MP00207	Prunus persica	DAP	PlantTFDB	transfer from AT1G59640(Arabidopsis thaliana)
Prupe.1G271100	MYB	MP00259	Prunus persica	DAP	PlantTFDB	transfer from AT2G02820(Arabidopsis thaliana)
Prupe.1G271400	HD-ZIP	MP00225	Prunus persica	DAP	PlantTFDB	transfer from AT1G69780(Arabidopsis thaliana)
Prupe.1G276300	MYB	MP00222	Prunus persica	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
Prupe.1G277500	NAC	MP00221	Prunus persica	DAP	PlantTFDB	transfer from AT1G69490(Arabidopsis thaliana)
Prupe.1G280700	WRKY	MP00260	Prunus persica	DAP	PlantTFDB	transfer from AT2G03340(Arabidopsis thaliana)
Prupe.1G283500	WRKY	MP00067	Prunus persica	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
Prupe.1G290100	YABBY	MP00220	Prunus persica	DAP	PlantTFDB	transfer from AT1G69180(Arabidopsis thaliana)
Prupe.1G290600	MIKC_MADS	MP00096	Prunus persica	ChIP-seq	PlantTFDB	transfer from AT1G69120(Arabidopsis thaliana)
Prupe.1G294200	bHLH	MP00219	Prunus persica	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
Prupe.1G298200	bZIP	MP00647	Prunus persica	PBM	PlantTFDB	transfer from LOC_Os02g49560(Oryza sativa subsp. japonica)
Prupe.1G305900	RAV	MP00024	Prunus persica	PBM	PlantTFDB	transfer from AT1G25560(Arabidopsis thaliana)
Prupe.1G306300	G2-like	MP00160	Prunus persica	DAP	PlantTFDB	transfer from AT1G25550(Arabidopsis thaliana)
Prupe.1G310100	ERF	MP00217	Prunus persica	DAP	PlantTFDB	transfer from AT1G68550(Arabidopsis thaliana)
Prupe.1G313300	MYB	MP00216	Prunus persica	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
Prupe.1G318500	C3H	MP00383	Prunus persica	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
Prupe.1G338500	BBR-BPC	MP00253	Prunus persica	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
Prupe.1G338700	C2H2	MP00254	Prunus persica	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
Prupe.1G341000	C2H2	MP00255	Prunus persica	DAP	PlantTFDB	transfer from AT2G02070(Arabidopsis thaliana)
Prupe.1G349700	MYB	MP00500	Prunus persica	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
Prupe.1G366800	E2F/DP	MP00190	Prunus persica	DAP	PlantTFDB	transfer from AT1G47870(Arabidopsis thaliana)
Prupe.1G368300	ARF	MP00153	Prunus persica	DAP	PlantTFDB	transfer from AT1G19850(Arabidopsis thaliana)
Prupe.1G369400	BBR-BPC	MP00540	Prunus persica	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Prupe.1G371300	MIKC_MADS	MP00077	Prunus persica	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
Prupe.1G371500	SRS	MP00152	Prunus persica	DAP	PlantTFDB	transfer from AT1G19790(Arabidopsis thaliana)
Prupe.1G372100	ERF	MP00240	Prunus persica	DAP	PlantTFDB	transfer from AT1G75490(Arabidopsis thaliana)
Prupe.1G378200	ZF-HD	MP00238	Prunus persica	DAP	PlantTFDB	transfer from AT1G75240(Arabidopsis thaliana)
Prupe.1G382900	BES1	MP00237	Prunus persica	DAP	PlantTFDB	transfer from AT1G75080(Arabidopsis thaliana)
Prupe.1G387800	G2-like	MP00107	Prunus persica	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
Prupe.1G390800	ERF	MP00526	Prunus persica	DAP	PlantTFDB	transfer from AT5G25190(Arabidopsis thaliana)
Prupe.1G393000	WRKY	MP00465	Prunus persica	DAP	PlantTFDB	transfer from AT4G31800(Arabidopsis thaliana)
Prupe.1G405000	Trihelix	MP00651	Prunus persica	PBM	PlantTFDB	transfer from LOC_Os02g01380(Oryza sativa subsp. japonica)
Prupe.1G407500	WRKY	MP00531	Prunus persica	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
Prupe.1G416700	TALE	MP00675	Prunus persica	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
Prupe.1G417400	MYB	MP00089	Prunus persica	SELEX	PlantTFDB	transfer from AT3G49690(Arabidopsis thaliana)
Prupe.1G418500	bHLH	MP00135	Prunus persica	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
Prupe.1G418600	AP2	MP00088	Prunus persica	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
Prupe.1G424300	C2H2	MP00162	Prunus persica	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
Prupe.1G430000	MYB	MP00596	Prunus persica	DAP	PlantTFDB	transfer from AT5G67300(Arabidopsis thaliana)
Prupe.1G433500	HSF	MP00187	Prunus persica	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
Prupe.1G434500	bZIP	MP00186	Prunus persica	DAP	PlantTFDB	transfer from AT1G45249(Arabidopsis thaliana)
Prupe.1G447300	GATA	MP00530	Prunus persica	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
Prupe.1G452000	MYB	MP00466	Prunus persica	DAP	PlantTFDB	transfer from AT4G32730(Arabidopsis thaliana)
Prupe.1G454900	NAC	MP00277	Prunus persica	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
Prupe.1G459100	WRKY	MP00464	Prunus persica	DAP	PlantTFDB	transfer from AT4G31550(Arabidopsis thaliana)
Prupe.1G478400	bZIP	MP00117	Prunus persica	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
Prupe.1G480400	ERF	MP00527	Prunus persica	DAP	PlantTFDB	transfer from AT5G25390(Arabidopsis thaliana)
Prupe.1G489400	MIKC_MADS	MP00080	Prunus persica	ChIP-seq	PlantTFDB	transfer from AT5G20240(Arabidopsis thaliana)
Prupe.1G493100	NAC	MP00121	Prunus persica	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
Prupe.1G500900	ERF	MP00156	Prunus persica	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
Prupe.1G508100	bZIP	MP00247	Prunus persica	DAP	PlantTFDB	transfer from AT1G77920(Arabidopsis thaliana)
Prupe.1G513600	ERF	MP00026	Prunus persica	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Prupe.1G534300	GATA	MP00451	Prunus persica	DAP	PlantTFDB	transfer from AT4G24470(Arabidopsis thaliana)
Prupe.1G545700	ERF	MP00227	Prunus persica	DAP	PlantTFDB	transfer from AT1G71450(Arabidopsis thaliana)
