Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
EcC000178	HD-ZIP	MP00486	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G03790(Arabidopsis thaliana)
EcC000253	ERF	MP00289	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G33710(Arabidopsis thaliana)
EcC000342	Dof	MP00166	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G29160(Arabidopsis thaliana)
EcC001020	Trihelix	MP00244	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G76890(Arabidopsis thaliana)
EcC001177	MYB	MP00442	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
EcC001251	bZIP	MP00126	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
EcC001340	MYB	MP00375	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
EcC002771	WRKY	MP00284	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G30590(Arabidopsis thaliana)
EcC002932	HD-ZIP	MP00320	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
EcC003592	C2H2	MP00229	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
EcC003993	NAC	MP00241	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G76420(Arabidopsis thaliana)
EcC004052	WRKY	MP00317	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G46130(Arabidopsis thaliana)
EcC004626	MYB_related	MP00565	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
EcC004847	WRKY	MP00069	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
EcC005063	B3	MP00382	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
EcC005109	MYB	MP00180	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G34670(Arabidopsis thaliana)
EcC005899	bHLH	MP00084	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT1G32640(Arabidopsis thaliana)
EcC006960	MYB	MP00479	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT4G38620(Arabidopsis thaliana)
EcC007284	TCP	MP00006	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from 493022(Arabidopsis lyrata)
EcC007507	G2-like	MP00107	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
EcC008330	GATA	MP00369	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G21175(Arabidopsis thaliana)
EcC009686	ARF	MP00021	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
EcC010357	NAC	MP00507	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
EcC010491	MYB	MP00490	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
EcC011230	MYB_related	MP00551	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
EcC011661	WRKY	MP00408	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
EcC012513	Dof	MP00407	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G55370(Arabidopsis thaliana)
EcC014144	NAC	MP00364	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G18400(Arabidopsis thaliana)
EcC014511	ERF	MP00374	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
EcC014751	G2-like	MP00297	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G38300(Arabidopsis thaliana)
EcC014811	LBD	MP00581	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
EcC015454	ERF	MP00151	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
EcC019116	G2-like	MP00331	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G04030(Arabidopsis thaliana)
EcC022151	ERF	MP00645	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
EcC025541	SBP	MP00307	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
EcC025730	NAC	MP00459	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
EcC026129	ERF	MP00311	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G44840(Arabidopsis thaliana)
EcC026893	ERF	MP00549	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G47230(Arabidopsis thaliana)
EcC027177	HD-ZIP	MP00323	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
EcC028552	SBP	MP00555	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G50570(Arabidopsis thaliana)
EcC029340	MYB	MP00132	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G08810(Arabidopsis thaliana)
EcC031199	C2H2	MP00416	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G60580(Arabidopsis thaliana)
EcC031757	Trihelix	MP00011	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT5G28300(Arabidopsis thaliana)
EcC031945	HSF	MP00187	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
EcC033290	ARR-B	MP00054	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
EcC033336	bZIP	MP00126	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
EcC033411	AP2	MP00088	Eucalyptus camaldulensis	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
EcC033423	ERF	MP00289	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G33710(Arabidopsis thaliana)
EcC033786	MYB	MP00081	Eucalyptus camaldulensis	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
EcC034636	MYB	MP00385	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G27785(Arabidopsis thaliana)
EcC034953	B3	MP00032	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT1G28300(Arabidopsis thaliana)
EcC035068	G2-like	MP00532	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G29000(Arabidopsis thaliana)
EcC035309	ERF	MP00557	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G51990(Arabidopsis thaliana)
EcC035387	MYB_related	MP00146	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G18330(Arabidopsis thaliana)
EcC036324	HSF	MP00305	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G41690(Arabidopsis thaliana)
EcC036498	ERF	MP00217	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G68550(Arabidopsis thaliana)
EcC037198	NAC	MP00343	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G10500(Arabidopsis thaliana)
EcC038365	NAC	MP00277	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
EcC038455	BES1	MP00444	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT4G18890(Arabidopsis thaliana)
EcC039152	bZIP	MP00019	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
EcC039183	MIKC_MADS	MP00272	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G22540(Arabidopsis thaliana)
EcC039350	TCP	MP00215	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G67260(Arabidopsis thaliana)
EcC039367	MYB	MP00259	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G02820(Arabidopsis thaliana)
EcC039516	GATA	MP00048	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT4G32890(Arabidopsis thaliana)
EcC039591	TCP	MP00006	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from 493022(Arabidopsis lyrata)
EcC041299	HSF	MP00575	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G62020(Arabidopsis thaliana)
EcC041431	bHLH	MP00099	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT4G16430(Arabidopsis thaliana)
EcC041716	ARF	MP00097	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
EcC041920	bZIP	MP00040	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
EcC042333	MYB	MP00598	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT5G49330(Arabidopsis thaliana)
EcC042361	HSF	MP00371	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G22830(Arabidopsis thaliana)
EcC042934	Dof	MP00394	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G47500(Arabidopsis thaliana)
EcC043315	G2-like	MP00261	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
EcC043669	ERF	MP00027	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT4G23750(Arabidopsis thaliana)
EcC044326	NAC	MP00017	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT1G71930(Arabidopsis thaliana)
EcC044345	SBP	MP00634	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from PK22320.1(Cannabis sativa)
EcC044554	bHLH	MP00659	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from Pp3c14_15890(Physcomitrella patens)
EcC045126	AP2	MP00088	Eucalyptus camaldulensis	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
EcC045129	G2-like	MP00301	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G40260(Arabidopsis thaliana)
EcC045148	MYB	MP00213	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G66370(Arabidopsis thaliana)
EcC045515	MYB_related	MP00626	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from PK06103.1(Cannabis sativa)
EcC045643	C2H2	MP00485	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G03150(Arabidopsis thaliana)
EcC045659	MYB	MP00510	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G14340(Arabidopsis thaliana)
EcC045826	MYB	MP00500	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
EcC046343	bZIP	MP00419	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
EcC046843	ERF	MP00548	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G47220(Arabidopsis thaliana)
EcC046932	WRKY	MP00275	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G23320(Arabidopsis thaliana)
EcC046960	NAC	MP00121	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
EcC047148	CPP	MP00433	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT4G14770(Arabidopsis thaliana)
EcC047286	ERF	MP00227	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G71450(Arabidopsis thaliana)
EcC047441	NAC	MP00058	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT1G61110(Arabidopsis thaliana)
EcC047541	WRKY	MP00422	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
EcC047941	MYB_related	MP00625	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
EcC048006	ERF	MP00100	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
EcC048348	MYB	MP00513	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G16600(Arabidopsis thaliana)
EcC048387	bZIP	MP00409	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
EcC048483	WRKY	MP00251	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G80840(Arabidopsis thaliana)
EcC048535	Dof	MP00199	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G51700(Arabidopsis thaliana)
EcC048867	bZIP	MP00009	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
EcC048906	C2H2	MP00162	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
EcC049400	bZIP	MP00492	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G06950(Arabidopsis thaliana)
EcC049955	C2H2	MP00254	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
EcC049981	Trihelix	MP00356	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G14180(Arabidopsis thaliana)
EcC050197	bZIP	MP00038	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT4G34000(Arabidopsis thaliana)
EcC050275	WRKY	MP00067	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
EcC050756	MYB	MP00516	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G17800(Arabidopsis thaliana)
EcC051116	WRKY	MP00171	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G30650(Arabidopsis thaliana)
EcC051215	MYB	MP00476	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT4G37260(Arabidopsis thaliana)
EcC051222	MYB	MP00579	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G62470(Arabidopsis thaliana)
EcC051244	MYB	MP00388	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G30210(Arabidopsis thaliana)
EcC051672	Dof	MP00295	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G37590(Arabidopsis thaliana)
EcC052023	bHLH	MP00498	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT5G08130(Arabidopsis thaliana)
EcC052212	MYB	MP00249	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G79180(Arabidopsis thaliana)
EcC052456	MYB	MP00350	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
EcC052566	bHLH	MP00660	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
EcC052636	EIL	MP00367	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
EcC052761	YABBY	MP00220	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G69180(Arabidopsis thaliana)
EcC053277	ERF	MP00137	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G12610(Arabidopsis thaliana)
EcC053424	LBD	MP00314	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
EcC053780	ERF	MP00289	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT2G33710(Arabidopsis thaliana)
EcC053822	MYB_related	MP00212	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
EcC053897	WRKY	MP00428	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT4G04450(Arabidopsis thaliana)
EcC053990	FAR1	MP00078	Eucalyptus camaldulensis	ChIP-seq	PlantTFDB	transfer from AT3G22170(Arabidopsis thaliana)
EcC054026	MYB	MP00466	Eucalyptus camaldulensis	DAP	PlantTFDB	transfer from AT4G32730(Arabidopsis thaliana)
EcC054041	C2H2	MP00071	Eucalyptus camaldulensis	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
