Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
BnaA01g00050D	HD-ZIP	MP00051	Brassica napus	PBM	PlantTFDB	transfer from AT4G40060(Arabidopsis thaliana)
BnaA01g00670D	MYB	MP00632	Brassica napus	PBM	PlantTFDB	transfer from PK28565.1(Cannabis sativa)
BnaA01g01090D	HD-ZIP	MP00473	Brassica napus	DAP	PlantTFDB	transfer from AT4G36740(Arabidopsis thaliana)
BnaA01g01100D	bZIP	MP00039	Brassica napus	PBM	PlantTFDB	transfer from AT4G36730(Arabidopsis thaliana)
BnaA01g01440D	NAC	MP00471	Brassica napus	DAP	PlantTFDB	transfer from AT4G36160(Arabidopsis thaliana)
BnaA01g02900D	MIKC_MADS	MP00410	Brassica napus	DAP	PlantTFDB	transfer from AT3G57230(Arabidopsis thaliana)
BnaA01g07920D	CPP	MP00045	Brassica napus	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
BnaA01g08370D	NAC	MP00459	Brassica napus	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
BnaA01g09580D	MYB	MP00442	Brassica napus	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
BnaA01g13420D	ERF	MP00027	Brassica napus	PBM	PlantTFDB	transfer from AT4G23750(Arabidopsis thaliana)
BnaA01g17420D	bHLH	MP00099	Brassica napus	PBM	PlantTFDB	transfer from AT4G16430(Arabidopsis thaliana)
BnaA01g18960D	CPP	MP00433	Brassica napus	DAP	PlantTFDB	transfer from AT4G14770(Arabidopsis thaliana)
BnaA01g23340D	G2-like	MP00378	Brassica napus	DAP	PlantTFDB	transfer from AT3G24120(Arabidopsis thaliana)
BnaA01g23940D	ERF	MP00374	Brassica napus	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
BnaA01g24460D	HSF	MP00371	Brassica napus	DAP	PlantTFDB	transfer from AT3G22830(Arabidopsis thaliana)
BnaA01g30340D	G2-like	MP00351	Brassica napus	DAP	PlantTFDB	transfer from AT3G12730(Arabidopsis thaliana)
BnaA01g30920D	MYB	MP00347	Brassica napus	DAP	PlantTFDB	transfer from AT3G11280(Arabidopsis thaliana)
