Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Zjn_sc00001.1.g01390.1.am.mk	ERF	MP00520	Zoysia japonica	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
Zjn_sc00001.1.g05780.1.sm.mk	BES1	MP00237	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G75080(Arabidopsis thaliana)
Zjn_sc00001.1.g06040.1.am.mk	ERF	MP00521	Zoysia japonica	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
Zjn_sc00001.1.g06500.1.am.mk	NAC	MP00058	Zoysia japonica	PBM	PlantTFDB	transfer from AT1G61110(Arabidopsis thaliana)
Zjn_sc00001.1.g09400.1.sm.mk	MYB	MP00350	Zoysia japonica	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
Zjn_sc00001.1.g09690.1.sm.mkhc	CAMTA	MP00435	Zoysia japonica	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
Zjn_sc00002.1.g03010.1.es.mkhc	G2-like	MP00331	Zoysia japonica	DAP	PlantTFDB	transfer from AT3G04030(Arabidopsis thaliana)
Zjn_sc00002.1.g10250.1.am.mk	YABBY	MP00220	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G69180(Arabidopsis thaliana)
Zjn_sc00002.1.g11520.1.sm.mkhc	C2H2	MP00592	Zoysia japonica	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
Zjn_sc00002.1.g12900.1.sm.mk	ERF	MP00411	Zoysia japonica	DAP	PlantTFDB	transfer from AT3G57600(Arabidopsis thaliana)
Zjn_sc00002.1.g13170.1.am.mk	HD-ZIP	MP00225	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G69780(Arabidopsis thaliana)
Zjn_sc00002.1.g16600.1.sm.mk	NAC	MP00212	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
Zjn_sc00002.1.g17540.1.am.mk	GATA	MP00415	Zoysia japonica	DAP	PlantTFDB	transfer from AT3G60530(Arabidopsis thaliana)
Zjn_sc00003.1.g01750.1.sm.mkhc	NAC	MP00518	Zoysia japonica	DAP	PlantTFDB	transfer from AT5G18270(Arabidopsis thaliana)
Zjn_sc00003.1.g01950.1.sm.mk	EIL	MP00367	Zoysia japonica	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
Zjn_sc00003.1.g03070.1.am.mk	MYB	MP00627	Zoysia japonica	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
Zjn_sc00003.1.g06420.1.am.mk	LBD	MP00314	Zoysia japonica	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
Zjn_sc00003.1.g07530.1.sm.mk	AP2	MP00088	Zoysia japonica	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
Zjn_sc00003.1.g09710.1.sm.mk	ERF	MP00026	Zoysia japonica	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Zjn_sc00003.1.g11150.1.sm.mkhc	Dof	MP00394	Zoysia japonica	DAP	PlantTFDB	transfer from AT3G47500(Arabidopsis thaliana)
Zjn_sc00003.1.g13900.1.am.mk	NAC	MP00266	Zoysia japonica	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
Zjn_sc00003.1.g14360.1.sm.mkhc	MIKC_MADS	MP00076	Zoysia japonica	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
Zjn_sc00003.1.g14950.1.am.mk	Trihelix	MP00244	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G76890(Arabidopsis thaliana)
Zjn_sc00004.1.g06670.1.am.mk	SBP	MP00290	Zoysia japonica	DAP	PlantTFDB	transfer from AT2G33810(Arabidopsis thaliana)
Zjn_sc00004.1.g07680.1.am.mk	ERF	MP00558	Zoysia japonica	DAP	PlantTFDB	transfer from AT5G52020(Arabidopsis thaliana)
Zjn_sc00004.1.g08940.1.am.mk	WRKY	MP00171	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G30650(Arabidopsis thaliana)
Zjn_sc00004.1.g08990.1.am.mk	LFY	MP00095	Zoysia japonica	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
Zjn_sc00004.1.g11200.1.sm.mkhc	bZIP	MP00502	Zoysia japonica	DAP	PlantTFDB	transfer from AT5G10030(Arabidopsis thaliana)
Zjn_sc00004.1.g12260.1.am.mk	SBP	MP00090	Zoysia japonica	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
Zjn_sc00004.1.g12950.1.sm.mk	ERF	MP00366	Zoysia japonica	DAP	PlantTFDB	transfer from AT3G20310(Arabidopsis thaliana)
Zjn_sc00004.1.g13590.1.sm.mkhc	Dof	MP00593	Zoysia japonica	DAP	PlantTFDB	transfer from AT5G66940(Arabidopsis thaliana)
Zjn_sc00005.1.g03000.1.sm.mkhc	bHLH	MP00081	Zoysia japonica	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
Zjn_sc00005.1.g03310.1.sm.mk	C2H2	MP00206	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
Zjn_sc00005.1.g05000.1.sm.mk	LBD	MP00581	Zoysia japonica	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
Zjn_sc00005.1.g05270.1.sm.mkhc	ERF	MP00302	Zoysia japonica	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
Zjn_sc00006.1.g02570.1.am.mk	NAC	MP00431	Zoysia japonica	DAP	PlantTFDB	transfer from AT4G10350(Arabidopsis thaliana)
Zjn_sc00007.1.g02920.1.sm.mk	ERF	MP00151	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
Zjn_sc00007.1.g03660.1.sm.mk	ERF	MP00156	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
Zjn_sc00007.1.g03950.1.sm.mkhc	MIKC_MADS	MP00272	Zoysia japonica	DAP	PlantTFDB	transfer from AT2G22540(Arabidopsis thaliana)
Zjn_sc00007.1.g04810.1.am.mk	TCP	MP00224	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G69690(Arabidopsis thaliana)
Zjn_sc00007.1.g05310.1.sm.mk	E2F/DP	MP00397	Zoysia japonica	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
Zjn_sc00007.1.g09020.1.sm.mk	MIKC_MADS	MP00315	Zoysia japonica	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Zjn_sc00007.1.g09230.1.am.mk	ERF	MP00644	Zoysia japonica	PBM	PlantTFDB	transfer from LOC_Os02g45450(Oryza sativa subsp. japonica)
Zjn_sc00007.1.g11420.1.sm.mk	TCP	MP00655	Zoysia japonica	PBM	PlantTFDB	transfer from LOC_Os02g42380(Oryza sativa subsp. japonica)
Zjn_sc00008.1.g01280.1.am.mkhc	G2-like	MP00354	Zoysia japonica	DAP	PlantTFDB	transfer from AT3G13040(Arabidopsis thaliana)
Zjn_sc00008.1.g01490.1.sm.mkhc	GATA	MP00198	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G51600(Arabidopsis thaliana)
Zjn_sc00008.1.g04060.1.sm.mkhc	WRKY	MP00251	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G80840(Arabidopsis thaliana)
Zjn_sc00008.1.g04190.1.am.mkhc	MYB	MP00442	Zoysia japonica	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
Zjn_sc00008.1.g07440.1.am.mk	HSF	MP00379	Zoysia japonica	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
Zjn_sc00008.1.g08010.1.am.mk	NAC	MP00250	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
Zjn_sc00008.1.g08940.1.sm.mkhc	NAC	MP00277	Zoysia japonica	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
Zjn_sc00008.1.g09390.1.sm.mk	bZIP	MP00491	Zoysia japonica	DAP	PlantTFDB	transfer from AT5G06839(Arabidopsis thaliana)
Zjn_sc00008.1.g09890.1.am.mk	HD-ZIP	MP00473	Zoysia japonica	DAP	PlantTFDB	transfer from AT4G36740(Arabidopsis thaliana)
Zjn_sc00008.1.g10160.1.sm.mk	ERF	MP00521	Zoysia japonica	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
Zjn_sc00008.1.g10790.1.am.mk	NAC	MP00058	Zoysia japonica	PBM	PlantTFDB	transfer from AT1G61110(Arabidopsis thaliana)
Zjn_sc00009.1.g02230.1.am.mkhc	TCP	MP00636	Zoysia japonica	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
Zjn_sc00009.1.g02960.1.sm.mkhc	bHLH	MP00660	Zoysia japonica	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
Zjn_sc00009.1.g04060.1.am.mk	NAC	MP00257	Zoysia japonica	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
Zjn_sc00009.1.g04200.1.sm.mk	MIKC_MADS	MP00609	Zoysia japonica	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
Zjn_sc00009.1.g04360.1.sm.mkhc	NAC	MP00121	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
Zjn_sc00009.1.g04440.1.sm.mk	MIKC_MADS	MP00080	Zoysia japonica	ChIP-seq	PlantTFDB	transfer from AT5G20240(Arabidopsis thaliana)
Zjn_sc00009.1.g08450.1.sm.mkhc	WOX	MP00617	Zoysia japonica	PBM	PlantTFDB	transfer from AT4G35550(Arabidopsis thaliana)
Zjn_sc00009.1.g08870.1.sm.mkhc	bZIP	MP00409	Zoysia japonica	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
Zjn_sc00009.1.g11040.1.am.mk	TCP	MP00326	Zoysia japonica	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
Zjn_sc00010.1.g03170.1.am.mkhc	bZIP	MP00173	Zoysia japonica	DAP	PlantTFDB	transfer from AT1G32150(Arabidopsis thaliana)
Zjn_sc00011.1.g01330.1.sm.mkhc	MYB_related	MP00652	Zoysia japonica	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
Zjn_sc00011.1.g02490.1.sm.mk	HSF	MP00379	Zoysia japonica	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
