Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Cucsa.002980	NAC	MP00518	Cucumis sativus	DAP	PlantTFDB	transfer from AT5G18270(Arabidopsis thaliana)
Cucsa.005120	bZIP	MP00349	Cucumis sativus	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
Cucsa.005360	bHLH	MP00207	Cucumis sativus	DAP	PlantTFDB	transfer from AT1G59640(Arabidopsis thaliana)
Cucsa.006170	MYB	MP00513	Cucumis sativus	DAP	PlantTFDB	transfer from AT5G16600(Arabidopsis thaliana)
Cucsa.012850	ERF	MP00456	Cucumis sativus	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
Cucsa.013870	MYB	MP00500	Cucumis sativus	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
Cucsa.018420	MIKC_MADS	MP00080	Cucumis sativus	ChIP-seq	PlantTFDB	transfer from AT5G20240(Arabidopsis thaliana)
Cucsa.026600	BBR-BPC	MP00253	Cucumis sativus	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
Cucsa.027530	G2-like	MP00532	Cucumis sativus	DAP	PlantTFDB	transfer from AT5G29000(Arabidopsis thaliana)
Cucsa.041700	WRKY	MP00071	Cucumis sativus	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
Cucsa.041880	MYB	MP00564	Cucumis sativus	DAP	PlantTFDB	transfer from AT5G56110(Arabidopsis thaliana)
Cucsa.042320	WRKY	MP00455	Cucumis sativus	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
Cucsa.042770	ERF	MP00366	Cucumis sativus	DAP	PlantTFDB	transfer from AT3G20310(Arabidopsis thaliana)
Cucsa.043300	SRS	MP00613	Cucumis sativus	PBM	PlantTFDB	transfer from AT3G51060(Arabidopsis thaliana)
Cucsa.043420	NAC	MP00266	Cucumis sativus	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
Cucsa.043520	WOX	MP00265	Cucumis sativus	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
Cucsa.044390	G2-like	MP00252	Cucumis sativus	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
Cucsa.045040	WRKY	MP00428	Cucumis sativus	DAP	PlantTFDB	transfer from AT4G04450(Arabidopsis thaliana)
Cucsa.046570	ARF	MP00021	Cucumis sativus	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
Cucsa.046660	ERF	MP00441	Cucumis sativus	DAP	PlantTFDB	transfer from AT4G18450(Arabidopsis thaliana)
Cucsa.047280	MIKC_MADS	MP00609	Cucumis sativus	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
Cucsa.047510	WRKY	MP00168	Cucumis sativus	DAP	PlantTFDB	transfer from AT1G29860(Arabidopsis thaliana)
Cucsa.047860	TCP	MP00006	Cucumis sativus	PBM	PlantTFDB	transfer from 493022(Arabidopsis lyrata)
Cucsa.048220	HD-ZIP	MP00170	Cucumis sativus	DAP	PlantTFDB	transfer from AT1G30490(Arabidopsis thaliana)
Cucsa.050930	M-type_MADS	MP00553	Cucumis sativus	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
Cucsa.051050	MYB	MP00134	Cucumis sativus	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
Cucsa.051660	AP2	MP00615	Cucumis sativus	PBM	PlantTFDB	transfer from AT2G28550(Arabidopsis thaliana)
Cucsa.053440	LBD	MP00309	Cucumis sativus	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
Cucsa.053540	bHLH	MP00099	Cucumis sativus	PBM	PlantTFDB	transfer from AT4G16430(Arabidopsis thaliana)
Cucsa.054000	TCP	MP00636	Cucumis sativus	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
Cucsa.060600	NAC	MP00121	Cucumis sativus	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
Cucsa.061590	bHLH	MP00181	Cucumis sativus	DAP	PlantTFDB	transfer from AT1G35460(Arabidopsis thaliana)
Cucsa.066910	MYB	MP00337	Cucumis sativus	DAP	PlantTFDB	transfer from AT3G09230(Arabidopsis thaliana)
Cucsa.067080	MYB	MP00296	Cucumis sativus	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
Cucsa.069280	ERF	MP00109	Cucumis sativus	PBM	PlantTFDB	transfer from AT3G16770(Arabidopsis thaliana)
Cucsa.074600	NAC	MP00361	Cucumis sativus	DAP	PlantTFDB	transfer from AT3G15510(Arabidopsis thaliana)
