Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Neem_10055_f_1	NAC	MP00518	Azadirachta indica	DAP	PlantTFDB	transfer from AT5G18270(Arabidopsis thaliana)
Neem_10058_f_3	HSF	MP00443	Azadirachta indica	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
Neem_10066_f_2	MYB	MP00490	Azadirachta indica	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
Neem_10216_f_1	ERF	MP00217	Azadirachta indica	DAP	PlantTFDB	transfer from AT1G68550(Arabidopsis thaliana)
Neem_1025_f_2	Trihelix	MP00340	Azadirachta indica	DAP	PlantTFDB	transfer from AT3G10030(Arabidopsis thaliana)
Neem_10310_f_2	TCP	MP00524	Azadirachta indica	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
Neem_10430_f_2	G2-like	MP00252	Azadirachta indica	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
Neem_10472_f_2	Trihelix	MP00552	Azadirachta indica	DAP	PlantTFDB	transfer from AT5G47660(Arabidopsis thaliana)
Neem_10492_f_6	MYB	MP00134	Azadirachta indica	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
Neem_10594_f_1	WRKY	MP00408	Azadirachta indica	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
Neem_10612_f_5	MYB	MP00055	Azadirachta indica	PBM	PlantTFDB	transfer from AT5G04760(Arabidopsis thaliana)
Neem_10634_f_5	CPP	MP00624	Azadirachta indica	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
Neem_1067_f_1	LBD	MP00211	Azadirachta indica	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
Neem_10706_f_2	WRKY	MP00531	Azadirachta indica	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
Neem_10714_f_1	Dof	MP00405	Azadirachta indica	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
Neem_10791_f_1	NAC	MP00363	Azadirachta indica	DAP	PlantTFDB	transfer from AT3G17730(Arabidopsis thaliana)
Neem_1081_f_1	SBP	MP00634	Azadirachta indica	PBM	PlantTFDB	transfer from PK22320.1(Cannabis sativa)
Neem_10938_f_1	NAC	MP00364	Azadirachta indica	DAP	PlantTFDB	transfer from AT3G18400(Arabidopsis thaliana)
Neem_10966_f_2	NF-YB	MP00133	Azadirachta indica	DAP	PlantTFDB	transfer from AT1G09030(Arabidopsis thaliana)
