Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
kfl00003_0140	bZIP	MP00303	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT2G40620(Arabidopsis thaliana)
kfl00012_0300	bHLH	MP00659	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from Pp3c14_15890(Physcomitrella patens)
kfl00015_0110	C3H	MP00113	Klebsormidium flaccidum	ampDAP	PlantTFDB	transfer from AT3G12130(Arabidopsis thaliana)
kfl00015_0390	bZIP	MP00409	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
kfl00028_0250	GATA	MP00048	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from AT4G32890(Arabidopsis thaliana)
kfl00030_0250	G2-like	MP00252	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
kfl00040_0130	MYB	MP00505	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
kfl00048_0210	bZIP	MP00039	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from AT4G36730(Arabidopsis thaliana)
kfl00052_0380	WOX	MP00669	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
kfl00056_0320	C3H	MP00383	Klebsormidium flaccidum	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
kfl00064_0080	GATA	MP00198	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT1G51600(Arabidopsis thaliana)
kfl00073_0220	B3	MP00083	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
kfl00079_0440	bZIP	MP00492	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT5G06950(Arabidopsis thaliana)
kfl00080_0330	bZIP	MP00239	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT1G75390(Arabidopsis thaliana)
kfl00086_0300	bHLH	MP00081	Klebsormidium flaccidum	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
kfl00094_0070	RAV	MP00139	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT1G13260(Arabidopsis thaliana)
kfl00096_0150	WRKY	MP00455	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
kfl00097_0190	MYB	MP00279	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT2G26960(Arabidopsis thaliana)
kfl00098_0290	bZIP	MP00117	Klebsormidium flaccidum	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
kfl00105_0150	C2H2	MP00306	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT2G41835(Arabidopsis thaliana)
kfl00108_0100	GATA	MP00335	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT3G06740(Arabidopsis thaliana)
kfl00130_0250	HD-ZIP	MP00477	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT4G37790(Arabidopsis thaliana)
kfl00133_0040	ARR-B	MP00054	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
kfl00133_0190	MYB	MP00028	Klebsormidium flaccidum	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
kfl00137_0050	MYB_related	MP00551	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
kfl00186_0050	bZIP	MP00040	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
kfl00189_0180	WRKY	MP00428	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT4G04450(Arabidopsis thaliana)
kfl00198_0060	C2H2	MP00229	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
kfl00209_0150	Trihelix	MP00488	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT5G05550(Arabidopsis thaliana)
kfl00209_0160	LBD	MP00581	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
kfl00232_0130	C2H2	MP00403	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT3G50700(Arabidopsis thaliana)
kfl00237_0160	MYB_related	MP00625	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
kfl00238_0070	MYB	MP00500	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
kfl00243_0100	GATA	MP00110	Klebsormidium flaccidum	ampDAP	PlantTFDB	transfer from AT2G18380(Arabidopsis thaliana)
kfl00245_0150	bZIP	MP00345	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT3G10800(Arabidopsis thaliana)
kfl00255_0190	MYB_related	MP00119	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT1G01060(Arabidopsis thaliana)
kfl00260_0030	HSF	MP00187	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
kfl00264_0050	CPP	MP00045	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
kfl00311_0120	HSF	MP00514	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT5G16820(Arabidopsis thaliana)
kfl00334_0090	E2F/DP	MP00397	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
kfl00355_0070	bHLH	MP00219	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
kfl00369_0070	G2-like	MP00261	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
kfl00375_0090	CAMTA	MP00042	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from AT2G22300(Arabidopsis thaliana)
kfl00433_0010	C2H2	MP00196	Klebsormidium flaccidum	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
kfl00466_0010	HD-ZIP	MP00323	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
kfl00493_0040	MYB	MP00287	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT2G32460(Arabidopsis thaliana)
kfl00537_0090	G2-like	MP00014	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
kfl00615_0050	MYB_related	MP00652	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
kfl00644_0020	CPP	MP00624	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
kfl00762_0030	Dof	MP00046	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
kfl00773_0030	LFY	MP00095	Klebsormidium flaccidum	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
kfl00793_0050	MYB	MP00259	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT2G02820(Arabidopsis thaliana)
kfl00801_0040	EIL	MP00367	Klebsormidium flaccidum	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
kfl00979_0030	SBP	MP00060	Klebsormidium flaccidum	PBM	PlantTFDB	transfer from AT3G60030(Arabidopsis thaliana)

