Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Solyc00g024680.1	Dof	MP00295	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT2G37590(Arabidopsis thaliana)
Solyc01g005060.2	C2H2	MP00254	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
Solyc01g005630.1	ERF	MP00521	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
Solyc01g006650.1	EIL	MP00233	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT1G73730(Arabidopsis thaliana)
Solyc01g009170.2	EIL	MP00367	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
Solyc01g009860.2	NAC	MP00507	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
Solyc01g014480.2	EIL	MP00649	Solanum lycopersicum	PBM	PlantTFDB	transfer from LOC_Os09g31400(Oryza sativa subsp. japonica)
Solyc01g065540.2	ARR-B	MP00054	Solanum lycopersicum	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
Solyc01g065980.2	ERF	MP00109	Solanum lycopersicum	PBM	PlantTFDB	transfer from AT3G16770(Arabidopsis thaliana)
Solyc01g067540.1	ERF	MP00520	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
Solyc01g068100.2	SBP	MP00633	Solanum lycopersicum	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
Solyc01g079260.2	WRKY	MP00069	Solanum lycopersicum	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
Solyc01g079480.2	bZIP	MP00419	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
Solyc01g080670.2	SBP	MP00604	Solanum lycopersicum	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
Solyc01g087990.2	MIKC_MADS	MP00508	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
Solyc01g089960.2	WRKY	MP00618	Solanum lycopersicum	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
Solyc01g090560.2	ERF	MP00312	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT2G44940(Arabidopsis thaliana)
Solyc01g090790.2	bHLH	MP00034	Solanum lycopersicum	PBM	PlantTFDB	transfer from AT4G00050(Arabidopsis thaliana)
Solyc01g090840.2	C2H2	MP00416	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT3G60580(Arabidopsis thaliana)
Solyc01g091010.2	YABBY	MP00620	Solanum lycopersicum	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
Solyc01g091630.2	HD-ZIP	MP00421	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
Solyc01g093960.2	MIKC_MADS	MP00315	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Solyc01g094360.2	MYB	MP00114	Solanum lycopersicum	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
Solyc01g095100.2	WRKY	MP00422	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
Solyc01g095460.2	bZIP	MP00318	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Solyc01g096050.2	bHLH	MP00100	Solanum lycopersicum	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
Solyc01g096320.2	HD-ZIP	MP00320	Solanum lycopersicum	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Solyc01g097330.2	bZIP	MP00040	Solanum lycopersicum	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
