Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Manes.01G007600	WRKY	MP00071	Manihot esculenta	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
Manes.01G011200	NAC	MP00364	Manihot esculenta	DAP	PlantTFDB	transfer from AT3G18400(Arabidopsis thaliana)
Manes.01G025700	MIKC_MADS	MP00030	Manihot esculenta	SELEX	PlantTFDB	transfer from AT2G03710(Arabidopsis thaliana)
Manes.01G026100	YABBY	MP00220	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G69180(Arabidopsis thaliana)
Manes.01G029300	WRKY	MP00067	Manihot esculenta	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
Manes.01G046200	ERF	MP00027	Manihot esculenta	PBM	PlantTFDB	transfer from AT4G23750(Arabidopsis thaliana)
Manes.01G065200	HSF	MP00432	Manihot esculenta	DAP	PlantTFDB	transfer from AT4G11660(Arabidopsis thaliana)
Manes.01G083900	MYB_related	MP00551	Manihot esculenta	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
Manes.01G085200	ERF	MP00549	Manihot esculenta	DAP	PlantTFDB	transfer from AT5G47230(Arabidopsis thaliana)
Manes.01G092100	Dof	MP00046	Manihot esculenta	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
Manes.01G105400	bZIP	MP00389	Manihot esculenta	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
Manes.01G117100	MYB	MP00213	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G66370(Arabidopsis thaliana)
Manes.01G118700	MYB	MP00513	Manihot esculenta	DAP	PlantTFDB	transfer from AT5G16600(Arabidopsis thaliana)
Manes.01G123100	MYB_related	MP00515	Manihot esculenta	DAP	PlantTFDB	transfer from AT5G17300(Arabidopsis thaliana)
Manes.01G125000	ARF	MP00033	Manihot esculenta	PBM	PlantTFDB	transfer from AT5G37020(Arabidopsis thaliana)
Manes.01G141500	SRS	MP00613	Manihot esculenta	PBM	PlantTFDB	transfer from AT3G51060(Arabidopsis thaliana)
Manes.01G144500	NAC	MP00266	Manihot esculenta	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
Manes.01G145500	WOX	MP00265	Manihot esculenta	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
Manes.01G170000	G2-like	MP00014	Manihot esculenta	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
Manes.01G193400	bHLH	MP00207	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G59640(Arabidopsis thaliana)
Manes.01G194000	MYB_related	MP00630	Manihot esculenta	PBM	PlantTFDB	transfer from PK17526.1(Cannabis sativa)
Manes.01G199900	bHLH	MP00099	Manihot esculenta	PBM	PlantTFDB	transfer from AT4G16430(Arabidopsis thaliana)
Manes.01G200800	WRKY	MP00284	Manihot esculenta	DAP	PlantTFDB	transfer from AT2G30590(Arabidopsis thaliana)
Manes.01G226200	MYB	MP00627	Manihot esculenta	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
Manes.01G230000	WRKY	MP00069	Manihot esculenta	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
Manes.01G235400	WRKY	MP00115	Manihot esculenta	ampDAP	PlantTFDB	transfer from AT4G01720(Arabidopsis thaliana)
Manes.01G242300	HD-ZIP	MP00320	Manihot esculenta	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Manes.01G245200	ERF	MP00120	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G01250(Arabidopsis thaliana)
Manes.01G249900	bZIP	MP00318	Manihot esculenta	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Manes.01G253000	MYB_related	MP00423	Manihot esculenta	DAP	PlantTFDB	transfer from AT4G01280(Arabidopsis thaliana)
Manes.01G263300	TCP	MP00667	Manihot esculenta	PBM	PlantTFDB	transfer from GSVIVG01027588001(Vitis vinifera)
Manes.01G263800	MIKC_MADS	MP00315	Manihot esculenta	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Manes.01G269700	bHLH	MP00034	Manihot esculenta	PBM	PlantTFDB	transfer from AT4G00050(Arabidopsis thaliana)
Manes.02G006700	Nin-like	MP00449	Manihot esculenta	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
Manes.02G035400	NAC	MP00136	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
Manes.02G042400	ERF	MP00437	Manihot esculenta	DAP	PlantTFDB	transfer from AT4G17490(Arabidopsis thaliana)
Manes.02G046100	MYB	MP00386	Manihot esculenta	DAP	PlantTFDB	transfer from AT3G28910(Arabidopsis thaliana)
Manes.02G055900	TCP	MP00326	Manihot esculenta	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
Manes.02G058900	MYB	MP00388	Manihot esculenta	DAP	PlantTFDB	transfer from AT3G30210(Arabidopsis thaliana)
Manes.02G066400	TCP	MP00215	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G67260(Arabidopsis thaliana)
Manes.02G081200	NAC	MP00212	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
Manes.02G089000	NAC	MP00310	Manihot esculenta	DAP	PlantTFDB	transfer from AT2G43000(Arabidopsis thaliana)
Manes.02G114200	WOX	MP00617	Manihot esculenta	PBM	PlantTFDB	transfer from AT4G35550(Arabidopsis thaliana)
Manes.02G118800	C3H	MP00566	Manihot esculenta	DAP	PlantTFDB	transfer from AT5G58620(Arabidopsis thaliana)
Manes.02G120800	MYB	MP00567	Manihot esculenta	DAP	PlantTFDB	transfer from AT5G58850(Arabidopsis thaliana)
Manes.02G178100	bZIP	MP00184	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
Manes.02G179100	Trihelix	MP00243	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G76880(Arabidopsis thaliana)
Manes.02G191900	NAC	MP00017	Manihot esculenta	PBM	PlantTFDB	transfer from AT1G71930(Arabidopsis thaliana)
Manes.02G195200	C2H2	MP00229	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
Manes.02G197900	bHLH	MP00181	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G35460(Arabidopsis thaliana)
Manes.02G208000	ERF	MP00227	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G71450(Arabidopsis thaliana)
Manes.02G220000	NAC	MP00363	Manihot esculenta	DAP	PlantTFDB	transfer from AT3G17730(Arabidopsis thaliana)
Manes.02G224400	HD-ZIP	MP00232	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G73360(Arabidopsis thaliana)
Manes.03G002200	NAC	MP00277	Manihot esculenta	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
Manes.03G011000	ERF	MP00526	Manihot esculenta	DAP	PlantTFDB	transfer from AT5G25190(Arabidopsis thaliana)
Manes.03G023000	CPP	MP00045	Manihot esculenta	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
Manes.03G028900	NAC	MP00460	Manihot esculenta	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
Manes.03G039500	GRF	MP00263	Manihot esculenta	DAP	PlantTFDB	transfer from AT2G06200(Arabidopsis thaliana)
Manes.03G044100	ERF	MP00151	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
Manes.03G051300	WRKY	MP00531	Manihot esculenta	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
Manes.03G076500	NAC	MP00250	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
Manes.03G077500	MYB	MP00350	Manihot esculenta	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
Manes.03G090200	C2H2	MP00264	Manihot esculenta	DAP	PlantTFDB	transfer from AT2G15740(Arabidopsis thaliana)
Manes.03G091500	BES1	MP00248	Manihot esculenta	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
Manes.03G098000	ERF	MP00521	Manihot esculenta	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
Manes.03G105700	NAC	MP00562	Manihot esculenta	DAP	PlantTFDB	transfer from AT5G53950(Arabidopsis thaliana)
Manes.03G106900	SBP	MP00359	Manihot esculenta	DAP	PlantTFDB	transfer from AT3G15270(Arabidopsis thaliana)
