Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
e_gw1.12.292.1	WRKY	MP00494	Chlorella variabilis NC64A	DAP	PlantTFDB	transfer from AT5G07100(Arabidopsis thaliana)
e_gw1.4.453.1	MYB	MP00400	Chlorella variabilis NC64A	DAP	PlantTFDB	transfer from AT3G50060(Arabidopsis thaliana)
estExt_Genewise1.C_90203	ARR-B	MP00054	Chlorella variabilis NC64A	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
estExt_Genewise1Plus.C_10250	MYB	MP00028	Chlorella variabilis NC64A	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
fgenesh3_pg.C_scaffold_2000108	SBP	MP00090	Chlorella variabilis NC64A	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
fgenesh3_pg.C_scaffold_9000137	SBP	MP00603	Chlorella variabilis NC64A	PBM	PlantTFDB	transfer from AT2G47070(Arabidopsis thaliana)
gw1.3.461.1	AP2	MP00088	Chlorella variabilis NC64A	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
gw1.4.455.1	MYB	MP00567	Chlorella variabilis NC64A	DAP	PlantTFDB	transfer from AT5G58850(Arabidopsis thaliana)
gw1.4.467.1	Dof	MP00046	Chlorella variabilis NC64A	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
gw1.5.634.1	C2H2	MP00306	Chlorella variabilis NC64A	DAP	PlantTFDB	transfer from AT2G41835(Arabidopsis thaliana)
gw1.7.372.1	ERF	MP00645	Chlorella variabilis NC64A	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
gw1.8.222.1	MYB	MP00505	Chlorella variabilis NC64A	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
gw1.8.374.1	C3H	MP00383	Chlorella variabilis NC64A	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
gw1.9.308.1	MYB_related	MP00103	Chlorella variabilis NC64A	PBM	PlantTFDB	transfer from AT2G46830(Arabidopsis thaliana)
IGS.gm_10_00281	bZIP	MP00291	Chlorella variabilis NC64A	DAP	PlantTFDB	transfer from AT2G35530(Arabidopsis thaliana)
IGS.gm_1_00289	bZIP	MP00040	Chlorella variabilis NC64A	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
IGS.gm_17_00054	SBP	MP00307	Chlorella variabilis NC64A	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
IGS.gm_18_00206	GATA	MP00530	Chlorella variabilis NC64A	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
IGS.gm_4_00058	G2-like	MP00252	Chlorella variabilis NC64A	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
IGS.gm_4_00307	CAMTA	MP00043	Chlorella variabilis NC64A	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
IGS.gm_5_00447	GATA	MP00554	Chlorella variabilis NC64A	DAP	PlantTFDB	transfer from AT5G49300(Arabidopsis thaliana)
IGS.gm_7_00316	CPP	MP00269	Chlorella variabilis NC64A	DAP	PlantTFDB	transfer from AT2G20110(Arabidopsis thaliana)
IGS.gm_8_00085	bHLH	MP00219	Chlorella variabilis NC64A	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)

